mech,str,model,seed,infl
M08,0.5,LightGBM,2026,-0.0018181818181818299
M08,1.0,LR,13,0.04686868686868684
M08,1.0,RF,13,0.024242424242424176
M08,1.0,CatBoost,13,0.0028282828282828465
M08,1.0,LightGBM,13,0.029090909090909056
M08,1.0,LR,42,0.04686868686868684
M08,1.0,RF,42,0.0755555555555556
M08,1.0,CatBoost,42,0.02989898989898998
M08,1.0,LightGBM,42,0.029090909090909056
M08,1.0,LR,2026,0.04686868686868684
M08,1.0,RF,2026,0.08808080808080804
M08,1.0,CatBoost,2026,0.07191919191919194
M08,1.0,LightGBM,2026,0.029090909090909056
M08,0.1,LR,13,0.004895960832313251
M08,0.1,RF,13,0.03019175846593225
M08,0.1,CatBoost,13,0.005303957568339346
M08,0.1,LightGBM,13,0.062219502243982094
M08,0.1,LR,42,0.004895960832313251
M08,0.1,RF,42,0.0726234190126479
M08,0.1,CatBoost,42,0.05344757241942055
M08,0.1,LightGBM,42,0.062219502243982094
M08,0.1,LR,2026,0.004895960832313251
M08,0.1,RF,2026,0.004895960832313362
M08,0.1,CatBoost,2026,0.057527539779681724
M08,0.1,LightGBM,2026,0.062219502243982094
M08,0.5,LR,13,0.10281517747858004
M08,0.5,RF,13,0.1721746226030192
M08,0.5,CatBoost,13,0.12321501427988579
M08,0.5,LightGBM,13,0.17809057527539784
M08,0.5,LR,42,0.10281517747858004
M08,0.5,RF,42,0.19910240718074257
M08,0.5,CatBoost,42,0.16789065687474503
M08,0.5,LightGBM,42,0.17809057527539784
M08,0.5,LR,2026,0.10281517747858004
M08,0.5,RF,2026,0.17339861281109747
M08,0.5,CatBoost,2026,0.2598939208486332
M08,0.5,LightGBM,2026,0.17809057527539784
M08,1.0,LR,13,0.16401468788249685
M08,1.0,RF,13,0.20603835169318652
M08,1.0,CatBoost,13,0.20236638106895144
M08,1.0,LightGBM,13,0.23561811505507957
M08,1.0,LR,42,0.16401468788249685
M08,1.0,RF,42,0.23459812321501428
M08,1.0,CatBoost,42,0.2184822521419827
M08,1.0,LightGBM,42,0.23561811505507957
M08,1.0,LR,2026,0.16401468788249685
M08,1.0,RF,2026,0.20032639738882096
M08,1.0,CatBoost,2026,0.30762953896368833
M08,1.0,LightGBM,2026,0.23561811505507957
M08,0.1,LR,13,0.0021450021450021284
M08,0.1,RF,13,-0.022308022308022257
M08,0.1,CatBoost,13,0.1861861861861862
M08,0.1,LightGBM,13,0.027885027885027835
M08,0.1,LR,42,0.0021450021450021284
M08,0.1,RF,42,0.009438009438009487
M08,0.1,CatBoost,42,0.02080652080652079
M08,0.1,LightGBM,42,0.027885027885027835
M08,0.1,LR,2026,0.0021450021450021284
M08,0.1,RF,2026,0.022737022737022716
M08,0.1,CatBoost,2026,-0.012870012870012937
M08,0.1,LightGBM,2026,0.027885027885027835
M08,0.5,LR,13,0.049335049335049286
M08,0.5,RF,13,0.057915057915057966
M08,0.5,CatBoost,13,0.12784212784212784
M08,0.5,LightGBM,13,0.05469755469755461
M08,0.5,LR,42,0.049335049335049286
M08,0.5,RF,42,0.09867009867009868
M08,0.5,CatBoost,42,0.10188760188760193
M08,0.5,LightGBM,42,0.05469755469755461
M08,0.5,LR,2026,0.049335049335049286
M08,0.5,RF,2026,0.10253110253110254
M08,0.5,CatBoost,2026,0.07099957099957105
M08,0.5,LightGBM,2026,0.05469755469755461
M08,1.0,LR,13,0.09094809094809087
M08,1.0,RF,13,0.10639210639210633
M08,1.0,CatBoost,13,0.20806520806520812
M08,1.0,LightGBM,13,0.1683826683826683
M08,1.0,LR,42,0.09094809094809087
M08,1.0,RF,42,0.14414414414414412
M08,1.0,CatBoost,42,0.1853281853281853
M08,1.0,LightGBM,42,0.1683826683826683
M08,1.0,LR,2026,0.09094809094809087
M08,1.0,RF,2026,0.1497211497211498
M08,1.0,CatBoost,2026,0.10531960531960533
M08,1.0,LightGBM,2026,0.1683826683826683
M08,0.1,LR,13,0.005711954304365552
M08,0.1,RF,13,-0.008975928192574534
M08,0.1,CatBoost,13,0.06446348429212578
M08,0.1,LightGBM,13,-0.008567931456548383
M08,0.1,LR,42,0.005711954304365552
M08,0.1,RF,42,-0.03549571603427176
M08,0.1,CatBoost,42,0.044471644226846185
M08,0.1,LightGBM,42,-0.008567931456548383
M08,0.1,LR,2026,0.005711954304365552
M08,0.1,RF,2026,-0.01917584659322724
M08,0.1,CatBoost,2026,0.07058343533251732
M08,0.1,LightGBM,2026,-0.008567931456548383
M08,0.5,LR,13,0.04528763769889843
M08,0.5,RF,13,0.008159934720522233
M08,0.5,CatBoost,13,0.05548755609955125
M08,0.5,LightGBM,13,0.05956752345981231
M08,0.5,LR,42,0.04528763769889843
M08,0.5,RF,42,-0.029375764993880116
M08,0.5,CatBoost,42,0.014891880864953078
M08,0.5,LightGBM,42,0.05956752345981231
M08,0.5,LR,2026,0.04528763769889843
M08,0.5,RF,2026,0.030599755201958345
M08,0.5,CatBoost,2026,0.06895144838841288
M08,0.5,LightGBM,2026,0.05956752345981231
M08,1.0,LR,13,0.07058343533251737
M08,1.0,RF,13,-0.002039983680130586
M08,1.0,CatBoost,13,0.12933496532027744
M08,1.0,LightGBM,13,0.023255813953488302
M08,1.0,LR,42,0.07058343533251737
M08,1.0,RF,42,-0.044879640962872336
M08,1.0,CatBoost,42,0.04773561811505511
M08,1.0,LightGBM,42,0.023255813953488302
M08,1.0,LR,2026,0.07058343533251737
M08,1.0,RF,2026,0.021215830273357827
M08,1.0,CatBoost,2026,0.01468788249694003
M08,1.0,LightGBM,2026,0.023255813953488302
M08,0.1,LR,13,0.0004166666666667318
M08,0.1,RF,13,0.04541666666666655
M08,0.1,CatBoost,13,-0.14895833333333341
M08,0.1,LightGBM,13,-0.00187499999999996
M08,0.1,LR,42,0.0004166666666667318
M08,0.1,RF,42,0.02833333333333332
M08,0.1,CatBoost,42,0.028749999999999942
M08,0.1,LightGBM,42,-0.00187499999999996
M08,0.1,LR,2026,0.0004166666666667318
M08,0.1,RF,2026,0.030833333333333268
M08,0.1,CatBoost,2026,0.030416666666666647
M08,0.1,LightGBM,2026,-0.00187499999999996
M08,0.5,LR,13,0.005416666666666625
M08,0.5,RF,13,0.012083333333333224
M08,0.5,CatBoost,13,-0.11020833333333335
M08,0.5,LightGBM,13,-0.04208333333333336
M08,0.5,LR,42,0.005416666666666625
M08,0.5,RF,42,0.02750000000000008
M08,0.5,CatBoost,42,0.10208333333333319
M08,0.5,LightGBM,42,-0.04208333333333336
M08,0.5,LR,2026,0.005416666666666625
M08,0.5,RF,2026,-0.014583333333333393
M08,0.5,CatBoost,2026,0.016249999999999987
M08,0.5,LightGBM,2026,-0.04208333333333336
M08,1.0,LR,13,0.009166666666666767
M08,1.0,RF,13,0.04125000000000001
M08,1.0,CatBoost,13,0.03166666666666662
M08,1.0,LightGBM,13,0.06312500000000004
M08,1.0,LR,42,0.009166666666666767
M08,1.0,RF,42,0.0345833333333333
M08,1.0,CatBoost,42,0.06333333333333324
M08,1.0,LightGBM,42,0.06312500000000004
M08,1.0,LR,2026,0.009166666666666767
M08,1.0,RF,2026,0.015833333333333255
M08,1.0,CatBoost,2026,-0.051458333333333384
M08,1.0,LightGBM,2026,0.06312500000000004
