model,ds,mech,str,seed,clean,full,infl,note
TabPFNv2,ds_0,M04,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M06,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M07,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M08,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_0,M11,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M01,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M03,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M04,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M06,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M07,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M08,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_1,M11,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M01,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M03,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M04,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M06,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M07,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M08,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_2,M11,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S1,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S1,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S1,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S3,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S3,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S3,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S5,13,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S5,42,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
TabPFNv2,ds_3,M01,S5,2026,0.5,0.5,,"NOT-APPLICABLE: TabPFN requires a one-time license acceptance to download
model weights for loca"
