ds,mech,str,method,auprc,top5_recall
opmeta_0,M09,S5,I+S,0.07692307692307693,0.0
opmeta_0,M09,S5,A+S+E,1.0,1.0
opmeta_0,M09,S5,I+A+S+E,0.5,1.0
opmeta_0,M11,S1,I,0.34444444444444444,0.6666666666666666
opmeta_0,M11,S1,A,1.0,1.0
opmeta_0,M11,S1,S,0.2,1.0
opmeta_0,M11,S1,E,0.34444444444444444,0.3333333333333333
opmeta_0,M11,S1,I+A,0.4777777777777778,1.0
opmeta_0,M11,S1,I+S,0.34444444444444444,0.6666666666666666
opmeta_0,M11,S1,A+S+E,0.7916666666666666,0.6666666666666666
opmeta_0,M11,S1,I+A+S+E,0.3888888888888889,0.6666666666666666
opmeta_0,M11,S3,I,0.8666666666666667,1.0
opmeta_0,M11,S3,A,1.0,1.0
opmeta_0,M11,S3,S,0.2,1.0
opmeta_0,M11,S3,E,0.5277777777777778,0.3333333333333333
opmeta_0,M11,S3,I+A,0.9166666666666666,1.0
opmeta_0,M11,S3,I+S,0.8666666666666667,1.0
opmeta_0,M11,S3,A+S+E,0.6984126984126984,0.6666666666666666
opmeta_0,M11,S3,I+A+S+E,0.8095238095238095,0.6666666666666666
opmeta_0,M11,S5,I,1.0,1.0
opmeta_0,M11,S5,A,1.0,1.0
opmeta_0,M11,S5,S,0.2,1.0
opmeta_0,M11,S5,E,0.3888888888888889,0.3333333333333333
opmeta_0,M11,S5,I+A,1.0,1.0
opmeta_0,M11,S5,I+S,1.0,1.0
opmeta_0,M11,S5,A+S+E,0.6190476190476191,0.3333333333333333
opmeta_0,M11,S5,I+A+S+E,1.0,1.0
opmeta_1,M04,S1,I,0.058823529411764705,0.0
opmeta_1,M04,S1,A,1.0,1.0
opmeta_1,M04,S1,S,0.058823529411764705,1.0
opmeta_1,M04,S1,E,0.058823529411764705,0.0
opmeta_1,M04,S1,I+A,0.5,1.0
opmeta_1,M04,S1,I+S,0.058823529411764705,0.0
opmeta_1,M04,S1,A+S+E,1.0,1.0
opmeta_1,M04,S1,I+A+S+E,0.14285714285714285,0.0
opmeta_1,M04,S3,I,0.14285714285714285,0.0
opmeta_1,M04,S3,A,1.0,1.0
opmeta_1,M04,S3,S,0.058823529411764705,1.0
opmeta_1,M04,S3,E,0.14285714285714285,0.0
opmeta_1,M04,S3,I+A,0.5,1.0
opmeta_1,M04,S3,I+S,0.14285714285714285,0.0
opmeta_1,M04,S3,A+S+E,1.0,1.0
opmeta_1,M04,S3,I+A+S+E,0.5,1.0
opmeta_1,M04,S5,I,0.2,1.0
opmeta_1,M04,S5,A,1.0,1.0
opmeta_1,M04,S5,S,0.058823529411764705,1.0
opmeta_1,M04,S5,E,0.08333333333333333,0.0
opmeta_1,M04,S5,I+A,0.5,1.0
opmeta_1,M04,S5,I+S,0.2,1.0
opmeta_1,M04,S5,A+S+E,1.0,1.0
opmeta_1,M04,S5,I+A+S+E,0.16666666666666666,0.0
opmeta_1,M05,S1,I,0.14285714285714285,0.0
opmeta_1,M05,S1,A,1.0,1.0
opmeta_1,M05,S1,S,0.058823529411764705,1.0
opmeta_1,M05,S1,E,0.08333333333333333,0.0
opmeta_1,M05,S1,I+A,0.5,1.0
opmeta_1,M05,S1,I+S,0.14285714285714285,0.0
opmeta_1,M05,S1,A+S+E,1.0,1.0
opmeta_1,M05,S1,I+A+S+E,0.16666666666666666,0.0
opmeta_1,M05,S3,I,0.1111111111111111,0.0
opmeta_1,M05,S3,A,1.0,1.0
opmeta_1,M05,S3,S,0.058823529411764705,1.0
opmeta_1,M05,S3,E,0.1,0.0
opmeta_1,M05,S3,I+A,0.5,1.0
opmeta_1,M05,S3,I+S,0.1111111111111111,0.0
opmeta_1,M05,S3,A+S+E,1.0,1.0
opmeta_1,M05,S3,I+A+S+E,0.2,1.0
opmeta_1,M05,S5,I,0.09090909090909091,0.0
opmeta_1,M05,S5,A,1.0,1.0
opmeta_1,M05,S5,S,0.058823529411764705,1.0
opmeta_1,M05,S5,E,0.08333333333333333,0.0
opmeta_1,M05,S5,I+A,0.5,1.0
opmeta_1,M05,S5,I+S,0.09090909090909091,0.0
opmeta_1,M05,S5,A+S+E,1.0,1.0
opmeta_1,M05,S5,I+A+S+E,0.14285714285714285,0.0
opmeta_1,M06,S1,I,0.5888888888888889,1.0
opmeta_1,M06,S1,A,1.0,1.0
opmeta_1,M06,S1,S,0.15789473684210525,0.3333333333333333
opmeta_1,M06,S1,E,0.24864024864024864,0.3333333333333333
opmeta_1,M06,S1,I+A,0.5888888888888889,1.0
opmeta_1,M06,S1,I+S,0.5888888888888889,1.0
opmeta_1,M06,S1,A+S+E,0.5873015873015872,0.3333333333333333
opmeta_1,M06,S1,I+A+S+E,0.4777777777777778,1.0
opmeta_1,M06,S3,I,1.0,1.0
opmeta_1,M06,S3,A,1.0,1.0
opmeta_1,M06,S3,S,0.15789473684210525,0.3333333333333333
opmeta_1,M06,S3,E,0.16437728937728938,0.0
opmeta_1,M06,S3,I+A,1.0,1.0
opmeta_1,M06,S3,I+S,1.0,1.0
opmeta_1,M06,S3,A+S+E,0.3472222222222222,0.3333333333333333
opmeta_1,M06,S3,I+A+S+E,1.0,1.0
opmeta_1,M06,S5,I,1.0,1.0
opmeta_1,M06,S5,A,1.0,1.0
opmeta_1,M06,S5,S,0.15789473684210525,0.3333333333333333
opmeta_1,M06,S5,E,0.21428571428571427,0.0
opmeta_1,M06,S5,I+A,1.0,1.0
opmeta_1,M06,S5,I+S,1.0,1.0
opmeta_1,M06,S5,A+S+E,0.42857142857142855,0.3333333333333333
opmeta_1,M06,S5,I+A+S+E,1.0,1.0
opmeta_1,M07,S1,I,0.3055555555555556,0.5
opmeta_1,M07,S1,A,1.0,1.0
opmeta_1,M07,S1,S,1.0,1.0
opmeta_1,M07,S1,E,0.325,1.0
opmeta_1,M07,S1,I+A,0.75,1.0
opmeta_1,M07,S1,I+S,0.75,1.0
opmeta_1,M07,S1,A+S+E,1.0,1.0
opmeta_1,M07,S1,I+A+S+E,0.75,1.0
opmeta_1,M07,S3,I,0.3055555555555556,0.5
opmeta_1,M07,S3,A,1.0,1.0
opmeta_1,M07,S3,S,1.0,1.0
opmeta_1,M07,S3,E,0.325,1.0
opmeta_1,M07,S3,I+A,0.75,1.0
opmeta_1,M07,S3,I+S,0.75,1.0
opmeta_1,M07,S3,A+S+E,1.0,1.0
opmeta_1,M07,S3,I+A+S+E,0.75,1.0
opmeta_1,M07,S5,I,0.3055555555555556,0.5
opmeta_1,M07,S5,A,1.0,1.0
opmeta_1,M07,S5,S,1.0,1.0
opmeta_1,M07,S5,E,0.325,1.0
opmeta_1,M07,S5,I+A,0.75,1.0
opmeta_1,M07,S5,I+S,0.75,1.0
opmeta_1,M07,S5,A+S+E,1.0,1.0
opmeta_1,M07,S5,I+A+S+E,0.75,1.0
opmeta_1,M08,S1,I,0.058823529411764705,0.0
opmeta_1,M08,S1,A,1.0,1.0
opmeta_1,M08,S1,S,0.058823529411764705,1.0
opmeta_1,M08,S1,E,0.25,1.0
opmeta_1,M08,S1,I+A,0.3333333333333333,1.0
opmeta_1,M08,S1,I+S,0.058823529411764705,0.0
opmeta_1,M08,S1,A+S+E,1.0,1.0
opmeta_1,M08,S1,I+A+S+E,0.5,1.0
opmeta_1,M08,S3,I,0.25,1.0
opmeta_1,M08,S3,A,1.0,1.0
opmeta_1,M08,S3,S,0.058823529411764705,1.0
opmeta_1,M08,S3,E,0.14285714285714285,0.0
opmeta_1,M08,S3,I+A,0.5,1.0
opmeta_1,M08,S3,I+S,0.25,1.0
opmeta_1,M08,S3,A+S+E,1.0,1.0
opmeta_1,M08,S3,I+A+S+E,0.5,1.0
opmeta_1,M08,S5,I,0.3333333333333333,1.0
opmeta_1,M08,S5,A,1.0,1.0
opmeta_1,M08,S5,S,0.058823529411764705,1.0
opmeta_1,M08,S5,E,1.0,1.0
opmeta_1,M08,S5,I+A,0.5,1.0
opmeta_1,M08,S5,I+S,0.3333333333333333,1.0
opmeta_1,M08,S5,A+S+E,1.0,1.0
opmeta_1,M08,S5,I+A+S+E,0.5,1.0
opmeta_1,M09,S1,I,0.14285714285714285,0.0
opmeta_1,M09,S1,A,1.0,1.0
opmeta_1,M09,S1,S,0.058823529411764705,1.0
opmeta_1,M09,S1,E,0.08333333333333333,0.0
opmeta_1,M09,S1,I+A,0.5,1.0
opmeta_1,M09,S1,I+S,0.14285714285714285,0.0
opmeta_1,M09,S1,A+S+E,0.25,1.0
opmeta_1,M09,S1,I+A+S+E,0.14285714285714285,0.0
opmeta_1,M09,S3,I,0.058823529411764705,0.0
opmeta_1,M09,S3,A,1.0,1.0
opmeta_1,M09,S3,S,0.058823529411764705,1.0
opmeta_1,M09,S3,E,0.08333333333333333,0.0
opmeta_1,M09,S3,I+A,0.3333333333333333,1.0
opmeta_1,M09,S3,I+S,0.058823529411764705,0.0
opmeta_1,M09,S3,A+S+E,0.25,1.0
opmeta_1,M09,S3,I+A+S+E,0.125,0.0
opmeta_1,M09,S5,I,0.058823529411764705,0.0
opmeta_1,M09,S5,A,1.0,1.0
opmeta_1,M09,S5,S,0.058823529411764705,1.0
opmeta_1,M09,S5,E,0.1111111111111111,0.0
opmeta_1,M09,S5,I+A,0.3333333333333333,1.0
opmeta_1,M09,S5,I+S,0.058823529411764705,0.0
opmeta_1,M09,S5,A+S+E,0.3333333333333333,1.0
opmeta_1,M09,S5,I+A+S+E,0.16666666666666666,0.0
opmeta_1,M11,S1,I,0.4444444444444445,0.6666666666666666
opmeta_1,M11,S1,A,1.0,1.0
opmeta_1,M11,S1,S,0.15789473684210525,0.3333333333333333
opmeta_1,M11,S1,E,0.2285714285714286,0.3333333333333333
opmeta_1,M11,S1,I+A,0.5333333333333333,1.0
opmeta_1,M11,S1,I+S,0.4444444444444445,0.6666666666666666
opmeta_1,M11,S1,A+S+E,0.7666666666666666,0.6666666666666666
opmeta_1,M11,S1,I+A+S+E,0.43333333333333335,0.6666666666666666
opmeta_1,M11,S3,I,0.9166666666666665,1.0
opmeta_1,M11,S3,A,1.0,1.0
opmeta_1,M11,S3,S,0.15789473684210525,0.3333333333333333
opmeta_1,M11,S3,E,0.33882783882783885,0.3333333333333333
opmeta_1,M11,S3,I+A,1.0,1.0
opmeta_1,M11,S3,I+S,0.9166666666666665,1.0
opmeta_1,M11,S3,A+S+E,0.7916666666666666,0.6666666666666666
opmeta_1,M11,S3,I+A+S+E,0.9166666666666665,1.0
opmeta_1,M11,S5,I,1.0,1.0
opmeta_1,M11,S5,A,1.0,1.0
opmeta_1,M11,S5,S,0.15789473684210525,0.3333333333333333
opmeta_1,M11,S5,E,0.16951566951566954,0.0
opmeta_1,M11,S5,I+A,1.0,1.0
opmeta_1,M11,S5,I+S,1.0,1.0
opmeta_1,M11,S5,A+S+E,0.2869047619047619,0.3333333333333333
opmeta_1,M11,S5,I+A+S+E,0.9166666666666665,1.0
opmeta_2,M04,S1,I,0.125,0.0
opmeta_2,M04,S1,A,1.0,1.0
opmeta_2,M04,S1,S,0.047619047619047616,1.0
opmeta_2,M04,S1,E,0.125,0.0
opmeta_2,M04,S1,I+A,0.3333333333333333,1.0
opmeta_2,M04,S1,I+S,0.125,0.0
opmeta_2,M04,S1,A+S+E,1.0,1.0
opmeta_2,M04,S1,I+A+S+E,0.3333333333333333,1.0
opmeta_2,M04,S3,I,0.25,1.0
opmeta_2,M04,S3,A,1.0,1.0
opmeta_2,M04,S3,S,0.047619047619047616,1.0
opmeta_2,M04,S3,E,0.047619047619047616,0.0
opmeta_2,M04,S3,I+A,0.3333333333333333,1.0
opmeta_2,M04,S3,I+S,0.25,1.0
opmeta_2,M04,S3,A+S+E,1.0,1.0
opmeta_2,M04,S3,I+A+S+E,0.25,1.0
opmeta_2,M04,S5,I,0.047619047619047616,0.0
opmeta_2,M04,S5,A,1.0,1.0
opmeta_2,M04,S5,S,0.047619047619047616,1.0
opmeta_2,M04,S5,E,0.1,0.0
opmeta_2,M04,S5,I+A,0.3333333333333333,1.0
opmeta_2,M04,S5,I+S,0.047619047619047616,0.0
opmeta_2,M04,S5,A+S+E,1.0,1.0
opmeta_2,M04,S5,I+A+S+E,0.3333333333333333,1.0
opmeta_2,M05,S1,I,0.25,1.0
opmeta_2,M05,S1,A,1.0,1.0
opmeta_2,M05,S1,S,0.047619047619047616,1.0
opmeta_2,M05,S1,E,0.09090909090909091,0.0
opmeta_2,M05,S1,I+A,0.3333333333333333,1.0
opmeta_2,M05,S1,I+S,0.25,1.0
opmeta_2,M05,S1,A+S+E,1.0,1.0
opmeta_2,M05,S1,I+A+S+E,0.3333333333333333,1.0
opmeta_2,M05,S3,I,0.25,1.0
opmeta_2,M05,S3,A,1.0,1.0
opmeta_2,M05,S3,S,0.047619047619047616,1.0
opmeta_2,M05,S3,E,1.0,1.0
opmeta_2,M05,S3,I+A,0.5,1.0
opmeta_2,M05,S3,I+S,0.25,1.0
opmeta_2,M05,S3,A+S+E,1.0,1.0
opmeta_2,M05,S3,I+A+S+E,0.5,1.0
opmeta_2,M05,S5,I,0.047619047619047616,0.0
opmeta_2,M05,S5,A,1.0,1.0
opmeta_2,M05,S5,S,0.047619047619047616,1.0
opmeta_2,M05,S5,E,0.07142857142857142,0.0
opmeta_2,M05,S5,I+A,0.3333333333333333,1.0
opmeta_2,M05,S5,I+S,0.047619047619047616,0.0
opmeta_2,M05,S5,A+S+E,1.0,1.0
opmeta_2,M05,S5,I+A+S+E,0.25,1.0
opmeta_2,M06,S1,I,0.6388888888888888,1.0
opmeta_2,M06,S1,A,1.0,1.0
opmeta_2,M06,S1,S,0.13043478260869565,0.3333333333333333
opmeta_2,M06,S1,E,0.3588235294117647,0.6666666666666666
opmeta_2,M06,S1,I+A,0.6388888888888888,1.0
opmeta_2,M06,S1,I+S,0.6388888888888888,1.0
opmeta_2,M06,S1,A+S+E,0.7222222222222222,0.6666666666666666
opmeta_2,M06,S1,I+A+S+E,0.8333333333333333,0.6666666666666666
opmeta_2,M06,S3,I,1.0,1.0
opmeta_2,M06,S3,A,1.0,1.0
opmeta_2,M06,S3,S,0.13043478260869565,0.3333333333333333
opmeta_2,M06,S3,E,0.1165204678362573,0.0
opmeta_2,M06,S3,I+A,1.0,1.0
opmeta_2,M06,S3,I+S,1.0,1.0
opmeta_2,M06,S3,A+S+E,0.38333333333333336,0.6666666666666666
opmeta_2,M06,S3,I+A+S+E,1.0,1.0
opmeta_2,M06,S5,I,1.0,1.0
opmeta_2,M06,S5,A,1.0,1.0
opmeta_2,M06,S5,S,0.13043478260869565,0.3333333333333333
opmeta_2,M06,S5,E,0.16666666666666666,0.0
opmeta_2,M06,S5,I+A,1.0,1.0
opmeta_2,M06,S5,I+S,1.0,1.0
opmeta_2,M06,S5,A+S+E,0.5,0.6666666666666666
opmeta_2,M06,S5,I+A+S+E,1.0,1.0
opmeta_2,M07,S1,I,0.29545454545454547,0.5
opmeta_2,M07,S1,A,1.0,1.0
opmeta_2,M07,S1,S,1.0,1.0
opmeta_2,M07,S1,E,0.45,1.0
opmeta_2,M07,S1,I+A,0.5,1.0
opmeta_2,M07,S1,I+S,0.75,1.0
opmeta_2,M07,S1,A+S+E,1.0,1.0
opmeta_2,M07,S1,I+A+S+E,0.75,1.0
opmeta_2,M07,S3,I,0.29545454545454547,0.5
opmeta_2,M07,S3,A,1.0,1.0
opmeta_2,M07,S3,S,1.0,1.0
opmeta_2,M07,S3,E,0.45,1.0
opmeta_2,M07,S3,I+A,0.5,1.0
opmeta_2,M07,S3,I+S,0.75,1.0
opmeta_2,M07,S3,A+S+E,1.0,1.0
opmeta_2,M07,S3,I+A+S+E,0.75,1.0
opmeta_2,M07,S5,I,0.29545454545454547,0.5
opmeta_2,M07,S5,A,1.0,1.0
opmeta_2,M07,S5,S,1.0,1.0
opmeta_2,M07,S5,E,0.45,1.0
opmeta_2,M07,S5,I+A,0.5,1.0
opmeta_2,M07,S5,I+S,0.75,1.0
opmeta_2,M07,S5,A+S+E,1.0,1.0
opmeta_2,M07,S5,I+A+S+E,0.75,1.0
opmeta_2,M08,S1,I,0.1111111111111111,0.0
opmeta_2,M08,S1,A,1.0,1.0
opmeta_2,M08,S1,S,0.047619047619047616,1.0
opmeta_2,M08,S1,E,0.07142857142857142,0.0
opmeta_2,M08,S1,I+A,0.3333333333333333,1.0
opmeta_2,M08,S1,I+S,0.1111111111111111,0.0
opmeta_2,M08,S1,A+S+E,0.5,1.0
opmeta_2,M08,S1,I+A+S+E,0.2,1.0
opmeta_2,M08,S3,I,0.25,1.0
opmeta_2,M08,S3,A,1.0,1.0
opmeta_2,M08,S3,S,0.047619047619047616,1.0
opmeta_2,M08,S3,E,0.1111111111111111,0.0
opmeta_2,M08,S3,I+A,0.3333333333333333,1.0
opmeta_2,M08,S3,I+S,0.25,1.0
opmeta_2,M08,S3,A+S+E,1.0,1.0
opmeta_2,M08,S3,I+A+S+E,0.3333333333333333,1.0
opmeta_2,M08,S5,I,0.14285714285714285,0.0
opmeta_2,M08,S5,A,1.0,1.0
opmeta_2,M08,S5,S,0.047619047619047616,1.0
opmeta_2,M08,S5,E,0.5,1.0
opmeta_2,M08,S5,I+A,0.3333333333333333,1.0
opmeta_2,M08,S5,I+S,0.14285714285714285,0.0
opmeta_2,M08,S5,A+S+E,1.0,1.0
opmeta_2,M08,S5,I+A+S+E,0.3333333333333333,1.0
opmeta_2,M09,S1,I,0.047619047619047616,0.0
opmeta_2,M09,S1,A,1.0,1.0
opmeta_2,M09,S1,S,0.047619047619047616,1.0
opmeta_2,M09,S1,E,0.1,0.0
opmeta_2,M09,S1,I+A,0.3333333333333333,1.0
opmeta_2,M09,S1,I+S,0.047619047619047616,0.0
opmeta_2,M09,S1,A+S+E,1.0,1.0
opmeta_2,M09,S1,I+A+S+E,0.25,1.0
opmeta_2,M09,S3,I,0.047619047619047616,0.0
opmeta_2,M09,S3,A,1.0,1.0
opmeta_2,M09,S3,S,0.047619047619047616,1.0
opmeta_2,M09,S3,E,0.058823529411764705,0.0
opmeta_2,M09,S3,I+A,0.3333333333333333,1.0
opmeta_2,M09,S3,I+S,0.047619047619047616,0.0
opmeta_2,M09,S3,A+S+E,0.5,1.0
opmeta_2,M09,S3,I+A+S+E,0.08333333333333333,0.0
opmeta_2,M09,S5,I,0.047619047619047616,0.0
opmeta_2,M09,S5,A,1.0,1.0
opmeta_2,M09,S5,S,0.047619047619047616,1.0
opmeta_2,M09,S5,E,0.09090909090909091,0.0
opmeta_2,M09,S5,I+A,0.3333333333333333,1.0
opmeta_2,M09,S5,I+S,0.047619047619047616,0.0
opmeta_2,M09,S5,A+S+E,0.5,1.0
opmeta_2,M09,S5,I+A+S+E,0.25,1.0
opmeta_2,M11,S1,I,0.3492063492063492,0.6666666666666666
opmeta_2,M11,S1,A,1.0,1.0
opmeta_2,M11,S1,S,0.13043478260869565,0.3333333333333333
opmeta_2,M11,S1,E,0.5990338164251208,0.6666666666666666
opmeta_2,M11,S1,I+A,0.5333333333333333,1.0
opmeta_2,M11,S1,I+S,0.3492063492063492,0.6666666666666666
opmeta_2,M11,S1,A+S+E,0.7777777777777777,0.6666666666666666
opmeta_2,M11,S1,I+A+S+E,0.6222222222222222,0.6666666666666666
opmeta_2,M11,S3,I,0.9166666666666665,1.0
opmeta_2,M11,S3,A,1.0,1.0
opmeta_2,M11,S3,S,0.13043478260869565,0.3333333333333333
opmeta_2,M11,S3,E,0.3207282913165266,0.3333333333333333
opmeta_2,M11,S3,I+A,1.0,1.0
opmeta_2,M11,S3,I+S,0.9166666666666665,1.0
opmeta_2,M11,S3,A+S+E,0.6984126984126984,0.6666666666666666
opmeta_2,M11,S3,I+A+S+E,0.7777777777777777,0.6666666666666666
opmeta_2,M11,S5,I,1.0,1.0
opmeta_2,M11,S5,A,1.0,1.0
opmeta_2,M11,S5,S,0.13043478260869565,0.3333333333333333
opmeta_2,M11,S5,E,0.2272727272727273,0.3333333333333333
opmeta_2,M11,S5,I+A,1.0,1.0
opmeta_2,M11,S5,I+S,1.0,1.0
opmeta_2,M11,S5,A+S+E,0.6095238095238096,0.6666666666666666
opmeta_2,M11,S5,I+A+S+E,1.0,1.0
opmeta_3,M04,S1,I,0.047619047619047616,0.0
opmeta_3,M04,S1,A,1.0,1.0
opmeta_3,M04,S1,S,0.047619047619047616,1.0
opmeta_3,M04,S1,E,0.047619047619047616,0.0
