metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp,mechanism
delta_introduced_distortion,0.0006238007069907417,-2.4196858326104185e-05,0.0016206320127301111,0.958,500,20,0.0019915988868367527,P3,encoded_column,500,M03
delta_introduced_distortion_zero_opp,0.02875909137491625,0.0014647484456988902,0.06367302584653924,0.9828,8,6,0.04386330086691389,P3,encoded_column,500,M03
delta_leak_recall,-0.03520000000000001,-0.055400000000000005,-0.008600000000000003,0.0058,500,20,0.05516062669007764,P3,encoded_column,500,M03
delta_deletion_precision,-0.03520000000000001,-0.054800000000000015,-0.008100000000000007,0.007,500,20,0.05516062669007764,P3,encoded_column,500,M03
delta_legit_retention,-0.0021720833333333375,-0.003557520833333341,-0.000543520833333343,0.0052,500,20,0.0035499189462371997,P3,encoded_column,500,M03
delta_semantic_group_recall_full,-0.03520000000000001,-0.05530250000000001,-0.008897500000000037,0.0062,500,20,0.05516062669007764,P3,encoded_column,500,M03
delta_semantic_group_recall_any,-0.03520000000000001,-0.054800000000000015,-0.009397500000000038,0.005,500,20,0.05516062669007764,P3,encoded_column,500,M03
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M03
delta_legacy_sdr,-0.023612135730853308,-0.04404899914749746,-0.005741821520773462,0.0016,500,20,0.046411357173847055,P3,encoded_column,500,M04
delta_directional_repair,-0.015241032245066144,-0.030212977764285335,-0.0027018699130339557,0.0056,500,20,0.03321913328758695,P3,encoded_column,500,M04
delta_same_side_residual,0.015241032245066144,0.002584633588652219,0.031186060873109135,0.9948,500,20,0.03321913328758695,P3,encoded_column,500,M04
delta_overcorrection,0.007630936885567446,0.0017135760400515325,0.01561640690971701,0.999,500,20,0.016718768412339522,P3,encoded_column,500,M04
delta_introduced_distortion,0.0007401666002197274,9.73820619657073e-05,0.001554823460897753,0.9926,500,20,0.0017095212575553682,P3,encoded_column,500,M04
delta_introduced_distortion_zero_opp,0.03698971497816782,0.007170191214744857,0.07412928461188739,0.9986,11,9,0.05373777251747773,P3,encoded_column,500,M04
delta_leak_recall,-0.04300000000000001,-0.0539,-0.030800000000000004,0.0,500,20,0.02644159402791069,P3,encoded_column,500,M04
delta_deletion_precision,-0.04300000000000001,-0.05350000000000001,-0.03110000000000001,0.0,500,20,0.02644159402791069,P3,encoded_column,500,M04
delta_legit_retention,-0.0027720833333333373,-0.0036079791666666695,-0.001908322916666672,0.0,500,20,0.0020063610010100917,P3,encoded_column,500,M04
delta_semantic_group_recall_full,-0.04300000000000001,-0.053800000000000014,-0.03159750000000004,0.0,500,20,0.02644159402791069,P3,encoded_column,500,M04
delta_semantic_group_recall_any,-0.04300000000000001,-0.05370000000000001,-0.031200000000000006,0.0,500,20,0.02644159402791069,P3,encoded_column,500,M04
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M04
delta_legacy_sdr,-0.02309503369876962,-0.04441735945192585,-0.0052814344985352936,0.001,500,20,0.04575142525925904,P3,encoded_column,500,M05
delta_directional_repair,-0.014421271879666752,-0.029241378365932536,-0.0026757413052884535,0.0014,500,20,0.03129588403461063,P3,encoded_column,500,M05
delta_same_side_residual,0.014421271879666752,0.002825679165991573,0.02953789378982726,0.997,500,20,0.03129588403461063,P3,encoded_column,500,M05
delta_overcorrection,0.00853986319848481,0.0013938536854240485,0.01746736013753478,0.994,500,20,0.01924196425613039,P3,encoded_column,500,M05
delta_introduced_distortion,0.00013389862061806182,-0.0001202190717449799,0.0003628224447476923,0.8694,500,20,0.0005659038126076576,P3,encoded_column,500,M05
delta_introduced_distortion_zero_opp,0.010933776850147044,0.0006848545756781135,0.020439135450142275,0.982,11,7,0.01471249280389686,P3,encoded_column,500,M05
delta_leak_recall,-0.034100000000000005,-0.05300000000000001,-0.007797500000000034,0.0058,500,20,0.05345130592663904,P3,encoded_column,500,M05
delta_deletion_precision,-0.034100000000000005,-0.052600000000000015,-0.0075000000000000015,0.0054,500,20,0.05345130592663904,P3,encoded_column,500,M05
delta_legit_retention,-0.002269583333333341,-0.003415906249999999,-0.0008620729166666769,0.0022,500,20,0.003010477895024755,P3,encoded_column,500,M05
delta_semantic_group_recall_full,-0.034100000000000005,-0.052900000000000016,-0.008000000000000004,0.0054,500,20,0.05345130592663904,P3,encoded_column,500,M05
delta_semantic_group_recall_any,-0.034100000000000005,-0.0528,-0.008600000000000002,0.005,500,20,0.05345130592663904,P3,encoded_column,500,M05
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M05
delta_legacy_sdr,0.042838950642695266,0.03877141303124678,0.04696403135519618,1.0,500,20,0.009456352169892669,P3,encoded_column,500,M06
delta_directional_repair,0.04283886435612006,0.03875832406465432,0.04691225921533907,1.0,500,20,0.00945221431484523,P3,encoded_column,500,M06
delta_same_side_residual,-0.04283886435612006,-0.04684941034405854,-0.03874542311430043,0.0,500,20,0.00945221431484523,P3,encoded_column,500,M06
delta_overcorrection,-8.628657521953869e-08,-2.0981027343471255e-05,2.2378482317605636e-05,0.4282,500,20,4.77763562232651e-05,P3,encoded_column,500,M06
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M06
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M06
delta_leak_recall,0.3649333333333333,0.34957052083333334,0.3806394791666666,1.0,500,20,0.036598467276889396,P3,encoded_column,500,M06
delta_deletion_precision,0.8027000000000001,0.7784487500000001,0.8253024999999999,1.0,500,20,0.05510191514486207,P3,encoded_column,500,M06
delta_legit_retention,0.05010416666666667,0.04705561458333334,0.05332628125000002,1.0,500,20,0.007172998274066855,P3,encoded_column,500,M06
delta_semantic_group_recall_full,0.18380000000000002,0.17509999999999998,0.1894,1.0,500,20,0.017852023326281684,P3,encoded_column,500,M06
delta_semantic_group_recall_any,0.7845000000000001,0.7654,0.8032,1.0,500,20,0.04493679772161881,P3,encoded_column,500,M06
delta_partial_group_violation_rate,0.6007,0.5829975,0.6184999999999999,1.0,500,20,0.04115324378082741,P3,encoded_column,500,M06
delta_legacy_sdr,0.1026820490290175,0.09001514480657359,0.11425185225740159,1.0,500,20,0.028642530163504647,P3,encoded_column,500,M07
delta_directional_repair,0.10730353203780615,0.09787735821740945,0.1162962183364901,1.0,500,20,0.021716345480368947,P3,encoded_column,500,M07
delta_same_side_residual,-0.10730353203780614,-0.11652642338824733,-0.0977363450073547,0.0,500,20,0.021716345480368944,P3,encoded_column,500,M07
delta_overcorrection,0.004621483008788637,0.0003345436986694046,0.010105737448766375,0.9878,500,20,0.011603521006384244,P3,encoded_column,500,M07
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M07
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M07
delta_leak_recall,0.7137,0.6686949999999998,0.7568024999999999,1.0,500,20,0.10552580128500376,P3,encoded_column,500,M07
delta_deletion_precision,0.7137,0.6690974999999999,0.7586025,1.0,500,20,0.10552580128500376,P3,encoded_column,500,M07
delta_legit_retention,0.04209291666666668,0.03700442708333332,0.04735020833333335,1.0,500,20,0.012034854132831814,P3,encoded_column,500,M07
delta_semantic_group_recall_full,0.7137,0.6694975,0.7583,1.0,500,20,0.10552580128500376,P3,encoded_column,500,M07
delta_semantic_group_recall_any,0.7137,0.6704,0.7595025,1.0,500,20,0.10552580128500376,P3,encoded_column,500,M07
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M07
delta_legacy_sdr,-0.01588638566767534,-0.03642021145736489,0.0008456993169728481,0.0352,500,20,0.04308026618165375,P3,encoded_column,500,M08
delta_directional_repair,-0.0022145128685687075,-0.010335214334177735,0.004044373848830932,0.3024,500,20,0.016990790208286605,P3,encoded_column,500,M08
delta_same_side_residual,0.0022145128685687075,-0.003956974134405192,0.010566223337953947,0.7054,500,20,0.016990790208286605,P3,encoded_column,500,M08
delta_overcorrection,0.013671872799106633,0.0029896181382293194,0.026569653343276985,0.9972,500,20,0.027754349970085496,P3,encoded_column,500,M08
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M08
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M08
delta_leak_recall,0.2049,0.09019749999999999,0.33071749999999966,1.0,500,20,0.27988303948162646,P3,encoded_column,500,M08
delta_deletion_precision,0.2049,0.09069499999999998,0.33340749999999986,1.0,500,20,0.27988303948162646,P3,encoded_column,500,M08
delta_legit_retention,0.010833333333333334,0.00504651041666666,0.017034104166666657,1.0,500,20,0.013994197314584803,P3,encoded_column,500,M08
delta_semantic_group_recall_full,0.2049,0.090095,0.3292025,1.0,500,20,0.27988303948162646,P3,encoded_column,500,M08
delta_semantic_group_recall_any,0.2049,0.0920925,0.33299999999999996,1.0,500,20,0.27988303948162646,P3,encoded_column,500,M08
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M08
delta_legacy_sdr,0.02441646292141109,0.007942479712436553,0.044009164823166864,1.0,500,20,0.043038826711451976,P3,encoded_column,500,M09
delta_directional_repair,0.025990805586524494,0.009343502823581483,0.045846771662053,1.0,500,20,0.04378835403570704,P3,encoded_column,500,M09
delta_same_side_residual,-0.02599080558652449,-0.04585191275354824,-0.009320958109672631,0.0,500,20,0.04378835403570704,P3,encoded_column,500,M09
delta_overcorrection,0.0015743426651133913,-1.4903323156823566e-05,0.0040083663507992345,0.9614,500,20,0.00484921493222391,P3,encoded_column,500,M09
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M09
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M09
delta_leak_recall,0.08708750000000001,0.0713,0.10461531249999996,1.0,500,20,0.03938342850475912,P3,encoded_column,500,M09
delta_deletion_precision,0.54835,0.50299875,0.59240125,1.0,500,20,0.10768779190937006,P3,encoded_column,500,M09
delta_legit_retention,0.037978750000000006,0.03366481250000001,0.04226296875000001,1.0,500,20,0.009931872638908388,P3,encoded_column,500,M09
delta_semantic_group_recall_full,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M09
delta_semantic_group_recall_any,0.5156000000000001,0.47059999999999996,0.5630025,1.0,500,20,0.10661213518366965,P3,encoded_column,500,M09
delta_partial_group_violation_rate,0.5156000000000001,0.4720000000000001,0.5610075,1.0,500,20,0.10661213518366965,P3,encoded_column,500,M09
delta_legacy_sdr,0.2008148005281325,0.18223135378314226,0.22010799563018643,1.0,500,20,0.04395002059293243,P3,encoded_column,500,M10
delta_directional_repair,0.20079492129402982,0.1820108224801238,0.21968021141415442,1.0,500,20,0.043971193053354105,P3,encoded_column,500,M10
delta_same_side_residual,-0.20079492129402982,-0.21882168265618662,-0.18193816399621765,0.0,500,20,0.043971193053354105,P3,encoded_column,500,M10
delta_overcorrection,-1.9879234102656674e-05,-3.738179196010259e-05,-4.879091704147986e-06,0.0,500,20,3.8246740557202976e-05,P3,encoded_column,500,M10
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M10
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M10
delta_leak_recall,0.8664999999999999,0.8389000000000001,0.8932,1.0,500,20,0.06270692062872199,P3,encoded_column,500,M10
delta_deletion_precision,0.8664999999999999,0.8396000000000001,0.8926025,1.0,500,20,0.06270692062872199,P3,encoded_column,500,M10
delta_legit_retention,0.0483025046326223,0.04324397996121528,0.053879167744020705,1.0,500,20,0.01274677336946887,P3,encoded_column,500,M10
delta_semantic_group_recall_full,0.8664999999999999,0.8390000000000001,0.8932999999999998,1.0,500,20,0.06270692062872199,P3,encoded_column,500,M10
delta_semantic_group_recall_any,0.8664999999999999,0.8394,0.8921999999999999,1.0,500,20,0.06270692062872199,P3,encoded_column,500,M10
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M10
delta_legacy_sdr,0.04396527614630758,0.03999457428955673,0.047949743771568326,1.0,500,20,0.00953102094793159,P3,encoded_column,500,M11
delta_directional_repair,0.0444979072243851,0.040860889105781215,0.04819303813751653,1.0,500,20,0.008789698329605787,P3,encoded_column,500,M11
delta_same_side_residual,-0.0444979072243851,-0.04842529370866429,-0.0407807226561792,0.0,500,20,0.00878969832960579,P3,encoded_column,500,M11
delta_overcorrection,0.000532631078077488,-2.5944372874649195e-05,0.001133931815620323,0.9596,500,20,0.0013776927449410067,P3,encoded_column,500,M11
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M11
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,500,M11
delta_leak_recall,0.2252208333333333,0.21193093749999997,0.23962124999999998,1.0,500,20,0.03250933598475352,P3,encoded_column,500,M11
delta_deletion_precision,0.7683500000000001,0.7462500000000001,0.7909499999999999,1.0,500,20,0.05406845076771714,P3,encoded_column,500,M11
delta_legit_retention,0.048256666666666684,0.045036062500000015,0.05164307291666667,1.0,500,20,0.007795975026139271,P3,encoded_column,500,M11
delta_semantic_group_recall_full,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,500,M11
delta_semantic_group_recall_any,0.7504,0.732,0.7691999999999999,1.0,500,20,0.04504313721896284,P3,encoded_column,500,M11
delta_partial_group_violation_rate,0.7504,0.7312000000000001,0.7702000000000002,1.0,500,20,0.04504313721896284,P3,encoded_column,500,M11
delta_legacy_sdr,0.12014637745889005,0.08168111827568132,0.14955060187301897,1.0,500,20,0.08211613334298146,P3,encoded_column,1000,M01
delta_directional_repair,0.14817053896547308,0.13346420473503545,0.16278329722582446,1.0,500,20,0.033926821633202826,P3,encoded_column,1000,M01
delta_same_side_residual,-0.14817053896547305,-0.16279223333853268,-0.13366655510019096,0.0,500,20,0.033926821633202826,P3,encoded_column,1000,M01
delta_overcorrection,0.028024161506583045,0.0067470131983926145,0.05724793919661901,1.0,500,20,0.061307181605021445,P3,encoded_column,1000,M01
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M01
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,1000,M01
delta_leak_recall,0.7551999999999999,0.7354,0.7750025,1.0,500,20,0.04709408276608588,P3,encoded_column,1000,M01
delta_deletion_precision,0.4380833333333333,0.3618983333333333,0.52233625,1.0,500,20,0.1870300934287133,P3,encoded_column,1000,M01
delta_legit_retention,0.044689166666666655,0.03982169791666663,0.04991373958333334,1.0,500,20,0.011778331558342495,P3,encoded_column,1000,M01
delta_semantic_group_recall_full,0.7551999999999999,0.7354,0.7754,1.0,500,20,0.04709408276608588,P3,encoded_column,1000,M01
delta_semantic_group_recall_any,0.7551999999999999,0.7361000000000001,0.776,1.0,500,20,0.04709408276608588,P3,encoded_column,1000,M01
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M01
delta_legacy_sdr,0.14451675241540446,0.10361276752491876,0.17643582590647117,1.0,500,20,0.08560810286676414,P3,encoded_column,1000,M02
delta_directional_repair,0.1719212992482816,0.155118859730678,0.18864742778526425,1.0,500,20,0.03960602955668697,P3,encoded_column,1000,M02
delta_same_side_residual,-0.1719212992482816,-0.18823115812716593,-0.15433526921688218,0.0,500,20,0.03960602955668697,P3,encoded_column,1000,M02
delta_overcorrection,0.02740454683287713,0.006196604619811525,0.0574148579662107,0.9998,500,20,0.06130591825738424,P3,encoded_column,1000,M02
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M02
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,1000,M02
delta_leak_recall,0.8346,0.8051999999999999,0.86,1.0,500,20,0.06433825088013964,P3,encoded_column,1000,M02
delta_deletion_precision,0.4885833333333333,0.3973145833333333,0.5862366666666665,1.0,500,20,0.22319888267657204,P3,encoded_column,1000,M02
delta_legit_retention,0.04958958333333333,0.043804572916666645,0.05594030208333333,1.0,500,20,0.014299956772876685,P3,encoded_column,1000,M02
delta_semantic_group_recall_full,0.8346,0.8053000000000001,0.8593999999999999,1.0,500,20,0.06433825088013964,P3,encoded_column,1000,M02
delta_semantic_group_recall_any,0.8346,0.8049949999999999,0.8602000000000001,1.0,500,20,0.06433825088013964,P3,encoded_column,1000,M02
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M02
delta_legacy_sdr,-0.04681338011886552,-0.08309512600674683,-0.016579192530652778,0.0,500,20,0.07719306048306311,P3,encoded_column,1000,M03
delta_directional_repair,-0.02123280805961312,-0.03950452130580035,-0.0062272282572407335,0.0014,500,20,0.040334189624518145,P3,encoded_column,1000,M03
delta_same_side_residual,0.02123280805961312,0.0058558607138071055,0.039653983228893644,0.9988,500,20,0.040334189624518145,P3,encoded_column,1000,M03
delta_overcorrection,0.024902783634562848,0.006620555230861022,0.04828551894190013,1.0,500,20,0.04963870222852194,P3,encoded_column,1000,M03
delta_introduced_distortion,0.0006777884246895614,4.884254322408994e-05,0.0016643769383862495,0.9926,500,20,0.0019800913522309846,P3,encoded_column,1000,M03
delta_introduced_distortion_zero_opp,0.03363392780322151,0.007592629016035042,0.06518591199686459,0.9996,8,6,0.040692160790627034,P3,encoded_column,1000,M03
delta_leak_recall,-0.05700000000000001,-0.08490000000000002,-0.021500000000000005,0.0022,500,20,0.07612040324035128,P3,encoded_column,1000,M03
delta_deletion_precision,-0.029000000000000005,-0.04581708333333335,-0.008633333333333337,0.0036,500,20,0.043162280478912955,P3,encoded_column,1000,M03
delta_legit_retention,-0.003213333333333331,-0.004806729166666665,-0.0012357291666666651,0.0012,500,20,0.004253946739851951,P3,encoded_column,1000,M03
delta_semantic_group_recall_full,-0.05700000000000001,-0.08580000000000002,-0.02190000000000001,0.0022,500,20,0.07612040324035128,P3,encoded_column,1000,M03
delta_semantic_group_recall_any,-0.05700000000000001,-0.08549999999999999,-0.020100000000000003,0.0018,500,20,0.07612040324035128,P3,encoded_column,1000,M03
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M03
delta_legacy_sdr,-0.047812240421588416,-0.08497110794708901,-0.017124863809000582,0.0,500,20,0.07933907705249106,P3,encoded_column,1000,M04
delta_directional_repair,-0.03269004551877052,-0.059445999161131795,-0.010127462016360054,0.0,500,20,0.05683434522895565,P3,encoded_column,1000,M04
delta_same_side_residual,0.03269004551877052,0.011307584777193434,0.058566359809522336,1.0,500,20,0.05683434522895565,P3,encoded_column,1000,M04
delta_overcorrection,0.014339780235500348,0.004698486933160159,0.02851374645004057,1.0,500,20,0.029539240336029487,P3,encoded_column,1000,M04
delta_introduced_distortion,0.0007824146673175535,6.112406641491773e-05,0.0016478938832482388,0.989,500,20,0.001902328214862096,P3,encoded_column,1000,M04
delta_introduced_distortion_zero_opp,0.03897296090825814,0.006997216094996308,0.07944278337364809,0.9976,11,9,0.060679533571293874,P3,encoded_column,1000,M04
delta_leak_recall,-0.05960000000000002,-0.0748,-0.046100000000000016,0.0,500,20,0.034204339521547014,P3,encoded_column,1000,M04
delta_deletion_precision,-0.034966666666666674,-0.04515041666666668,-0.025299583333333344,0.0,500,20,0.02364723689705622,P3,encoded_column,1000,M04
delta_legit_retention,-0.0035958333333333363,-0.004635010416666675,-0.0026354062500000106,0.0,500,20,0.0023512820006931488,P3,encoded_column,1000,M04
delta_semantic_group_recall_full,-0.05960000000000002,-0.07490000000000001,-0.04590000000000001,0.0,500,20,0.034204339521547014,P3,encoded_column,1000,M04
delta_semantic_group_recall_any,-0.05960000000000002,-0.07440000000000001,-0.046200000000000005,0.0,500,20,0.034204339521547014,P3,encoded_column,1000,M04
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M04
delta_legacy_sdr,-0.04668148612862645,-0.08289860050100788,-0.01680130851828592,0.0,500,20,0.07759897950086195,P3,encoded_column,1000,M05
delta_directional_repair,-0.03122562656992691,-0.05973685824105637,-0.009585567856370495,0.0,500,20,0.05881746513574028,P3,encoded_column,1000,M05
delta_same_side_residual,0.03122562656992691,0.008363221077482861,0.05908342278312865,0.9998,500,20,0.05881746513574028,P3,encoded_column,1000,M05
delta_overcorrection,0.014325389591912697,0.004587852562462153,0.02656343327868261,1.0,500,20,0.025899430910387704,P3,encoded_column,1000,M05
delta_introduced_distortion,0.00113046996678686,9.448105017675944e-05,0.0029734961394763393,0.9992,500,20,0.003936741767228449,P3,encoded_column,1000,M05
delta_introduced_distortion_zero_opp,0.043903590252143646,0.007939116136129732,0.10485509320107934,0.9998,11,7,0.07903912061615576,P3,encoded_column,1000,M05
delta_leak_recall,-0.0438,-0.0786,0.0015124999999998172,0.0288,500,20,0.09561964123271789,P3,encoded_column,1000,M05
delta_deletion_precision,-0.025683333333333343,-0.04418333333333334,-0.0023325000000000147,0.016,500,20,0.05012306200771497,P3,encoded_column,1000,M05
delta_legit_retention,-0.002720000000000001,-0.004678458333333339,-0.00027787500000001536,0.0158,500,20,0.0051405049300309435,P3,encoded_column,1000,M05
delta_semantic_group_recall_full,-0.0438,-0.0785,0.0023049999999999234,0.0302,500,20,0.09561964123271789,P3,encoded_column,1000,M05
delta_semantic_group_recall_any,-0.0438,-0.07780250000000002,0.0009024999999999582,0.0272,500,20,0.09561964123271789,P3,encoded_column,1000,M05
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M05
delta_legacy_sdr,0.06680952389871656,0.052645165786733096,0.07990606438471974,1.0,500,20,0.03196091798132923,P3,encoded_column,1000,M06
delta_directional_repair,0.0748587579242755,0.0643111208662997,0.08558025170295179,1.0,500,20,0.024919383325787366,P3,encoded_column,1000,M06
delta_same_side_residual,-0.07485875792427549,-0.0856942445146092,-0.06429674887468324,0.0,500,20,0.024919383325787362,P3,encoded_column,1000,M06
delta_overcorrection,0.008049234025558938,0.0016346793463224616,0.01765782163024989,0.9996,500,20,0.01947960416140421,P3,encoded_column,1000,M06
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M06
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,1000,M06
delta_leak_recall,0.5331541666666666,0.5017027083333333,0.5640985416666665,1.0,500,20,0.07486976643592252,P3,encoded_column,1000,M06
delta_deletion_precision,0.7134833333333332,0.6954483333333332,0.73138625,1.0,500,20,0.04296094717829368,P3,encoded_column,1000,M06
delta_legit_retention,0.08883708333333332,0.08640993749999999,0.09145059375,1.0,500,20,0.005956232591881939,P3,encoded_column,1000,M06
delta_semantic_group_recall_full,0.3293,0.29170000000000007,0.361,1.0,500,20,0.0829921365964397,P3,encoded_column,1000,M06
delta_semantic_group_recall_any,0.6336,0.6241,0.642,1.0,500,20,0.0207298411906477,P3,encoded_column,1000,M06
delta_partial_group_violation_rate,0.3043,0.27149999999999996,0.3398,1.0,500,20,0.0822071196814229,P3,encoded_column,1000,M06
delta_legacy_sdr,0.07030941995069505,0.034460061700724014,0.09800930657005111,0.9992,500,20,0.07696184009391939,P3,encoded_column,1000,M07
delta_directional_repair,0.10015379426057444,0.08999790898398816,0.10961744651331735,1.0,500,20,0.02244255081297261,P3,encoded_column,1000,M07
delta_same_side_residual,-0.10015379426057444,-0.10987916264952872,-0.09057442682306932,0.0,500,20,0.02244255081297261,P3,encoded_column,1000,M07
delta_overcorrection,0.029844374309879386,0.007555818704987243,0.05854039685690006,1.0,500,20,0.06310527824932208,P3,encoded_column,1000,M07
delta_introduced_distortion,0.0,0.0,0.0,0.0,500,20,0.0,P3,encoded_column,1000,M07
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,encoded_column,1000,M07
delta_leak_recall,0.7257999999999999,0.6933,0.7589024999999998,1.0,500,20,0.07770632975640096,P3,encoded_column,1000,M07
delta_deletion_precision,0.4222833333333333,0.3455995833333333,0.5051175,1.0,500,20,0.18872853349911123,P3,encoded_column,1000,M07
