metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp,archetype
delta_legit_retention,0.04187296203796203,0.03611859307359305,0.048342565767565786,1.0,1100,4,0.00767478696468303,P3,encoded_column,1000,drifting
delta_semantic_group_recall_full,0.35404545454545455,0.33045454545454545,0.37763636363636366,1.0,1100,4,0.0290914299195801,P3,encoded_column,1000,drifting
delta_semantic_group_recall_any,0.46086363636363636,0.43931818181818183,0.48181818181818187,1.0,1100,4,0.02676924142558727,P3,encoded_column,1000,drifting
delta_partial_group_violation_rate,0.10681818181818181,0.098,0.11563636363636365,1.0,1100,4,0.010653056054756554,P3,encoded_column,1000,drifting
delta_legacy_sdr,0.07820632870837674,0.064290650105706,0.09212733120841281,1.0,1100,4,0.015381608846417124,P3,encoded_column,1000,interaction
delta_directional_repair,0.0860704129362825,0.07927001965961487,0.09287080621295012,1.0,1100,4,0.008466715133741812,P3,encoded_column,1000,interaction
delta_same_side_residual,-0.0860704129362825,-0.09287080621295012,-0.07927001965961487,0.0,1100,4,0.008466715133741812,P3,encoded_column,1000,interaction
delta_overcorrection,0.00772917584131452,-0.0012454898864749217,0.022493019649187953,0.818,1100,4,0.015200690217302948,P3,encoded_column,1000,interaction
delta_introduced_distortion,0.00013490838659122094,-1.900706729291988e-05,0.00040031944013912426,0.8734,1100,4,0.00026799820777830496,P3,encoded_column,1000,interaction
delta_introduced_distortion_zero_opp,0.01684778736840792,-0.010453887011105936,0.048927931572559626,0.859,5,3,0.029977915620912884,P3,encoded_column,1000,interaction
delta_leak_recall,0.38878030303030303,0.31390340909090914,0.4745208333333333,1.0,1100,4,0.08862697804923148,P3,encoded_column,1000,interaction
delta_deletion_precision,0.3482272727272727,0.2624090909090909,0.43404545454545457,1.0,1100,4,0.10568278591932281,P3,encoded_column,1000,interaction
delta_legit_retention,0.04004312119253295,0.03261204991087343,0.047474192474192475,1.0,1100,4,0.00896653281008584,P3,encoded_column,1000,interaction
delta_semantic_group_recall_full,0.3235454545454546,0.25931818181818184,0.4033181818181818,1.0,1100,4,0.08148572184753455,P3,encoded_column,1000,interaction
delta_semantic_group_recall_any,0.4275909090909091,0.35936363636363633,0.5029545454545454,1.0,1100,4,0.08272912085847722,P3,encoded_column,1000,interaction
delta_partial_group_violation_rate,0.10404545454545455,0.09554545454545454,0.11568181818181819,1.0,1100,4,0.012379112417391813,P3,encoded_column,1000,interaction
delta_legacy_sdr,0.032417332541634314,-0.06834360726747907,0.08633440482987267,0.7432,1100,4,0.10146968066454809,P3,encoded_column,1000,linear
delta_directional_repair,0.07154419554684444,0.03646804620012336,0.09747941394925405,1.0,1100,4,0.03669232720208762,P3,encoded_column,1000,linear
delta_same_side_residual,-0.07154419554684444,-0.09747941394925405,-0.036468046200123366,0.0,1100,4,0.03669232720208762,P3,encoded_column,1000,linear
delta_overcorrection,0.03899847303225226,-0.00043922665569724143,0.10476912981478467,0.9598,1100,4,0.06747172337839263,P3,encoded_column,1000,linear
delta_introduced_distortion,0.0001283899729578542,-3.190340909090934e-05,0.00030545407405661434,0.9272,1100,4,0.00021050582622128062,P3,encoded_column,1000,linear
delta_introduced_distortion_zero_opp,0.011606175107235174,-0.008773437500000068,0.02799995678852298,0.855,9,3,0.01870790656386957,P3,encoded_column,1000,linear
delta_leak_recall,0.3932462121212121,0.3584507575757575,0.42804166666666665,1.0,1100,4,0.04304942423537445,P3,encoded_column,1000,linear
delta_deletion_precision,0.3444015151515151,0.265030303030303,0.4204318181818182,1.0,1100,4,0.08686334741048586,P3,encoded_column,1000,linear
delta_legit_retention,0.04003920481479305,0.03250518716577538,0.04612908757908761,1.0,1100,4,0.007832506680338617,P3,encoded_column,1000,linear
delta_semantic_group_recall_full,0.32859090909090904,0.28904545454545455,0.3647272727272728,1.0,1100,4,0.04247271040888002,P3,encoded_column,1000,linear
delta_semantic_group_recall_any,0.43577272727272726,0.3999090909090909,0.47163636363636363,1.0,1100,4,0.04175921402424697,P3,encoded_column,1000,linear
delta_partial_group_violation_rate,0.10718181818181818,0.09818181818181818,0.11618181818181818,1.0,1100,4,0.011419860907230692,P3,encoded_column,1000,linear
delta_legacy_sdr,0.07385007328188208,0.04477505223364597,0.10292509433011818,1.0,1100,4,0.036366683416581884,P3,encoded_column,1000,nonlinear
delta_directional_repair,0.08202882816255316,0.05437189510431699,0.10968576122078932,1.0,1100,4,0.032200960707993186,P3,encoded_column,1000,nonlinear
delta_same_side_residual,-0.08202882816255316,-0.10968576122078932,-0.05437189510431698,0.0,1100,4,0.032200960707993186,P3,encoded_column,1000,nonlinear
delta_overcorrection,0.007897042245630037,-0.0003436021448769713,0.016137686636137044,0.9366,1100,4,0.009737553279000303,P3,encoded_column,1000,nonlinear
delta_introduced_distortion,0.00028171263504103,-1.3670416185231365e-05,0.0008479707792207795,0.8028,1100,4,0.0005662710187568006,P3,encoded_column,1000,nonlinear
delta_introduced_distortion_zero_opp,0.03437383758821,-0.0034996843253170978,0.10364087301587305,0.8542,7,3,0.06007444777038646,P3,encoded_column,1000,nonlinear
delta_leak_recall,0.41203787878787873,0.3568295454545454,0.4672462121212121,1.0,1100,4,0.06553846069385043,P3,encoded_column,1000,nonlinear
delta_deletion_precision,0.3563787878787879,0.30400000000000005,0.40875757575757576,1.0,1100,4,0.06571577361444297,P3,encoded_column,1000,nonlinear
delta_legit_retention,0.04147094212160389,0.037789852941176455,0.04515203130203131,1.0,1100,4,0.004573566721533658,P3,encoded_column,1000,nonlinear
delta_semantic_group_recall_full,0.3462727272727273,0.29827272727272724,0.39427272727272733,1.0,1100,4,0.058081068071442706,P3,encoded_column,1000,nonlinear
delta_semantic_group_recall_any,0.45013636363636367,0.41200000000000003,0.4882727272727273,1.0,1100,4,0.048465005409174325,P3,encoded_column,1000,nonlinear
delta_partial_group_violation_rate,0.10386363636363638,0.094,0.11372727272727273,1.0,1100,4,0.011790059781098367,P3,encoded_column,1000,nonlinear
delta_legacy_sdr,0.03692147255843701,-0.027538850582115276,0.07720580849299036,0.95,1100,4,0.06351684993610279,P3,encoded_column,1000,sparse
delta_directional_repair,0.058829902611608906,0.026254748314592506,0.08298123157928233,1.0,1100,4,0.035059365234356314,P3,encoded_column,1000,sparse
delta_same_side_residual,-0.058829902611608906,-0.08298123157928233,-0.026254748314592506,0.0,1100,4,0.035059365234356314,P3,encoded_column,1000,sparse
delta_overcorrection,0.02170535302479957,0.002608607105230143,0.051034196953683886,0.9954,1100,4,0.030260268630587207,P3,encoded_column,1000,sparse
delta_introduced_distortion,0.00020307702837231553,0.0,0.00047370829253596435,0.939,1100,4,0.00029811789361540366,P3,encoded_column,1000,sparse
delta_introduced_distortion_zero_opp,0.09926944295151685,0.024845845306513417,0.17369304059652027,1.0,3,2,0.10525086115016218,P3,encoded_column,1000,sparse
delta_leak_recall,0.39273295454545454,0.32601136363636357,0.44466666666666665,1.0,1100,4,0.07326695629385291,P3,encoded_column,1000,sparse
delta_deletion_precision,0.34354545454545454,0.27022727272727276,0.4388181818181818,1.0,1100,4,0.10429622466484027,P3,encoded_column,1000,sparse
delta_legit_retention,0.039516581114963464,0.03356605869620574,0.047455372960372985,1.0,1100,4,0.008550553683552578,P3,encoded_column,1000,sparse
delta_semantic_group_recall_full,0.32804545454545453,0.2718636363636363,0.37163636363636365,1.0,1100,4,0.0616025427903501,P3,encoded_column,1000,sparse
delta_semantic_group_recall_any,0.42940909090909096,0.3678181818181818,0.4716818181818182,1.0,1100,4,0.06296430839953222,P3,encoded_column,1000,sparse
delta_partial_group_violation_rate,0.10136363636363636,0.09595454545454546,0.11077272727272727,1.0,1100,4,0.009459788755875316,P3,encoded_column,1000,sparse
delta_legacy_sdr,0.03927077990552097,-0.05857036725556446,0.09263354231912836,0.7424,1100,4,0.09812541165094303,P3,encoded_column,2000,drifting
delta_directional_repair,0.0819806375643515,0.04991237026146288,0.10110527746312407,1.0,1100,4,0.031701499097954174,P3,encoded_column,2000,drifting
delta_same_side_residual,-0.0819806375643515,-0.10110527746312407,-0.04991237026146288,0.0,1100,4,0.031701499097954174,P3,encoded_column,2000,drifting
delta_overcorrection,0.04240260291509363,0.0066608553555505,0.1075236538056638,1.0,1100,4,0.06587746639510901,P3,encoded_column,2000,drifting
delta_introduced_distortion,0.00030725474373692526,-2.912764179334523e-05,0.0009590837113635569,0.6884,1100,4,0.000653497370697206,P3,encoded_column,2000,drifting
delta_introduced_distortion_zero_opp,0.0552175982520375,-0.009011022195379532,0.1770002105484788,0.7052,6,3,0.10551962452568064,P3,encoded_column,2000,drifting
delta_leak_recall,0.42220454545454544,0.3944431818181818,0.45755681818181815,1.0,1100,4,0.03712252832133708,P3,encoded_column,2000,drifting
delta_deletion_precision,0.21275757575757576,0.1916030303030303,0.23391212121212118,1.0,1100,4,0.02458819125243704,P3,encoded_column,2000,drifting
delta_legit_retention,0.05340529149771797,0.0453638961038961,0.06144668689153984,1.0,1100,4,0.009887892145467155,P3,encoded_column,2000,drifting
delta_semantic_group_recall_full,0.35913636363636364,0.3272272727272727,0.40136363636363637,1.0,1100,4,0.0449639892645049,P3,encoded_column,2000,drifting
delta_semantic_group_recall_any,0.3695,0.34863636363636363,0.39904545454545454,1.0,1100,4,0.03172484144543975,P3,encoded_column,2000,drifting
delta_partial_group_violation_rate,0.010363636363636363,-0.0023181818181818173,0.025045454545454548,0.9628,1100,4,0.015335369370152395,P3,encoded_column,2000,drifting
delta_legacy_sdr,0.0810078266130443,0.06436846091459228,0.09960065387895091,1.0,1100,4,0.020442089840464178,P3,encoded_column,2000,interaction
delta_directional_repair,0.09600395722900056,0.08448340253641513,0.10752451192158598,1.0,1100,4,0.013713994684465143,P3,encoded_column,2000,interaction
delta_same_side_residual,-0.09600395722900056,-0.10752451192158596,-0.08448340253641513,0.0,1100,4,0.013713994684465138,P3,encoded_column,2000,interaction
delta_overcorrection,0.01484598200759583,0.0010465630485186105,0.02864540096667305,0.9794,1100,4,0.016876632049040538,P3,encoded_column,2000,interaction
delta_introduced_distortion,0.0001501486083604242,-2.4431387058137308e-05,0.0003747221974119042,0.941,1100,4,0.00024784887807732483,P3,encoded_column,2000,interaction
delta_introduced_distortion_zero_opp,0.02452156994303742,-0.013437262881975519,0.04579937968367718,0.96,5,3,0.03295356360044794,P3,encoded_column,2000,interaction
delta_leak_recall,0.39336742424242427,0.34544318181818184,0.4524545454545455,1.0,1100,4,0.05974996798208189,P3,encoded_column,2000,interaction
delta_deletion_precision,0.2021022727272727,0.17916969696969695,0.2250348484848485,1.0,1100,4,0.027822162340924588,P3,encoded_column,2000,interaction
delta_legit_retention,0.050820042996219464,0.043032716450216446,0.059766685520362,1.0,1100,4,0.010429872351220407,P3,encoded_column,2000,interaction
delta_semantic_group_recall_full,0.33309090909090905,0.29345454545454547,0.38372727272727275,1.0,1100,4,0.05247273987273838,P3,encoded_column,2000,interaction
delta_semantic_group_recall_any,0.3389545454545455,0.3003181818181818,0.38436363636363635,1.0,1100,4,0.0518653427069048,P3,encoded_column,2000,interaction
delta_partial_group_violation_rate,0.0058636363636363625,-0.007227272727272728,0.023181818181818182,0.7352,1100,4,0.017564913059816094,P3,encoded_column,2000,interaction
delta_legacy_sdr,0.024476661297762457,-0.11266311682317018,0.0995964343497361,0.7274,1100,4,0.13690739737128302,P3,encoded_column,2000,linear
delta_directional_repair,0.08163639839485279,0.04077151112811287,0.11308086703961853,1.0,1100,4,0.044642867573395355,P3,encoded_column,2000,linear
delta_same_side_residual,-0.08163639839485279,-0.11308086703961853,-0.04077151112811287,0.0,1100,4,0.044642867573395355,P3,encoded_column,2000,linear
delta_overcorrection,0.05707508856983535,0.0028249114839901278,0.1534329504008923,0.9966,1100,4,0.09609166994699078,P3,encoded_column,2000,linear
delta_introduced_distortion,8.464852725496814e-05,-3.774006324557768e-05,0.00028833054422891036,0.7446,1100,4,0.0002016105361054386,P3,encoded_column,2000,linear
delta_introduced_distortion_zero_opp,0.006606279732534983,-0.00722656249999998,0.02643029988765012,0.7508,9,3,0.01761013220053481,P3,encoded_column,2000,linear
delta_leak_recall,0.3844185606060606,0.33366666666666667,0.43766098484848487,1.0,1100,4,0.06591290316822164,P3,encoded_column,2000,linear
delta_deletion_precision,0.19890378787878787,0.1695681818181818,0.21766818181818182,1.0,1100,4,0.03012047825204008,P3,encoded_column,2000,linear
delta_legit_retention,0.049943347485847486,0.0405225,0.056323667998668,1.0,1100,4,0.009650049334384429,P3,encoded_column,2000,linear
delta_semantic_group_recall_full,0.3235454545454546,0.2715,0.3704090909090909,1.0,1100,4,0.06067726120671738,P3,encoded_column,2000,linear
delta_semantic_group_recall_any,0.3323181818181818,0.2861818181818182,0.3784545454545455,1.0,1100,4,0.05708712108645341,P3,encoded_column,2000,linear
delta_partial_group_violation_rate,0.008772727272727272,-0.007545454545454544,0.02368181818181818,0.8564,1100,4,0.01722921153238151,P3,encoded_column,2000,linear
delta_legacy_sdr,0.053481008049001716,-0.04510010777789707,0.1231182084155239,0.8818,1100,4,0.10455034146885546,P3,encoded_column,2000,nonlinear
delta_directional_repair,0.09086189815989895,0.05265275617033427,0.12907104014946363,1.0,1100,4,0.04613664232427284,P3,encoded_column,2000,nonlinear
delta_same_side_residual,-0.09086189815989895,-0.12907104014946363,-0.05265275617033427,0.0,1100,4,0.04613664232427284,P3,encoded_column,2000,nonlinear
delta_overcorrection,0.03683756208233528,0.0010770890988410658,0.09960874293530547,0.9758,1100,4,0.06344433982636277,P3,encoded_column,2000,nonlinear
delta_introduced_distortion,0.0005433280285619645,-7.51224421545708e-05,0.001727656243749555,0.6746,1100,4,0.001187411343870777,P3,encoded_column,2000,nonlinear
delta_introduced_distortion_zero_opp,0.06411135109173934,-0.012402343749999998,0.21299272486772494,0.7086,7,3,0.1289517155955858,P3,encoded_column,2000,nonlinear
delta_leak_recall,0.41555681818181817,0.3599204545454545,0.4711931818181818,1.0,1100,4,0.06783467759253564,P3,encoded_column,2000,nonlinear
delta_deletion_precision,0.21502954545454547,0.1996515151515152,0.23022803030303032,1.0,1100,4,0.017278346131097657,P3,encoded_column,2000,nonlinear
delta_legit_retention,0.05410840282266753,0.04824563852813853,0.05921886446886447,1.0,1100,4,0.006819028420427845,P3,encoded_column,2000,nonlinear
delta_semantic_group_recall_full,0.3502727272727273,0.29709090909090907,0.4034545454545455,1.0,1100,4,0.06358915998200979,P3,encoded_column,2000,nonlinear
delta_semantic_group_recall_any,0.35659090909090907,0.3198181818181818,0.39336363636363636,1.0,1100,4,0.04560493303750562,P3,encoded_column,2000,nonlinear
delta_partial_group_violation_rate,0.006318181818181818,-0.010090909090909091,0.022727272727272728,0.7498,1100,4,0.020333513976526753,P3,encoded_column,2000,nonlinear
delta_legacy_sdr,0.021586727863054184,-0.04977182465413958,0.07122726182863065,0.7384,1100,4,0.07642675261537572,P3,encoded_column,2000,sparse
delta_directional_repair,0.06919149838863344,0.037780799690285645,0.10060219708698123,1.0,1100,4,0.03872932679411384,P3,encoded_column,2000,sparse
delta_same_side_residual,-0.06919149838863344,-0.10060219708698123,-0.037780799690285645,0.0,1100,4,0.03872932679411384,P3,encoded_column,2000,sparse
delta_overcorrection,0.04743642442900008,0.01949504419191915,0.08972773181535738,1.0,1100,4,0.04443071762960619,P3,encoded_column,2000,sparse
delta_introduced_distortion,0.00016834609657916775,0.0,0.0003696787677939295,0.945,1100,4,0.00023249840845420731,P3,encoded_column,2000,sparse
delta_introduced_distortion_zero_opp,0.08018239694038133,0.02481591235632186,0.1355488815244408,1.0,3,2,0.0783000333996978,P3,encoded_column,2000,sparse
delta_leak_recall,0.3903238636363636,0.3403219696969697,0.4428920454545454,1.0,1100,4,0.06195387148667159,P3,encoded_column,2000,sparse
delta_deletion_precision,0.20050984848484849,0.19170151515151518,0.2093181818181818,1.0,1100,4,0.011168128647631687,P3,encoded_column,2000,sparse
delta_legit_retention,0.05040475211063447,0.045122326203208565,0.05703126040626041,1.0,1100,4,0.007122367471591807,P3,encoded_column,2000,sparse
delta_semantic_group_recall_full,0.3267272727272727,0.26995454545454545,0.38749999999999996,1.0,1100,4,0.06690003232487164,P3,encoded_column,2000,sparse
delta_semantic_group_recall_any,0.3388181818181818,0.2951818181818182,0.38627272727272727,1.0,1100,4,0.052944276543671655,P3,encoded_column,2000,sparse
delta_partial_group_violation_rate,0.012090909090909091,-0.0008181818181818199,0.024818181818181823,0.9604,1100,4,0.014194632904932244,P3,encoded_column,2000,sparse
delta_legacy_sdr,0.11926080573679648,0.09449798300929918,0.13310684638070475,1.0,1100,4,0.02467313058701327,P3,semantic_group,500,drifting
delta_directional_repair,0.11949428969629838,0.09579879467282558,0.13307431998750407,1.0,1100,4,0.02360171000728924,P3,semantic_group,500,drifting
delta_same_side_residual,-0.1194942896962984,-0.13307431998750407,-0.09579879467282558,0.0,1100,4,0.02360171000728924,P3,semantic_group,500,drifting
delta_overcorrection,0.00020505672955089285,-0.0005559272246065481,0.0012300625894611818,0.6806,1100,4,0.0011140976309791295,P3,semantic_group,500,drifting
delta_introduced_distortion,2.84272299510121e-05,-1.1906167213429702e-05,7.074907406521324e-05,0.871,1100,4,5.1956538459913886e-05,P3,semantic_group,500,drifting
delta_introduced_distortion_zero_opp,0.003460425843329229,-0.006548391967386336,0.012970663578622426,0.7406,6,3,0.009769074619468826,P3,semantic_group,500,drifting
delta_leak_recall,0.5420909090909091,0.4976363636363636,0.5865454545454545,1.0,1100,4,0.05503327318109287,P3,semantic_group,500,drifting
delta_deletion_precision,0.5420909090909091,0.4976363636363636,0.5865454545454546,1.0,1100,4,0.05503327318109287,P3,semantic_group,500,drifting
delta_legit_retention,0.0319202070478541,0.02441560606060604,0.041463397435897456,1.0,1100,4,0.01063362490921657,P3,semantic_group,500,drifting
