metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp
delta_introduced_distortion,0.0002355157326176341,6.849524307991877e-05,0.00044532016561904975,1.0,5500,20,0.00044048988270895646,P3,encoded_column,1000
delta_introduced_distortion_zero_opp,0.04496928248671319,0.013375826550998638,0.0840180533309214,0.9996,30,14,0.07141274740384271,P3,encoded_column,1000
delta_leak_recall,0.4010541666666666,0.3750967424242424,0.4257721969696969,1.0,5500,20,0.058078783258021606,P3,encoded_column,1000
delta_deletion_precision,0.3509257575757576,0.31639791666666667,0.38575071969696967,1.0,5500,20,0.0823516388386376,P3,encoded_column,1000
delta_legit_retention,0.04058856225637107,0.03767964318365456,0.04344816073485337,1.0,5500,20,0.006885312371439113,P3,encoded_column,1000
delta_semantic_group_recall_full,0.3361,0.3133711363636363,0.35841,1.0,5500,20,0.05241180914781535,P3,encoded_column,1000
delta_semantic_group_recall_any,0.4407545454545455,0.4192506818181818,0.461710909090909,1.0,5500,20,0.05136583473298611,P3,encoded_column,1000
delta_partial_group_violation_rate,0.10465454545454544,0.10050886363636363,0.10906363636363636,1.0,5500,20,0.010178639285024785,P3,encoded_column,1000
delta_legacy_sdr,0.04396460074567673,0.004808563339485949,0.07830188684401679,0.986,5500,20,0.08770379996999147,P3,encoded_column,2000
delta_directional_repair,0.08393487794734744,0.06895852330169552,0.09791114915613915,1.0,5500,20,0.0341238046800902,P3,encoded_column,2000
delta_same_side_residual,-0.08393487794734744,-0.09795954752580309,-0.06900573327554767,0.0,5500,20,0.0341238046800902,P3,encoded_column,2000
delta_overcorrection,0.03971953200077204,0.017540287250457347,0.06609436793379682,1.0,5500,20,0.05783483073038547,P3,encoded_column,2000
delta_introduced_distortion,0.00025074520089868996,4.2280128723270184e-05,0.0005410535785329454,0.998,5500,20,0.0005854638025602688,P3,encoded_column,2000
delta_introduced_distortion_zero_opp,0.0436953707813436,0.008363430972088182,0.08422415124698689,0.997,30,14,0.07544223960223205,P3,encoded_column,2000
delta_leak_recall,0.4011742424242423,0.3772751609848485,0.4252136363636364,1.0,5500,20,0.05507491564175738,P3,encoded_column,2000
delta_deletion_precision,0.20586060606060608,0.19638357575757576,0.2148742196969697,1.0,5500,20,0.02178682943617013,P3,encoded_column,2000
delta_legit_retention,0.05173636738261739,0.04834366221437877,0.05521086226947072,1.0,5500,20,0.008103503536234158,P3,encoded_column,2000
delta_semantic_group_recall_full,0.33855454545454544,0.31588159090909096,0.3617825,1.0,5500,20,0.05368130385567274,P3,encoded_column,2000
delta_semantic_group_recall_any,0.3472363636363636,0.3269629545454546,0.3667922727272727,1.0,5500,20,0.04547741434284721,P3,encoded_column,2000
delta_partial_group_violation_rate,0.008681818181818183,0.00229,0.015164318181818173,0.996,5500,20,0.015352704131224922,P3,encoded_column,2000
delta_legacy_sdr,0.11506078798548316,0.09800216568980358,0.1304596549153496,1.0,5500,20,0.03815409146271634,P3,semantic_group,500
delta_directional_repair,0.11978290781808745,0.10609981027404954,0.13296054692627518,1.0,5500,20,0.031750470214732165,P3,semantic_group,500
delta_same_side_residual,-0.11978290781808745,-0.13274859478593878,-0.1056099685754208,0.0,5500,20,0.03175047021473217,P3,semantic_group,500
delta_overcorrection,0.004592385622156173,0.0011060644147716516,0.008959725469919091,0.9988,5500,20,0.009296970214164072,P3,semantic_group,500
delta_introduced_distortion,0.00012973421044810187,2.171654393515941e-05,0.0002685756980372545,0.993,5500,20,0.000295449515160563,P3,semantic_group,500
delta_introduced_distortion_zero_opp,0.023603212236659267,0.003580028495210466,0.04720604648231877,0.9936,30,14,0.044891024413961554,P3,semantic_group,500
delta_leak_recall,0.5386,0.5105,0.5669372727272727,1.0,5500,20,0.06397136973795779,P3,semantic_group,500
delta_deletion_precision,0.5386,0.5116265909090909,0.5652645454545455,1.0,5500,20,0.06397136973795779,P3,semantic_group,500
delta_legit_retention,0.0314413556639439,0.027969415458683464,0.03505664659225579,1.0,5500,20,0.008328530468364815,P3,semantic_group,500
delta_semantic_group_recall_full,0.5386,0.5124272727272727,0.5658831818181818,1.0,5500,20,0.06397136973795779,P3,semantic_group,500
delta_semantic_group_recall_any,0.5386,0.5108813636363635,0.5659731818181816,1.0,5500,20,0.06397136973795779,P3,semantic_group,500
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P3,semantic_group,500
delta_legacy_sdr,0.08512176601504078,0.0495591579496588,0.11389224385333922,1.0,5500,20,0.07721941279328991,P3,semantic_group,1000
delta_directional_repair,0.10949263644938792,0.0929267618316968,0.12436880737623711,1.0,5500,20,0.03611674040961203,P3,semantic_group,1000
delta_same_side_residual,-0.10949263644938792,-0.12369880658228247,-0.09335548452320809,0.0,5500,20,0.03611674040961203,P3,semantic_group,1000
delta_overcorrection,0.02414484060151722,0.0075898575042774585,0.04730999605477357,1.0,5500,20,0.047963244315794365,P3,semantic_group,1000
delta_introduced_distortion,0.00022602983282990176,6.732644417846457e-05,0.0004264855570218805,0.9998,5500,20,0.0004257360567918407,P3,semantic_group,1000
delta_introduced_distortion_zero_opp,0.04366800581730148,0.012411706502748554,0.08146376515514654,0.9998,30,14,0.07029215862078535,P3,semantic_group,1000
delta_leak_recall,0.5367818181818182,0.51329,0.5583552272727275,1.0,5500,20,0.0534128698652921,P3,semantic_group,1000
delta_deletion_precision,0.36986798701298695,0.32619682683982687,0.417258748015873,1.0,5500,20,0.1070509051612921,P3,semantic_group,1000
delta_legit_retention,0.031446869258192775,0.027956826622029904,0.035177720094856126,1.0,5500,20,0.008511253559778446,P3,semantic_group,1000
delta_semantic_group_recall_full,0.5367818181818182,0.5134447727272728,0.5588093181818181,1.0,5500,20,0.0534128698652921,P3,semantic_group,1000
delta_semantic_group_recall_any,0.5367818181818182,0.5134352272727273,0.5585020454545454,1.0,5500,20,0.0534128698652921,P3,semantic_group,1000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P3,semantic_group,1000
delta_legacy_sdr,0.042616157318835904,-0.005337295854498463,0.08412459990626923,0.9596,5500,20,0.10619378602356595,P3,semantic_group,2000
delta_directional_repair,0.09477511443769854,0.07896793341996768,0.10993028398358604,1.0,5500,20,0.03655653299183295,P3,semantic_group,2000
delta_same_side_residual,-0.09477511443769854,-0.10945838152712056,-0.07863107857434755,0.0,5500,20,0.03655653299183295,P3,semantic_group,2000
delta_overcorrection,0.051890605329464726,0.02309560933542759,0.08532953635415698,1.0,5500,20,0.07424589768451774,P3,semantic_group,2000
delta_introduced_distortion,0.00026835178939791916,5.036194082436683e-05,0.0005706109127202448,0.9992,5500,20,0.0006201963987780744,P3,semantic_group,2000
delta_introduced_distortion_zero_opp,0.04779007144703283,0.010238626166675348,0.09162528832075098,0.9976,30,14,0.08173634137750516,P3,semantic_group,2000
delta_leak_recall,0.4825636363636365,0.46152727272727273,0.5034729545454546,1.0,5500,20,0.04901553313020554,P3,semantic_group,2000
delta_deletion_precision,0.208832266824085,0.19798090992719403,0.21891629909484453,1.0,5500,20,0.024920733214315843,P3,semantic_group,2000
delta_legit_retention,0.02797314575130752,0.025360832842892405,0.03060744668297389,1.0,5500,20,0.006129952224902972,P3,semantic_group,2000
delta_semantic_group_recall_full,0.4825636363636365,0.4618613636363637,0.5031913636363635,1.0,5500,20,0.04901553313020554,P3,semantic_group,2000
delta_semantic_group_recall_any,0.4825636363636365,0.46254500000000004,0.5030638636363637,1.0,5500,20,0.04901553313020554,P3,semantic_group,2000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P3,semantic_group,2000
delta_legacy_sdr,0.053909288177108806,0.03892811734725057,0.06755032371293553,1.0,5500,20,0.03306985726400384,P4,encoded_column,500
delta_directional_repair,0.06284471765609459,0.052754133604651754,0.07277080997793563,1.0,5500,20,0.023715485730848352,P4,encoded_column,500
delta_same_side_residual,-0.06284471765609459,-0.07273204752534561,-0.05274609204131758,0.0,5500,20,0.02371548573084836,P4,encoded_column,500
delta_overcorrection,0.00871057050491425,0.004425469470367748,0.013545109181996346,1.0,5500,20,0.01062544111767236,P4,encoded_column,500
delta_introduced_distortion,0.00022485897407153064,8.539776694501162e-05,0.0003931746759694982,1.0,5500,20,0.00036696431822145207,P4,encoded_column,500
delta_introduced_distortion_zero_opp,0.04319265828503967,0.01881332767601431,0.07133302340723556,1.0,30,14,0.050324375067700024,P4,encoded_column,500
delta_leak_recall,0.39897651515151517,0.3664654734848485,0.43085551136363626,1.0,5500,20,0.075108999093589,P4,encoded_column,500
delta_deletion_precision,0.5347181818181819,0.4970262499999999,0.5705775,1.0,5500,20,0.08473820647360693,P4,encoded_column,500
delta_legit_retention,0.03216989995788526,0.02937374742169594,0.03512183225903998,1.0,5500,20,0.006838080540617297,P4,encoded_column,500
delta_semantic_group_recall_full,0.35266363636363635,0.3227254545454546,0.3825097727272727,1.0,5500,20,0.0710957492937384,P4,encoded_column,500
delta_semantic_group_recall_any,0.5283636363636364,0.4924811363636362,0.562855,1.0,5500,20,0.08230509025380929,P4,encoded_column,500
delta_partial_group_violation_rate,0.17570000000000002,0.1690815909090909,0.1824181818181818,1.0,5500,20,0.015703901654866948,P4,encoded_column,500
delta_legacy_sdr,0.04289702875653091,0.014003835552953339,0.06761952476966186,0.9974,5500,20,0.06234135750444406,P4,encoded_column,1000
delta_directional_repair,0.07143604764329915,0.05806298736216478,0.08400160902023213,1.0,5500,20,0.030209238523288273,P4,encoded_column,1000
delta_same_side_residual,-0.07143604764329915,-0.08439527508369239,-0.058154960440585206,0.0,5500,20,0.03020923852328827,P4,encoded_column,1000
delta_overcorrection,0.02819925471274638,0.014639538987388994,0.045519115731545254,1.0,5500,20,0.03633610629585476,P4,encoded_column,1000
delta_introduced_distortion,0.00033976417402183605,0.0001499690789141552,0.0005547934745090917,1.0,5500,20,0.00048215986329685145,P4,encoded_column,1000
delta_introduced_distortion_zero_opp,0.06390694776136373,0.03174998740891752,0.09973410142076641,1.0,30,14,0.06699234232434607,P4,encoded_column,1000
delta_leak_recall,0.43066022727272735,0.3963356628787879,0.4610736742424242,1.0,5500,20,0.07513876343117719,P4,encoded_column,1000
delta_deletion_precision,0.3721681818181818,0.33742977272727276,0.41109140151515156,1.0,5500,20,0.08714350729215128,P4,encoded_column,1000
delta_legit_retention,0.04307946987816104,0.04001793188257819,0.04630222519478071,1.0,5500,20,0.007229415530036454,P4,encoded_column,1000
delta_semantic_group_recall_full,0.36573636363636364,0.33409954545454545,0.3946281818181818,1.0,5500,20,0.06997409512591594,P4,encoded_column,1000
delta_semantic_group_recall_any,0.46966363636363645,0.44083454545454553,0.4963454545454546,1.0,5500,20,0.06674270123967886,P4,encoded_column,1000
delta_partial_group_violation_rate,0.10392727272727273,0.09937272727272728,0.10883772727272724,1.0,5500,20,0.01135628853350417,P4,encoded_column,1000
delta_legacy_sdr,0.020422516399683337,-0.018752039426953047,0.05566520956117258,0.8598,5500,20,0.0873822131287081,P4,encoded_column,2000
delta_directional_repair,0.08047659476217872,0.06546348677340484,0.0950090952771115,1.0,5500,20,0.03448940866286276,P4,encoded_column,2000
delta_same_side_residual,-0.08047659476217872,-0.0950152580423519,-0.06561237582187808,0.0,5500,20,0.03448940866286276,P4,encoded_column,2000
delta_overcorrection,0.05957947950742156,0.03638239122908922,0.08474653156120875,1.0,5500,20,0.05667455939225965,P4,encoded_column,2000
delta_introduced_distortion,0.0004745988550738052,0.00023457895883115682,0.0007832377278312809,1.0,5500,20,0.0006381373596330423,P4,encoded_column,2000
delta_introduced_distortion_zero_opp,0.08245212860663365,0.05293663643101076,0.11661411418050803,1.0,30,14,0.0623202805836175,P4,encoded_column,2000
delta_leak_recall,0.4497727272727272,0.4345237215909091,0.4635074621212121,1.0,5500,20,0.0335847871202099,P4,encoded_column,2000
delta_deletion_precision,0.2311757575757576,0.22293520454545454,0.23909341287878785,1.0,5500,20,0.01909409975615615,P4,encoded_column,2000
delta_legit_retention,0.058134496802217404,0.05476686748263991,0.061716752419761614,1.0,5500,20,0.008187171787896292,P4,encoded_column,2000
delta_semantic_group_recall_full,0.3836454545454545,0.36827227272727275,0.3974456818181818,1.0,5500,20,0.034461013645930426,P4,encoded_column,2000
delta_semantic_group_recall_any,0.3845090909090909,0.3752452272727273,0.39249113636363636,1.0,5500,20,0.020493910021696243,P4,encoded_column,2000
delta_partial_group_violation_rate,0.000863636363636364,-0.007036363636363635,0.00850068181818181,0.584,5500,20,0.017996266105401063,P4,encoded_column,2000
delta_legacy_sdr,0.10928920675050133,0.08950661359509895,0.12685985428166185,1.0,5500,20,0.04394091661259123,P4,semantic_group,500
delta_directional_repair,0.11815407288089759,0.10320039497231907,0.13317784797366303,1.0,5500,20,0.03494335901892835,P4,semantic_group,500
delta_same_side_residual,-0.11815407288089759,-0.1329535977526676,-0.10317770644122563,0.0,5500,20,0.03494335901892835,P4,semantic_group,500
delta_overcorrection,0.008646442575679217,0.004422177230356746,0.013242076854488688,1.0,5500,20,0.010512420742046549,P4,semantic_group,500
delta_introduced_distortion,0.0002184235547170388,8.20004432062141e-05,0.00038324627337056404,1.0,5500,20,0.00035283056220024236,P4,semantic_group,500
delta_introduced_distortion_zero_opp,0.041922996349173826,0.018197822791693886,0.06849854085582933,1.0,30,14,0.049285356244725236,P4,semantic_group,500
delta_leak_recall,0.5855090909090909,0.5508270454545454,0.6192824999999998,1.0,5500,20,0.08190696087167713,P4,semantic_group,500
delta_deletion_precision,0.5855090909090909,0.5500704545454546,0.6183938636363636,1.0,5500,20,0.08190696087167713,P4,semantic_group,500
delta_legit_retention,0.03415326277643925,0.030456140722635194,0.038173387470984914,1.0,5500,20,0.009116465229461784,P4,semantic_group,500
delta_semantic_group_recall_full,0.5855090909090909,0.5487427272727271,0.6201738636363636,1.0,5500,20,0.08190696087167713,P4,semantic_group,500
delta_semantic_group_recall_any,0.5855090909090909,0.5497538636363636,0.6198911363636364,1.0,5500,20,0.08190696087167713,P4,semantic_group,500
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P4,semantic_group,500
delta_legacy_sdr,0.06657951393847589,0.028477111161586723,0.09933925639112097,0.9996,5500,20,0.08334155482624746,P4,semantic_group,1000
delta_directional_repair,0.10640582644210642,0.08997172557910404,0.12233667440843995,1.0,5500,20,0.03718320860347428,P4,semantic_group,1000
delta_same_side_residual,-0.10640582644210642,-0.12128024386182619,-0.08967458464069163,0.0,5500,20,0.03718320860347428,P4,semantic_group,1000
delta_overcorrection,0.03949603422939639,0.020180659702118464,0.06399857964392465,1.0,5500,20,0.0515579517615643,P4,semantic_group,1000
delta_introduced_distortion,0.0003302782742341037,0.0001461695321588762,0.0005534028988160208,1.0,5500,20,0.00046902111759632083,P4,semantic_group,1000
delta_introduced_distortion_zero_opp,0.062605671091952,0.03277394181064621,0.09713797250507104,1.0,30,14,0.06590584910937071,P4,semantic_group,1000
delta_leak_recall,0.5646,0.533553409090909,0.5926365909090909,1.0,5500,20,0.06989992473553835,P4,semantic_group,1000
delta_deletion_precision,0.3844053607503607,0.33891417893217896,0.43425494624819616,1.0,5500,20,0.11282798980641447,P4,semantic_group,1000
delta_legit_retention,0.03293247384967972,0.029261801276419627,0.03687967799920667,1.0,5500,20,0.00894884931621903,P4,semantic_group,1000
delta_semantic_group_recall_full,0.5646,0.532971818181818,0.5929999999999999,1.0,5500,20,0.06989992473553835,P4,semantic_group,1000
delta_semantic_group_recall_any,0.5646,0.5333679545454545,0.5925275,1.0,5500,20,0.06989992473553835,P4,semantic_group,1000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P4,semantic_group,1000
delta_legacy_sdr,0.012610118586490027,-0.032812547032852225,0.05296831691030937,0.7222,5500,20,0.10120326720811235,P4,semantic_group,2000
delta_directional_repair,0.08859619593042414,0.07303201986012815,0.10328205539257164,1.0,5500,20,0.03505040698523759,P4,semantic_group,2000
delta_same_side_residual,-0.08859619593042414,-0.10309606778833885,-0.07351586571760665,0.0,5500,20,0.035050406985237585,P4,semantic_group,2000
delta_overcorrection,0.07549387190036108,0.04877388738665539,0.10704428579523025,1.0,5500,20,0.06926145539652974,P4,semantic_group,2000
delta_introduced_distortion,0.0004922054435730344,0.00024421515038662236,0.0008112026774548019,1.0,5500,20,0.0006675504382627725,P4,semantic_group,2000
delta_introduced_distortion_zero_opp,0.08654682927232289,0.0542699858637889,0.12369723767520126,1.0,30,14,0.06804039451876961,P4,semantic_group,2000
delta_leak_recall,0.5200181818181818,0.5084634090909089,0.5304002272727273,1.0,5500,20,0.02596165405966464,P4,semantic_group,2000
delta_deletion_precision,0.22023226682408503,0.20808259140102325,0.2315831352813853,1.0,5500,20,0.02745054257311883,P4,semantic_group,2000
delta_legit_retention,0.030340214564846917,0.027393728014265147,0.03338554877255099,1.0,5500,20,0.007012330308345535,P4,semantic_group,2000
delta_semantic_group_recall_full,0.5200181818181818,0.5086361363636362,0.5301363636363635,1.0,5500,20,0.02596165405966464,P4,semantic_group,2000
delta_semantic_group_recall_any,0.5200181818181818,0.5085177272727273,0.5303363636363636,1.0,5500,20,0.02596165405966464,P4,semantic_group,2000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P4,semantic_group,2000
delta_legacy_sdr,0.0538316380150969,0.03990065022470562,0.06673270222363807,1.0,5500,20,0.03140477795043623,P5,encoded_column,500
delta_directional_repair,0.06239459166477464,0.05255977834475431,0.07191806808289039,1.0,5500,20,0.022533712866284757,P5,encoded_column,500
delta_same_side_residual,-0.06239459166477464,-0.07168406262379912,-0.05247369530868536,0.0,5500,20,0.022533712866284757,P5,encoded_column,500
delta_overcorrection,0.00831295345264282,0.004222685679671693,0.012864675890345506,1.0,5500,20,0.010118184057060619,P5,encoded_column,500
delta_introduced_distortion,0.000250000197034895,0.00011031879616469,0.000412596852833856,1.0,5500,20,0.00036373050124187726,P5,encoded_column,500
delta_introduced_distortion_zero_opp,0.04566188554037011,0.022770408348106994,0.07182374637617538,1.0,30,14,0.048649285889117495,P5,encoded_column,500
delta_leak_recall,0.4047719696969697,0.37531442234848483,0.43448182765151516,1.0,5500,20,0.06962781860507428,P5,encoded_column,500
delta_deletion_precision,0.5370818181818182,0.5017042045454545,0.5700869318181819,1.0,5500,20,0.08071963141127328,P5,encoded_column,500
delta_legit_retention,0.03233973600419189,0.02933814683368102,0.035354364292570176,1.0,5500,20,0.006962037296564526,P5,encoded_column,500
delta_semantic_group_recall_full,0.3592090909090909,0.3318884090909091,0.3868275,1.0,5500,20,0.06489980969121276,P5,encoded_column,500
delta_semantic_group_recall_any,0.5307272727272728,0.49724545454545466,0.5633002272727274,1.0,5500,20,0.07799588438969833,P5,encoded_column,500
delta_partial_group_violation_rate,0.17151818181818182,0.16402545454545456,0.17870113636363638,1.0,5500,20,0.01695181873221008,P5,encoded_column,500
delta_legacy_sdr,0.04396512621287624,0.01569096494601171,0.06659052565657658,0.9982,5500,20,0.05987076305014348,P5,encoded_column,1000
delta_directional_repair,0.07102418114231682,0.05777888735657612,0.08316702735005566,1.0,5500,20,0.029501655501463886,P5,encoded_column,1000
delta_same_side_residual,-0.07102418114231682,-0.08335301212424208,-0.05809289645223804,0.0,5500,20,0.029501655501463886,P5,encoded_column,1000
delta_overcorrection,0.02672520796704575,0.01378387996738229,0.04311709013058299,1.0,5500,20,0.0345436413756478,P5,encoded_column,1000
delta_introduced_distortion,0.00033384696239481375,0.00013841756776180667,0.000548763594572204,1.0,5500,20,0.0004836862513164158,P5,encoded_column,1000
delta_introduced_distortion_zero_opp,0.0627446383346272,0.030748707644500876,0.09903405973558778,1.0,30,14,0.06761144066595101,P5,encoded_column,1000
delta_leak_recall,0.43643295454545444,0.4078294791666667,0.46445910037878785,1.0,5500,20,0.06594773685390357,P5,encoded_column,1000
delta_deletion_precision,0.37416818181818184,0.3387515909090909,0.4139101515151515,1.0,5500,20,0.089296438854379,P5,encoded_column,1000
delta_legit_retention,0.043118710049754164,0.04013819313872402,0.04637439927205148,1.0,5500,20,0.007244821169983184,P5,encoded_column,1000
delta_semantic_group_recall_full,0.37155454545454547,0.34535363636363636,0.39578227272727273,1.0,5500,20,0.0601191646864162,P5,encoded_column,1000
delta_semantic_group_recall_any,0.47584545454545457,0.44780454545454546,0.5001911363636364,1.0,5500,20,0.05986719462055606,P5,encoded_column,1000
delta_partial_group_violation_rate,0.1042909090909091,0.10002704545454547,0.10907318181818183,1.0,5500,20,0.010705825612458255,P5,encoded_column,1000
delta_legacy_sdr,0.024423923663881405,-0.013249680375715394,0.05827250676366136,0.9068,5500,20,0.08365098623661003,P5,encoded_column,2000
delta_directional_repair,0.08061895341151344,0.06564615464225261,0.09469230295079074,1.0,5500,20,0.034318872112685916,P5,encoded_column,2000
delta_same_side_residual,-0.08061895341151344,-0.09489713640552015,-0.06567710970711046,0.0,5500,20,0.034318872112685916,P5,encoded_column,2000
delta_overcorrection,0.055729884953858055,0.03478943857883766,0.08007677936546499,1.0,5500,20,0.05295765431348864,P5,encoded_column,2000
delta_introduced_distortion,0.0004651447937739724,0.00021847567644483982,0.0007748656778402447,1.0,5500,20,0.0006485353442158664,P5,encoded_column,2000
delta_introduced_distortion_zero_opp,0.08037241534195924,0.05019305437321738,0.11440238572344451,1.0,30,14,0.06565780513095212,P5,encoded_column,2000
delta_leak_recall,0.4359848484848484,0.41477981060606056,0.45485059659090904,1.0,5500,20,0.0474931225609573,P5,encoded_column,2000
delta_deletion_precision,0.22301818181818178,0.21442579924242425,0.23132260227272725,1.0,5500,20,0.019810090213184466,P5,encoded_column,2000
delta_legit_retention,0.05602237559009617,0.0526319043882588,0.0594341343303755,1.0,5500,20,0.008017106998109398,P5,encoded_column,2000
delta_semantic_group_recall_full,0.3698272727272727,0.3480718181818182,0.38954681818181813,1.0,5500,20,0.04771422378007621,P5,encoded_column,2000
delta_semantic_group_recall_any,0.3752363636363636,0.3585361363636364,0.3901922727272727,1.0,5500,20,0.03730100922570593,P5,encoded_column,2000
delta_partial_group_violation_rate,0.00540909090909091,-0.002036590909090909,0.01281840909090909,0.9222,5500,20,0.01717457633262919,P5,encoded_column,2000
delta_legacy_sdr,0.1086923090257282,0.09023060512093568,0.12578561608776817,1.0,5500,20,0.042179608942043596,P5,semantic_group,500
delta_directional_repair,0.11718469932681641,0.10280668728299659,0.1308149003275313,1.0,5500,20,0.033646864677102324,P5,semantic_group,500
delta_same_side_residual,-0.11718469932681641,-0.13107640445177424,-0.10285322586798198,0.0,5500,20,0.033646864677102324,P5,semantic_group,500
delta_overcorrection,0.00824882552340779,0.004243998965474474,0.012542419508229785,1.0,5500,20,0.010001076738847477,P5,semantic_group,500
delta_introduced_distortion,0.00024356477768040324,0.00010251163564810609,0.00040481268930619887,1.0,5500,20,0.00035213027437948184,P5,semantic_group,500
delta_introduced_distortion_zero_opp,0.04439222360450427,0.02238300805378133,0.0704890103204588,1.0,30,14,0.047755303723350226,P5,semantic_group,500
delta_leak_recall,0.5867818181818183,0.5533715909090908,0.6200588636363635,1.0,5500,20,0.07870538166534928,P5,semantic_group,500
delta_deletion_precision,0.5867818181818183,0.553305909090909,0.6197822727272727,1.0,5500,20,0.07870538166534928,P5,semantic_group,500
delta_legit_retention,0.034285220034867094,0.03042487006106637,0.03834825493085347,1.0,5500,20,0.009304641589372185,P5,semantic_group,500
delta_semantic_group_recall_full,0.5867818181818183,0.5537077272727272,0.6204840909090907,1.0,5500,20,0.07870538166534928,P5,semantic_group,500
delta_semantic_group_recall_any,0.5867818181818183,0.5525177272727273,0.6201279545454544,1.0,5500,20,0.07870538166534928,P5,semantic_group,500
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P5,semantic_group,500
delta_legacy_sdr,0.07021594864813167,0.033715990642846395,0.10018881561808274,1.0,5500,20,0.07917296268337239,P5,semantic_group,1000
delta_directional_repair,0.10596985571948699,0.08965112919461816,0.12098053465206778,1.0,5500,20,0.0362455796673146,P5,semantic_group,1000
delta_same_side_residual,-0.10596985571948699,-0.1208392925578452,-0.08984190819659194,0.0,5500,20,0.0362455796673146,P5,semantic_group,1000
delta_overcorrection,0.035429546008748196,0.018199899496534742,0.059103374240522054,1.0,5500,20,0.04825390398046152,P5,semantic_group,1000
delta_introduced_distortion,0.00032436106260708147,0.00014217837777445185,0.0005412524679808535,1.0,5500,20,0.0004709256118818878,P5,semantic_group,1000
delta_introduced_distortion_zero_opp,0.06144336166521549,0.03084922093067824,0.0964961409692538,1.0,30,14,0.06660067291524657,P5,semantic_group,1000
delta_leak_recall,0.569690909090909,0.5417620454545454,0.5955011363636363,1.0,5500,20,0.06300040666273053,P5,semantic_group,1000
delta_deletion_precision,0.38785990620490624,0.34275470815295817,0.4387351174242423,1.0,5500,20,0.11492448148756022,P5,semantic_group,1000
delta_legit_retention,0.03331413826369707,0.029538903256057635,0.03737733968739594,1.0,5500,20,0.00911029974046576,P5,semantic_group,1000
delta_semantic_group_recall_full,0.569690909090909,0.5428175000000001,0.5958095454545455,1.0,5500,20,0.06300040666273053,P5,semantic_group,1000
delta_semantic_group_recall_any,0.569690909090909,0.5415624999999998,0.5953918181818182,1.0,5500,20,0.06300040666273053,P5,semantic_group,1000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P5,semantic_group,1000
delta_legacy_sdr,0.019234162949484233,-0.02459838765658208,0.057476845912799245,0.8194,5500,20,0.09708286168822178,P5,semantic_group,2000
