metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp,mechanism_family
delta_semantic_group_recall_any,0.061750000000000006,0.026899375,0.09752562499999999,0.9998,2000,20,0.08303225435430436,P3,encoded_column,2000,structured
delta_partial_group_violation_rate,0.026550000000000008,0.023549375,0.029374999999999995,1.0,2000,20,0.0067821359777766625,P3,encoded_column,2000,structured
delta_legacy_sdr,0.20419719708640033,0.18595056163589901,0.22326465624032454,1.0,2000,20,0.04385653979158376,P3,semantic_group,500,boundary
delta_directional_repair,0.2054907885114554,0.1868987747037555,0.2225187780168943,1.0,2000,20,0.0423335968235295,P3,semantic_group,500,boundary
delta_same_side_residual,-0.2054907885114554,-0.22289470892265598,-0.1872350936550484,0.0,2000,20,0.0423335968235295,P3,semantic_group,500,boundary
delta_overcorrection,0.0012935914250550259,8.625325955850448e-05,0.002834493601720955,0.9884,2000,20,0.003224006328171385,P3,semantic_group,500,boundary
delta_introduced_distortion,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,500,boundary
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,semantic_group,500,boundary
delta_leak_recall,0.85845,0.8367731249999999,0.878725,1.0,2000,20,0.04908502290601697,P3,semantic_group,500,boundary
delta_deletion_precision,0.85845,0.837499375,0.8783999999999998,1.0,2000,20,0.04908502290601697,P3,semantic_group,500,boundary
delta_legit_retention,0.04999414474251239,0.04466118214319381,0.05582679035431483,1.0,2000,20,0.012969892775255511,P3,semantic_group,500,boundary
delta_semantic_group_recall_full,0.85845,0.8369475000000001,0.8791006249999999,1.0,2000,20,0.04908502290601697,P3,semantic_group,500,boundary
delta_semantic_group_recall_any,0.85845,0.837725,0.8785756250000002,1.0,2000,20,0.04908502290601697,P3,semantic_group,500,boundary
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,500,boundary
delta_legacy_sdr,0.10331402324664136,0.08753445458102901,0.1179677680235144,1.0,1500,20,0.03635812033208008,P3,semantic_group,500,simple
delta_directional_repair,0.10824150613652432,0.09577063016838326,0.12060130160998493,1.0,1500,20,0.029420877435859527,P3,semantic_group,500,simple
delta_same_side_residual,-0.10824150613652432,-0.12030989140223157,-0.09552861185521345,0.0,1500,20,0.029420877435859527,P3,semantic_group,500,simple
delta_overcorrection,0.004741934193299902,0.0009587437959922942,0.009570543195975403,0.9986,1500,20,0.01021090419046361,P3,semantic_group,500,simple
delta_introduced_distortion,0.0001855486965830379,-8.747755668648015e-06,0.000484392116183595,0.9616,1500,20,0.0005974852052445072,P3,semantic_group,500,simple
delta_introduced_distortion_zero_opp,0.025054235117153476,-0.0006718987949887865,0.05799208902420893,0.967,8,6,0.040477139731866105,P3,semantic_group,500,simple
delta_leak_recall,0.5142333333333333,0.4943000000000001,0.5346333333333332,1.0,1500,20,0.04760916664401942,P3,semantic_group,500,simple
delta_deletion_precision,0.5142333333333333,0.49413250000000003,0.5348016666666667,1.0,1500,20,0.04760916664401942,P3,semantic_group,500,simple
delta_legit_retention,0.030479305555555558,0.026990170138888867,0.034282788194444455,1.0,1500,20,0.008615798689933809,P3,semantic_group,500,simple
delta_semantic_group_recall_full,0.5142333333333333,0.49526666666666663,0.5344675,1.0,1500,20,0.04760916664401942,P3,semantic_group,500,simple
delta_semantic_group_recall_any,0.5142333333333333,0.4938324999999999,0.5345341666666666,1.0,1500,20,0.04760916664401942,P3,semantic_group,500,simple
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,1500,20,0.0,P3,semantic_group,500,simple
delta_legacy_sdr,0.034734452438697334,0.015543733690771649,0.05062510903383288,1.0,2000,20,0.041103343383993435,P3,semantic_group,500,structured
delta_directional_repair,0.042731078385891866,0.03004279007628338,0.05313556626722948,1.0,2000,20,0.027680067881530993,P3,semantic_group,500,structured
delta_same_side_residual,-0.042731078385891866,-0.05319610172679021,-0.03008577834163971,0.0,2000,20,0.027680067881530997,P3,semantic_group,500,structured
delta_overcorrection,0.007779018390899522,0.0018866563378296007,0.014937442900693617,0.9994,2000,20,0.015576571802983044,P3,semantic_group,500,structured
delta_introduced_distortion,0.00021760755629500174,3.218183458879675e-05,0.0004196847683850003,0.992,2000,20,0.00046064936021822665,P3,semantic_group,500,structured
delta_introduced_distortion_zero_opp,0.027178360298569557,0.004815624851375529,0.054076739445302696,0.997,22,13,0.04756831453289998,P3,semantic_group,500,structured
delta_leak_recall,0.23702499999999999,0.19527437499999997,0.27997625,1.0,2000,20,0.0999643982678465,P3,semantic_group,500,structured
delta_deletion_precision,0.23702499999999999,0.19515,0.28027625,1.0,2000,20,0.0999643982678465,P3,semantic_group,500,structured
delta_legit_retention,0.013610104166666664,0.01134864322916666,0.016024221354166663,1.0,2000,20,0.005574742477391787,P3,semantic_group,500,structured
delta_semantic_group_recall_full,0.23702499999999999,0.19507312499999996,0.28100187499999996,1.0,2000,20,0.0999643982678465,P3,semantic_group,500,structured
delta_semantic_group_recall_any,0.23702499999999999,0.19547499999999998,0.2818549999999999,1.0,2000,20,0.0999643982678465,P3,semantic_group,500,structured
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,500,structured
delta_legacy_sdr,0.1684082552795671,0.12920424195909114,0.19836845939265704,1.0,2000,20,0.08129084804116969,P3,semantic_group,1000,boundary
delta_directional_repair,0.19444773482646988,0.17725729463264833,0.2111935904584693,1.0,2000,20,0.03970687586704847,P3,semantic_group,1000,boundary
delta_same_side_residual,-0.19444773482646988,-0.21090267612424277,-0.17693097886240086,0.0,2000,20,0.03970687586704847,P3,semantic_group,1000,boundary
delta_overcorrection,0.026039479546902777,0.006670715622046709,0.052744796391774734,0.9998,2000,20,0.05673615391857662,P3,semantic_group,1000,boundary
delta_introduced_distortion,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,1000,boundary
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,semantic_group,1000,boundary
delta_leak_recall,0.8419249999999998,0.8267743750000002,0.855825,1.0,2000,20,0.034327476719018195,P3,semantic_group,1000,boundary
delta_deletion_precision,0.5857341865079364,0.5151087539682538,0.6597507589285714,1.0,2000,20,0.16980772984635076,P3,semantic_group,1000,boundary
delta_legit_retention,0.0492374321266968,0.04359605348187349,0.054952971174046523,1.0,2000,20,0.013517389494185903,P3,semantic_group,1000,boundary
delta_semantic_group_recall_full,0.8419249999999998,0.826075,0.8554,1.0,2000,20,0.034327476719018195,P3,semantic_group,1000,boundary
delta_semantic_group_recall_any,0.8419249999999998,0.8267243750000001,0.8557256249999999,1.0,2000,20,0.034327476719018195,P3,semantic_group,1000,boundary
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,1000,boundary
delta_legacy_sdr,0.07281804179374882,0.036067102073950544,0.10173204488166568,1.0,1500,20,0.07883660340364061,P3,semantic_group,1000,simple
delta_directional_repair,0.09963320643473102,0.08555162065807788,0.11265737904743507,1.0,1500,20,0.032618762820073435,P3,semantic_group,1000,simple
delta_same_side_residual,-0.09963320643473102,-0.11283954437325452,-0.0851990680654646,0.0,1500,20,0.032618762820073435,P3,semantic_group,1000,simple
delta_overcorrection,0.02662165497485695,0.0074368306358181865,0.05187546564805334,1.0,1500,20,0.05225204957366656,P3,semantic_group,1000,simple
delta_introduced_distortion,0.00019350966612523268,6.611762920974952e-06,0.00048010113440229455,0.9858,1500,20,0.0005891881858531719,P3,semantic_group,1000,simple
delta_introduced_distortion_zero_opp,0.029028490081443082,0.0039893203337058635,0.06055408238465263,0.9948,8,6,0.03868766077837021,P3,semantic_group,1000,simple
delta_leak_recall,0.5094,0.48869999999999997,0.5295008333333333,1.0,1500,20,0.048228452450094175,P3,semantic_group,1000,simple
delta_deletion_precision,0.29860000000000003,0.2421677777777778,0.35949513888888884,1.0,1500,20,0.1373762986595516,P3,semantic_group,1000,simple
delta_legit_retention,0.030265972222222208,0.026637288194444417,0.03422070486111112,1.0,1500,20,0.008801211635152956,P3,semantic_group,1000,simple
delta_semantic_group_recall_full,0.5094,0.48943249999999994,0.5296366666666664,1.0,1500,20,0.048228452450094175,P3,semantic_group,1000,simple
delta_semantic_group_recall_any,0.5094,0.4895308333333333,0.5295333333333333,1.0,1500,20,0.048228452450094175,P3,semantic_group,1000,simple
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,1500,20,0.0,P3,semantic_group,1000,simple
delta_legacy_sdr,0.011063069916483426,-0.023868878930028124,0.03904641465835961,0.7656,2000,20,0.0747459245993532,P3,semantic_group,1000,structured
delta_directional_repair,0.0319321105832986,0.013808606319052029,0.04761175599365526,0.9994,2000,20,0.040677054997011075,P3,semantic_group,1000,structured
delta_same_side_residual,-0.0319321105832986,-0.047405542474699996,-0.012911033565109168,0.001,2000,20,0.04067705499701108,P3,semantic_group,1000,structured
delta_overcorrection,0.02039259087612687,0.006964366124559052,0.03832764334892108,1.0,2000,20,0.037622291369160295,P3,semantic_group,1000,structured
delta_introduced_distortion,0.00047644979068830524,0.00012473696416012977,0.0009818846239648827,1.0,2000,20,0.0010069818328932946,P3,semantic_group,1000,structured
delta_introduced_distortion_zero_opp,0.04709957922030023,0.012424007823680371,0.08835517864540354,0.9998,22,13,0.07337522008701655,P3,semantic_group,1000,structured
delta_leak_recall,0.252175,0.213249375,0.2887025,1.0,2000,20,0.08978824137643907,P3,semantic_group,1000,structured
delta_deletion_precision,0.20745277777777776,0.1846371597222222,0.23073897222222223,1.0,2000,20,0.052678651895213445,P3,semantic_group,1000,structured
delta_legit_retention,0.014541979166666658,0.012250703124999996,0.016792039062499986,1.0,2000,20,0.00531839942800331,P3,semantic_group,1000,structured
delta_semantic_group_recall_full,0.252175,0.21355,0.29024999999999995,1.0,2000,20,0.08978824137643907,P3,semantic_group,1000,structured
delta_semantic_group_recall_any,0.252175,0.21304874999999995,0.2909775,1.0,2000,20,0.08978824137643907,P3,semantic_group,1000,structured
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,1000,structured
delta_legacy_sdr,0.10635334401844665,0.0523218075651589,0.1517775997521056,0.9996,2000,20,0.11785535229582736,P3,semantic_group,2000,boundary
delta_directional_repair,0.17267690744378428,0.15692849668381686,0.18838274348169556,1.0,2000,20,0.038214517686291,P3,semantic_group,2000,boundary
delta_same_side_residual,-0.17267690744378428,-0.18904613100828158,-0.15632488053256482,0.0,2000,20,0.038214517686291,P3,semantic_group,2000,boundary
delta_overcorrection,0.06632356342533761,0.030155147826609014,0.10811010083447663,1.0,2000,20,0.09303989594171229,P3,semantic_group,2000,boundary
delta_introduced_distortion,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,2000,boundary
delta_introduced_distortion_zero_opp,,,,,0,0,,P3,semantic_group,2000,boundary
delta_leak_recall,0.755375,0.742024375,0.768400625,1.0,2000,20,0.03146839475443659,P3,semantic_group,2000,boundary
delta_deletion_precision,0.3246497186147186,0.30787783008658004,0.3406410246212121,1.0,2000,20,0.03839496587780373,P3,semantic_group,2000,boundary
delta_legit_retention,0.043790421649429014,0.03955747833070729,0.048214850025923836,1.0,2000,20,0.010147364455393068,P3,semantic_group,2000,boundary
delta_semantic_group_recall_full,0.755375,0.7421493749999999,0.768700625,1.0,2000,20,0.03146839475443659,P3,semantic_group,2000,boundary
delta_semantic_group_recall_any,0.755375,0.7415250000000001,0.768650625,1.0,2000,20,0.03146839475443659,P3,semantic_group,2000,boundary
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,2000,20,0.0,P3,semantic_group,2000,boundary
delta_legacy_sdr,0.032960170263006884,-0.015440148897739477,0.07463931307633255,0.9122,1500,20,0.1066486402866419,P3,semantic_group,2000,simple
delta_directional_repair,0.08619650454833948,0.0705019219256742,0.10111460693395738,1.0,1500,20,0.03525864235274999,P3,semantic_group,2000,simple
delta_same_side_residual,-0.08619650454833948,-0.10066044351442252,-0.07047000662388696,0.0,1500,20,0.03525864235274999,P3,semantic_group,2000,simple
delta_overcorrection,0.05287728207565784,0.02415606325467276,0.08803813291876102,1.0,1500,20,0.0758359709899331,P3,semantic_group,2000,simple
delta_introduced_distortion,0.0003590522096747604,-1.57458407398484e-05,0.0010142214565260549,0.9566,1500,20,0.001368852282773218,P3,semantic_group,2000,simple
delta_introduced_distortion_zero_opp,0.04689381972548678,-0.002499932991976624,0.12197649408624577,0.9486,8,6,0.09205353836856918,P3,semantic_group,2000,simple
delta_leak_recall,0.4502333333333334,0.4293666666666667,0.47133333333333327,1.0,1500,20,0.04972263419085108,P3,semantic_group,2000,simple
delta_deletion_precision,0.12500666666666665,0.11361934722222224,0.13646241666666667,1.0,1500,20,0.02658670061840279,P3,semantic_group,2000,simple
delta_legit_retention,0.026447777777777782,0.023834826388888893,0.029281795138888907,1.0,1500,20,0.006545558873630366,P3,semantic_group,2000,simple
delta_semantic_group_recall_full,0.4502333333333334,0.42866583333333336,0.4709683333333333,1.0,1500,20,0.04972263419085108,P3,semantic_group,2000,simple
