dataset_index,mechanism,strength,seed,detectability_value
3,M08,S3,7777,0.09090909090909091
3,M08,S4,13,0.04
3,M08,S4,42,0.1
3,M08,S4,2026,0.04
3,M08,S4,3407,0.09090909090909091
3,M08,S4,7777,0.08333333333333333
3,M08,S5,13,0.1
3,M08,S5,42,0.1
3,M08,S5,2026,0.25
3,M08,S5,3407,0.14285714285714285
3,M08,S5,7777,0.14285714285714285
4,M04,S1,13,0.07692307692307693
4,M04,S1,42,0.07692307692307693
4,M04,S1,2026,0.1111111111111111
4,M04,S1,3407,0.1111111111111111
4,M04,S1,7777,0.07692307692307693
4,M04,S2,13,0.07692307692307693
4,M04,S2,42,0.5
4,M04,S2,2026,0.5
4,M04,S2,3407,0.07692307692307693
4,M04,S2,7777,0.07692307692307693
4,M04,S3,13,0.5
4,M04,S3,42,0.2
4,M04,S3,2026,0.07692307692307693
4,M04,S3,3407,0.5
4,M04,S3,7777,0.2
4,M04,S4,13,0.2
4,M04,S4,42,0.07692307692307693
4,M04,S4,2026,0.1111111111111111
4,M04,S4,3407,0.07692307692307693
4,M04,S4,7777,0.1111111111111111
4,M04,S5,13,0.125
4,M04,S5,42,0.1111111111111111
4,M04,S5,2026,0.07692307692307693
4,M04,S5,3407,0.2
4,M04,S5,7777,0.07692307692307693
4,M05,S1,13,0.07692307692307693
4,M05,S1,42,0.07692307692307693
4,M05,S1,2026,0.07692307692307693
4,M05,S1,3407,0.1111111111111111
4,M05,S1,7777,0.07692307692307693
4,M05,S2,13,0.1111111111111111
4,M05,S2,42,0.125
4,M05,S2,2026,0.5
4,M05,S2,3407,0.07692307692307693
4,M05,S2,7777,0.07692307692307693
4,M05,S3,13,1.0
4,M05,S3,42,0.07692307692307693
4,M05,S3,2026,0.125
4,M05,S3,3407,0.1111111111111111
4,M05,S3,7777,0.07692307692307693
4,M05,S4,13,0.14285714285714285
4,M05,S4,42,0.07692307692307693
4,M05,S4,2026,0.07692307692307693
4,M05,S4,3407,0.07692307692307693
4,M05,S4,7777,0.2
4,M05,S5,13,0.5
4,M05,S5,42,0.07692307692307693
4,M05,S5,2026,0.1111111111111111
4,M05,S5,3407,0.2
4,M05,S5,7777,0.07692307692307693
4,M08,S1,13,0.2
4,M08,S1,42,0.2
4,M08,S1,2026,1.0
4,M08,S1,3407,0.2
4,M08,S1,7777,0.5
4,M08,S2,13,0.5
4,M08,S2,42,1.0
4,M08,S2,2026,0.2
4,M08,S2,3407,0.1111111111111111
4,M08,S2,7777,0.1111111111111111
4,M08,S3,13,0.5
4,M08,S3,42,0.125
4,M08,S3,2026,0.1111111111111111
4,M08,S3,3407,0.5
4,M08,S3,7777,0.5
4,M08,S4,13,0.07692307692307693
4,M08,S4,42,1.0
4,M08,S4,2026,0.2
4,M08,S4,3407,0.125
4,M08,S4,7777,0.5
4,M08,S5,13,0.07692307692307693
4,M08,S5,42,1.0
4,M08,S5,2026,0.5
4,M08,S5,3407,0.5
4,M08,S5,7777,1.0
5,M04,S1,13,0.058823529411764705
5,M04,S1,42,0.1111111111111111
5,M04,S1,2026,0.058823529411764705
5,M04,S1,3407,0.058823529411764705
5,M04,S1,7777,0.058823529411764705
5,M04,S2,13,0.058823529411764705
5,M04,S2,42,0.25
5,M04,S2,2026,0.1111111111111111
5,M04,S2,3407,0.16666666666666666
5,M04,S2,7777,0.058823529411764705
5,M04,S3,13,0.1111111111111111
5,M04,S3,42,0.058823529411764705
5,M04,S3,2026,0.16666666666666666
5,M04,S3,3407,0.058823529411764705
5,M04,S3,7777,0.058823529411764705
5,M04,S4,13,0.1111111111111111
5,M04,S4,42,0.125
5,M04,S4,2026,0.058823529411764705
5,M04,S4,3407,0.058823529411764705
5,M04,S4,7777,0.1111111111111111
5,M04,S5,13,0.09090909090909091
5,M04,S5,42,0.14285714285714285
5,M04,S5,2026,0.1111111111111111
5,M04,S5,3407,0.1111111111111111
5,M04,S5,7777,0.09090909090909091
5,M05,S1,13,0.16666666666666666
5,M05,S1,42,0.125
5,M05,S1,2026,0.2
5,M05,S1,3407,0.2
5,M05,S1,7777,0.058823529411764705
5,M05,S2,13,0.058823529411764705
5,M05,S2,42,0.1111111111111111
5,M05,S2,2026,0.1111111111111111
5,M05,S2,3407,0.14285714285714285
5,M05,S2,7777,0.1111111111111111
5,M05,S3,13,0.1
5,M05,S3,42,0.2
5,M05,S3,2026,0.058823529411764705
5,M05,S3,3407,0.3333333333333333
5,M05,S3,7777,0.058823529411764705
5,M05,S4,13,0.1111111111111111
5,M05,S4,42,0.2
5,M05,S4,2026,0.058823529411764705
5,M05,S4,3407,0.058823529411764705
5,M05,S4,7777,0.058823529411764705
5,M05,S5,13,0.16666666666666666
5,M05,S5,42,0.058823529411764705
5,M05,S5,2026,0.16666666666666666
5,M05,S5,3407,0.3333333333333333
5,M05,S5,7777,0.058823529411764705
5,M08,S1,13,0.1111111111111111
5,M08,S1,42,0.125
5,M08,S1,2026,0.058823529411764705
5,M08,S1,3407,0.1111111111111111
5,M08,S1,7777,0.058823529411764705
5,M08,S2,13,0.1111111111111111
5,M08,S2,42,0.3333333333333333
5,M08,S2,2026,0.058823529411764705
5,M08,S2,3407,0.14285714285714285
5,M08,S2,7777,0.16666666666666666
5,M08,S3,13,0.2
5,M08,S3,42,0.3333333333333333
5,M08,S3,2026,0.1111111111111111
5,M08,S3,3407,0.125
5,M08,S3,7777,0.3333333333333333
5,M08,S4,13,0.25
5,M08,S4,42,1.0
5,M08,S4,2026,0.1111111111111111
5,M08,S4,3407,0.3333333333333333
5,M08,S4,7777,0.058823529411764705
5,M08,S5,13,0.3333333333333333
5,M08,S5,42,0.058823529411764705
5,M08,S5,2026,0.3333333333333333
5,M08,S5,3407,0.058823529411764705
5,M08,S5,7777,0.125
6,M04,S1,13,0.2
6,M04,S1,42,0.14285714285714285
6,M04,S1,2026,1.0
6,M04,S1,3407,0.047619047619047616
6,M04,S1,7777,0.16666666666666666
6,M04,S2,13,0.047619047619047616
6,M04,S2,42,0.047619047619047616
6,M04,S2,2026,0.09090909090909091
6,M04,S2,3407,0.1111111111111111
6,M04,S2,7777,0.2
6,M04,S3,13,0.2
6,M04,S3,42,0.1111111111111111
6,M04,S3,2026,0.047619047619047616
6,M04,S3,3407,0.047619047619047616
6,M04,S3,7777,0.047619047619047616
6,M04,S4,13,0.1111111111111111
6,M04,S4,42,0.1111111111111111
6,M04,S4,2026,0.047619047619047616
6,M04,S4,3407,0.047619047619047616
6,M04,S4,7777,0.16666666666666666
6,M04,S5,13,0.09090909090909091
6,M04,S5,42,0.047619047619047616
6,M04,S5,2026,0.1111111111111111
6,M04,S5,3407,0.047619047619047616
6,M04,S5,7777,0.047619047619047616
6,M05,S1,13,0.09090909090909091
6,M05,S1,42,0.047619047619047616
6,M05,S1,2026,1.0
6,M05,S1,3407,0.047619047619047616
6,M05,S1,7777,0.09090909090909091
6,M05,S2,13,1.0
6,M05,S2,42,0.047619047619047616
6,M05,S2,2026,0.16666666666666666
6,M05,S2,3407,0.047619047619047616
6,M05,S2,7777,0.5
6,M05,S3,13,1.0
6,M05,S3,42,0.5
6,M05,S3,2026,0.047619047619047616
6,M05,S3,3407,0.047619047619047616
6,M05,S3,7777,0.047619047619047616
6,M05,S4,13,0.16666666666666666
6,M05,S4,42,0.5
6,M05,S4,2026,0.5
6,M05,S4,3407,0.047619047619047616
6,M05,S4,7777,0.047619047619047616
6,M05,S5,13,1.0
6,M05,S5,42,0.16666666666666666
6,M05,S5,2026,1.0
6,M05,S5,3407,0.047619047619047616
6,M05,S5,7777,0.5
6,M08,S1,13,0.2
6,M08,S1,42,1.0
6,M08,S1,2026,0.5
6,M08,S1,3407,0.047619047619047616
6,M08,S1,7777,0.047619047619047616
6,M08,S2,13,0.047619047619047616
6,M08,S2,42,1.0
6,M08,S2,2026,1.0
6,M08,S2,3407,1.0
6,M08,S2,7777,0.14285714285714285
6,M08,S3,13,0.5
6,M08,S3,42,1.0
6,M08,S3,2026,1.0
6,M08,S3,3407,0.09090909090909091
6,M08,S3,7777,1.0
6,M08,S4,13,0.16666666666666666
6,M08,S4,42,0.047619047619047616
6,M08,S4,2026,0.047619047619047616
6,M08,S4,3407,0.047619047619047616
6,M08,S4,7777,0.5
6,M08,S5,13,1.0
6,M08,S5,42,1.0
6,M08,S5,2026,1.0
6,M08,S5,3407,0.1111111111111111
6,M08,S5,7777,0.2
7,M04,S1,13,0.04
7,M04,S1,42,0.1111111111111111
7,M04,S1,2026,0.04
7,M04,S1,3407,0.1111111111111111
7,M04,S1,7777,0.3333333333333333
7,M04,S2,13,0.1111111111111111
7,M04,S2,42,0.07692307692307693
7,M04,S2,2026,0.04
7,M04,S2,3407,0.08333333333333333
7,M04,S2,7777,0.1
7,M04,S3,13,0.04
7,M04,S3,42,0.04
7,M04,S3,2026,0.04
7,M04,S3,3407,0.04
7,M04,S3,7777,0.04
7,M04,S4,13,0.04
7,M04,S4,42,0.04
7,M04,S4,2026,0.05
7,M04,S4,3407,0.04
7,M04,S4,7777,0.16666666666666666
7,M04,S5,13,0.25
7,M04,S5,42,0.04
7,M04,S5,2026,0.0625
7,M04,S5,3407,0.1111111111111111
7,M04,S5,7777,0.05263157894736842
7,M05,S1,13,0.04
7,M05,S1,42,0.04
7,M05,S1,2026,0.04
7,M05,S1,3407,0.5
7,M05,S1,7777,0.04
7,M05,S2,13,0.1111111111111111
7,M05,S2,42,0.04
7,M05,S2,2026,0.04
7,M05,S2,3407,0.25
7,M05,S2,7777,0.04
7,M05,S3,13,0.04
7,M05,S3,42,0.04
7,M05,S3,2026,0.05263157894736842
7,M05,S3,3407,0.04
7,M05,S3,7777,0.04
7,M05,S4,13,0.04
7,M05,S4,42,0.04
7,M05,S4,2026,0.1111111111111111
7,M05,S4,3407,0.16666666666666666
7,M05,S4,7777,0.04
7,M05,S5,13,0.04
7,M05,S5,42,0.04
7,M05,S5,2026,0.05263157894736842
7,M05,S5,3407,0.1111111111111111
7,M05,S5,7777,0.04
7,M08,S1,13,0.1111111111111111
7,M08,S1,42,0.04
7,M08,S1,2026,0.1111111111111111
7,M08,S1,3407,0.04
7,M08,S1,7777,0.1111111111111111
7,M08,S2,13,0.04
7,M08,S2,42,0.2
7,M08,S2,2026,0.04
7,M08,S2,3407,0.3333333333333333
7,M08,S2,7777,0.0625
7,M08,S3,13,0.16666666666666666
7,M08,S3,42,0.04
7,M08,S3,2026,0.3333333333333333
7,M08,S3,3407,0.25
7,M08,S3,7777,0.16666666666666666
7,M08,S4,13,0.25
7,M08,S4,42,0.04
7,M08,S4,2026,0.125
7,M08,S4,3407,0.25
7,M08,S4,7777,0.16666666666666666
7,M08,S5,13,0.04
7,M08,S5,42,0.16666666666666666
7,M08,S5,2026,0.05263157894736842
7,M08,S5,3407,0.16666666666666666
7,M08,S5,7777,0.16666666666666666
8,M04,S1,13,0.07692307692307693
8,M04,S1,42,0.07692307692307693
8,M04,S1,2026,0.14285714285714285
8,M04,S1,3407,0.25
8,M04,S1,7777,0.1111111111111111
8,M04,S2,13,0.25
8,M04,S2,42,0.2
8,M04,S2,2026,0.25
8,M04,S2,3407,0.3333333333333333
8,M04,S2,7777,0.3333333333333333
8,M04,S3,13,0.07692307692307693
8,M04,S3,42,0.1111111111111111
8,M04,S3,2026,0.125
8,M04,S3,3407,0.07692307692307693
8,M04,S3,7777,0.3333333333333333
8,M04,S4,13,0.07692307692307693
8,M04,S4,42,0.07692307692307693
8,M04,S4,2026,0.07692307692307693
8,M04,S4,3407,0.07692307692307693
8,M04,S4,7777,0.2
8,M04,S5,13,0.07692307692307693
8,M04,S5,42,0.25
8,M04,S5,2026,0.07692307692307693
8,M04,S5,3407,0.3333333333333333
8,M04,S5,7777,0.07692307692307693
8,M05,S1,13,0.07692307692307693
8,M05,S1,42,0.07692307692307693
8,M05,S1,2026,0.14285714285714285
8,M05,S1,3407,0.07692307692307693
8,M05,S1,7777,0.07692307692307693
8,M05,S2,13,0.07692307692307693
8,M05,S2,42,0.16666666666666666
8,M05,S2,2026,0.14285714285714285
8,M05,S2,3407,0.3333333333333333
8,M05,S2,7777,0.07692307692307693
8,M05,S3,13,0.1111111111111111
8,M05,S3,42,0.07692307692307693
8,M05,S3,2026,0.1111111111111111
8,M05,S3,3407,0.07692307692307693
8,M05,S3,7777,0.07692307692307693
8,M05,S4,13,0.2
8,M05,S4,42,0.25
8,M05,S4,2026,0.07692307692307693
8,M05,S4,3407,0.2
8,M05,S4,7777,0.25
8,M05,S5,13,0.07692307692307693
8,M05,S5,42,0.25
8,M05,S5,2026,0.07692307692307693
8,M05,S5,3407,0.2
8,M05,S5,7777,0.07692307692307693
8,M08,S1,13,0.1111111111111111
8,M08,S1,42,0.07692307692307693
8,M08,S1,2026,0.14285714285714285
8,M08,S1,3407,0.5
8,M08,S1,7777,0.25
8,M08,S2,13,0.07692307692307693
8,M08,S2,42,0.07692307692307693
8,M08,S2,2026,0.07692307692307693
8,M08,S2,3407,0.3333333333333333
8,M08,S2,7777,1.0
8,M08,S3,13,0.5
8,M08,S3,42,1.0
8,M08,S3,2026,0.07692307692307693
8,M08,S3,3407,0.5
8,M08,S3,7777,1.0
8,M08,S4,13,0.5
8,M08,S4,42,0.5
8,M08,S4,2026,0.25
8,M08,S4,3407,0.5
8,M08,S4,7777,1.0
8,M08,S5,13,0.14285714285714285
8,M08,S5,42,0.25
8,M08,S5,2026,0.2
8,M08,S5,3407,0.3333333333333333
8,M08,S5,7777,0.3333333333333333
9,M04,S1,13,0.5
9,M04,S1,42,0.058823529411764705
9,M04,S1,2026,0.058823529411764705
9,M04,S1,3407,0.1
9,M04,S1,7777,0.058823529411764705
9,M04,S2,13,0.058823529411764705
9,M04,S2,42,0.14285714285714285
9,M04,S2,2026,0.14285714285714285
9,M04,S2,3407,0.058823529411764705
9,M04,S2,7777,0.25
9,M04,S3,13,0.058823529411764705
9,M04,S3,42,0.058823529411764705
9,M04,S3,2026,0.125
9,M04,S3,3407,0.058823529411764705
9,M04,S3,7777,0.14285714285714285
9,M04,S4,13,0.5
9,M04,S4,42,0.3333333333333333
9,M04,S4,2026,0.058823529411764705
9,M04,S4,3407,0.5
9,M04,S4,7777,0.25
9,M04,S5,13,0.058823529411764705
9,M04,S5,42,0.14285714285714285
9,M04,S5,2026,0.058823529411764705
9,M04,S5,3407,0.058823529411764705
9,M04,S5,7777,0.25
9,M05,S1,13,0.058823529411764705
9,M05,S1,42,0.058823529411764705
9,M05,S1,2026,0.25
9,M05,S1,3407,0.25
9,M05,S1,7777,0.058823529411764705
9,M05,S2,13,0.14285714285714285
9,M05,S2,42,0.058823529411764705
9,M05,S2,2026,0.14285714285714285
9,M05,S2,3407,0.125
9,M05,S2,7777,0.058823529411764705
9,M05,S3,13,0.125
9,M05,S3,42,0.058823529411764705
9,M05,S3,2026,0.058823529411764705
9,M05,S3,3407,0.058823529411764705
9,M05,S3,7777,0.14285714285714285
9,M05,S4,13,0.058823529411764705
9,M05,S4,42,0.125
9,M05,S4,2026,0.058823529411764705
9,M05,S4,3407,0.058823529411764705
9,M05,S4,7777,0.058823529411764705
9,M05,S5,13,0.25
9,M05,S5,42,0.058823529411764705
9,M05,S5,2026,0.1111111111111111
9,M05,S5,3407,0.14285714285714285
9,M05,S5,7777,0.14285714285714285
9,M08,S1,13,0.058823529411764705
9,M08,S1,42,0.1
9,M08,S1,2026,0.3333333333333333
9,M08,S1,3407,0.25
9,M08,S1,7777,0.058823529411764705
9,M08,S2,13,0.125
9,M08,S2,42,0.5
9,M08,S2,2026,0.5
9,M08,S2,3407,0.25
9,M08,S2,7777,0.25
9,M08,S3,13,0.25
9,M08,S3,42,0.14285714285714285
9,M08,S3,2026,0.058823529411764705
9,M08,S3,3407,0.25
9,M08,S3,7777,0.5
9,M08,S4,13,0.14285714285714285
9,M08,S4,42,0.5
9,M08,S4,2026,0.125
9,M08,S4,3407,0.125
9,M08,S4,7777,0.25
9,M08,S5,13,0.058823529411764705
9,M08,S5,42,0.25
9,M08,S5,2026,0.2
9,M08,S5,3407,0.5
9,M08,S5,7777,0.5
10,M04,S1,13,0.047619047619047616
10,M04,S1,42,0.1
10,M04,S1,2026,0.09090909090909091
10,M04,S1,3407,0.047619047619047616
10,M04,S1,7777,0.25
10,M04,S2,13,0.047619047619047616
10,M04,S2,42,0.1
10,M04,S2,2026,0.047619047619047616
10,M04,S2,3407,0.047619047619047616
10,M04,S2,7777,0.047619047619047616
10,M04,S3,13,0.047619047619047616
10,M04,S3,42,0.5
10,M04,S3,2026,0.047619047619047616
10,M04,S3,3407,0.125
10,M04,S3,7777,0.047619047619047616
10,M04,S4,13,0.047619047619047616
10,M04,S4,42,0.047619047619047616
10,M04,S4,2026,0.047619047619047616
10,M04,S4,3407,0.09090909090909091
10,M04,S4,7777,0.14285714285714285
10,M04,S5,13,0.047619047619047616
10,M04,S5,42,0.047619047619047616
10,M04,S5,2026,0.047619047619047616
10,M04,S5,3407,0.047619047619047616
10,M04,S5,7777,0.047619047619047616
10,M05,S1,13,0.1
10,M05,S1,42,0.047619047619047616
10,M05,S1,2026,0.047619047619047616
10,M05,S1,3407,0.09090909090909091
10,M05,S1,7777,0.047619047619047616
10,M05,S2,13,0.047619047619047616
10,M05,S2,42,0.1
10,M05,S2,2026,0.047619047619047616
10,M05,S2,3407,0.09090909090909091
10,M05,S2,7777,0.1
10,M05,S3,13,0.3333333333333333
10,M05,S3,42,0.125
10,M05,S3,2026,0.5
10,M05,S3,3407,0.047619047619047616
10,M05,S3,7777,0.09090909090909091
10,M05,S4,13,0.047619047619047616
10,M05,S4,42,0.047619047619047616
10,M05,S4,2026,0.047619047619047616
10,M05,S4,3407,0.3333333333333333
10,M05,S4,7777,0.3333333333333333
10,M05,S5,13,0.047619047619047616
10,M05,S5,42,0.047619047619047616
