a_ver,mech,str,auprc,i_auprc
raw,M08,S1,0.1111111111111111,0.07692307692307693
raw,M08,S3,0.5,0.2
raw,M08,S5,0.3333333333333333,0.25
raw,M09,S1,0.16666666666666666,0.07692307692307693
raw,M09,S3,0.1111111111111111,0.125
raw,M09,S5,0.16666666666666666,0.07692307692307693
raw,M11,S1,0.33535353535353535,0.5138888888888888
raw,M11,S3,0.7916666666666666,0.9166666666666665
raw,M11,S5,0.8666666666666667,1.0
raw,M04,S1,0.25,0.07692307692307693
raw,M04,S3,0.25,0.1111111111111111
raw,M04,S5,0.3333333333333333,0.3333333333333333
raw,M05,S1,0.16666666666666666,0.07692307692307693
raw,M05,S3,0.16666666666666666,0.07692307692307693
raw,M05,S5,0.25,0.07692307692307693
raw,M06,S1,0.5888888888888889,0.6388888888888888
raw,M06,S3,0.8055555555555556,1.0
raw,M06,S5,0.6388888888888888,1.0
raw,M07,S1,0.8333333333333333,0.35
raw,M07,S3,0.8333333333333333,0.35
raw,M07,S5,0.8333333333333333,0.35
raw,M08,S1,0.3333333333333333,0.07692307692307693
raw,M08,S3,0.3333333333333333,0.3333333333333333
raw,M08,S5,0.125,0.3333333333333333
raw,M09,S1,0.09090909090909091,0.07692307692307693
raw,M09,S3,0.25,0.25
raw,M09,S5,0.3333333333333333,0.125
raw,M11,S1,0.40277777777777773,0.4777777777777778
raw,M11,S3,0.9166666666666665,0.9166666666666665
raw,M11,S5,0.8055555555555556,1.0
raw,M04,S1,0.14285714285714285,0.3333333333333333
raw,M04,S3,0.3333333333333333,0.14285714285714285
raw,M04,S5,0.2,0.2
raw,M05,S1,0.2,0.09090909090909091
raw,M05,S3,0.3333333333333333,0.25
raw,M05,S5,0.2,0.058823529411764705
raw,M06,S1,0.8666666666666667,0.6388888888888888
raw,M06,S3,1.0,1.0
raw,M06,S5,1.0,1.0
raw,M07,S1,0.8333333333333333,0.3055555555555556
raw,M07,S3,0.8333333333333333,0.3055555555555556
raw,M07,S5,0.8333333333333333,0.3055555555555556
raw,M08,S1,0.2,0.09090909090909091
raw,M08,S3,0.2,0.2
raw,M08,S5,0.2,0.5
raw,M09,S1,0.14285714285714285,0.058823529411764705
raw,M09,S3,0.16666666666666666,0.058823529411764705
raw,M09,S5,0.1111111111111111,0.25
raw,M11,S1,0.4797979797979798,0.4722222222222222
raw,M11,S3,0.9166666666666665,0.9166666666666665
raw,M11,S5,1.0,1.0
raw,M04,S1,0.5,0.08333333333333333
raw,M04,S3,0.1,0.058823529411764705
raw,M04,S5,0.2,0.058823529411764705
raw,M05,S1,0.3333333333333333,0.14285714285714285
raw,M05,S3,0.08333333333333333,0.058823529411764705
raw,M05,S5,0.16666666666666666,0.058823529411764705
raw,M06,S1,0.4777777777777778,0.7555555555555555
raw,M06,S3,1.0,1.0
raw,M06,S5,1.0,1.0
raw,M07,S1,0.8333333333333333,0.5555555555555556
raw,M07,S3,0.8333333333333333,0.5555555555555556
raw,M07,S5,0.8333333333333333,0.5555555555555556
raw,M08,S1,0.1,0.1
raw,M08,S3,0.25,0.058823529411764705
raw,M08,S5,0.5,0.3333333333333333
raw,M09,S1,0.2,0.058823529411764705
raw,M09,S3,0.0625,0.058823529411764705
raw,M09,S5,0.1111111111111111,0.058823529411764705
raw,M11,S1,0.5,0.3333333333333333
raw,M11,S3,0.8666666666666667,0.8666666666666667
raw,M11,S5,0.9166666666666665,1.0
derived,M04,S1,0.25,0.07692307692307693
derived,M04,S3,0.1,0.07692307692307693
derived,M04,S5,0.16666666666666666,0.07692307692307693
derived,M05,S1,0.1,0.07692307692307693
derived,M05,S3,0.3333333333333333,0.125
derived,M05,S5,0.5,0.07692307692307693
derived,M06,S1,0.9166666666666665,0.6388888888888888
derived,M06,S3,1.0,1.0
derived,M06,S5,1.0,1.0
derived,M07,S1,0.8333333333333333,0.5
derived,M07,S3,0.8333333333333333,0.5
derived,M07,S5,0.8333333333333333,0.5
derived,M08,S1,0.1,0.125
derived,M08,S3,0.25,0.14285714285714285
derived,M08,S5,0.2,0.3333333333333333
derived,M09,S1,0.1111111111111111,0.07692307692307693
derived,M09,S3,0.25,0.16666666666666666
derived,M09,S5,0.2,0.07692307692307693
derived,M11,S1,0.6555555555555554,0.4555555555555555
derived,M11,S3,0.8095238095238095,0.9166666666666665
derived,M11,S5,1.0,1.0
derived,M04,S1,0.14285714285714285,0.2
derived,M04,S3,0.08333333333333333,0.047619047619047616
derived,M04,S5,0.3333333333333333,0.16666666666666666
derived,M05,S1,0.07692307692307693,0.047619047619047616
derived,M05,S3,0.125,0.1
derived,M05,S5,0.08333333333333333,0.1
derived,M06,S1,0.8055555555555556,0.9166666666666665
derived,M06,S3,1.0,1.0
derived,M06,S5,1.0,1.0
derived,M07,S1,0.75,0.29545454545454547
derived,M07,S3,0.75,0.29545454545454547
derived,M07,S5,0.75,0.29545454545454547
derived,M08,S1,0.05263157894736842,0.047619047619047616
derived,M08,S3,0.125,0.047619047619047616
derived,M08,S5,0.3333333333333333,0.125
derived,M09,S1,0.09090909090909091,0.3333333333333333
derived,M09,S3,0.25,0.09090909090909091
derived,M09,S5,0.125,0.047619047619047616
derived,M11,S1,0.40277777777777773,0.321256038647343
derived,M11,S3,1.0,0.9166666666666666
derived,M11,S5,0.9166666666666665,1.0
derived,M04,S1,0.1111111111111111,0.07692307692307693
derived,M04,S3,0.1111111111111111,0.07692307692307693
derived,M04,S5,0.16666666666666666,0.125
derived,M05,S1,0.25,0.2
derived,M05,S3,0.16666666666666666,0.2
derived,M05,S5,0.125,0.07692307692307693
derived,M06,S1,0.7555555555555555,0.6388888888888888
derived,M06,S3,1.0,1.0
derived,M06,S5,1.0,1.0
derived,M07,S1,0.8333333333333333,0.34090909090909094
derived,M07,S3,0.8333333333333333,0.34090909090909094
derived,M07,S5,0.8333333333333333,0.34090909090909094
derived,M08,S1,0.1111111111111111,0.07692307692307693
derived,M08,S3,0.5,0.2
derived,M08,S5,0.3333333333333333,0.25
derived,M09,S1,0.16666666666666666,0.07692307692307693
derived,M09,S3,0.1111111111111111,0.125
derived,M09,S5,0.25,0.07692307692307693
derived,M11,S1,0.33535353535353535,0.5138888888888888
derived,M11,S3,0.8095238095238095,0.9166666666666665
derived,M11,S5,0.8666666666666667,1.0
derived,M04,S1,0.25,0.07692307692307693
derived,M04,S3,0.16666666666666666,0.1111111111111111
derived,M04,S5,0.3333333333333333,0.3333333333333333
derived,M05,S1,0.125,0.07692307692307693
derived,M05,S3,0.2,0.07692307692307693
derived,M05,S5,0.25,0.07692307692307693
derived,M06,S1,0.5888888888888889,0.6388888888888888
derived,M06,S3,0.8055555555555556,1.0
derived,M06,S5,0.6388888888888888,1.0
derived,M07,S1,0.8333333333333333,0.35
derived,M07,S3,0.8333333333333333,0.35
derived,M07,S5,0.8333333333333333,0.35
derived,M08,S1,0.3333333333333333,0.07692307692307693
derived,M08,S3,0.3333333333333333,0.3333333333333333
derived,M08,S5,0.14285714285714285,0.3333333333333333
derived,M09,S1,0.09090909090909091,0.07692307692307693
derived,M09,S3,0.25,0.25
derived,M09,S5,0.3333333333333333,0.125
derived,M11,S1,0.40277777777777773,0.4777777777777778
derived,M11,S3,0.9166666666666665,0.9166666666666665
derived,M11,S5,0.8055555555555556,1.0
derived,M04,S1,0.14285714285714285,0.3333333333333333
derived,M04,S3,0.2,0.14285714285714285
derived,M04,S5,0.14285714285714285,0.2
derived,M05,S1,0.16666666666666666,0.09090909090909091
derived,M05,S3,0.3333333333333333,0.25
derived,M05,S5,0.2,0.058823529411764705
derived,M06,S1,0.8666666666666667,0.6388888888888888
derived,M06,S3,1.0,1.0
derived,M06,S5,1.0,1.0
derived,M07,S1,0.8333333333333333,0.3055555555555556
derived,M07,S3,0.8333333333333333,0.3055555555555556
derived,M07,S5,0.8333333333333333,0.3055555555555556
derived,M08,S1,0.16666666666666666,0.09090909090909091
derived,M08,S3,0.2,0.2
derived,M08,S5,0.2,0.5
derived,M09,S1,0.14285714285714285,0.058823529411764705
derived,M09,S3,0.2,0.058823529411764705
derived,M09,S5,0.125,0.25
derived,M11,S1,0.6464646464646464,0.4722222222222222
derived,M11,S3,0.9166666666666665,0.9166666666666665
derived,M11,S5,1.0,1.0
derived,M04,S1,0.3333333333333333,0.08333333333333333
derived,M04,S3,0.07142857142857142,0.058823529411764705
derived,M04,S5,0.1,0.058823529411764705
derived,M05,S1,0.3333333333333333,0.14285714285714285
derived,M05,S3,0.1,0.058823529411764705
derived,M05,S5,0.3333333333333333,0.058823529411764705
derived,M06,S1,0.4777777777777778,0.7555555555555555
derived,M06,S3,1.0,1.0
derived,M06,S5,1.0,1.0
derived,M07,S1,0.8333333333333333,0.5555555555555556
derived,M07,S3,0.8333333333333333,0.5555555555555556
derived,M07,S5,0.8333333333333333,0.5555555555555556
derived,M08,S1,0.1,0.1
derived,M08,S3,0.3333333333333333,0.058823529411764705
derived,M08,S5,0.5,0.3333333333333333
derived,M09,S1,0.25,0.058823529411764705
derived,M09,S3,0.07142857142857142,0.058823529411764705
derived,M09,S5,0.14285714285714285,0.058823529411764705
derived,M11,S1,0.5,0.3333333333333333
derived,M11,S3,0.8666666666666667,0.8666666666666667
derived,M11,S5,0.9166666666666665,1.0
policy,M04,S1,0.5,0.07692307692307693
policy,M04,S3,0.2,0.07692307692307693
policy,M04,S5,0.3333333333333333,0.07692307692307693
policy,M05,S1,0.2,0.07692307692307693
policy,M05,S3,0.5,0.125
policy,M05,S5,1.0,0.07692307692307693
policy,M06,S1,0.9166666666666665,0.6388888888888888
policy,M06,S3,1.0,1.0
policy,M06,S5,1.0,1.0
policy,M07,S1,0.8333333333333333,0.5
policy,M07,S3,0.8333333333333333,0.5
policy,M07,S5,0.8333333333333333,0.5
policy,M08,S1,0.1111111111111111,0.125
policy,M08,S3,0.5,0.14285714285714285
policy,M08,S5,0.25,0.3333333333333333
policy,M09,S1,0.16666666666666666,0.07692307692307693
policy,M09,S3,0.25,0.16666666666666666
policy,M09,S5,0.25,0.07692307692307693
policy,M11,S1,0.8666666666666667,0.4555555555555555
policy,M11,S3,0.9166666666666665,0.9166666666666665
policy,M11,S5,1.0,1.0
policy,M04,S1,0.3333333333333333,0.2
policy,M04,S3,0.25,0.047619047619047616
policy,M04,S5,0.5,0.16666666666666666
policy,M05,S1,0.25,0.047619047619047616
policy,M05,S3,0.25,0.1
policy,M05,S5,0.125,0.1
policy,M06,S1,0.7555555555555555,0.9166666666666665
policy,M06,S3,1.0,1.0
policy,M06,S5,1.0,1.0
policy,M07,S1,1.0,0.29545454545454547
policy,M07,S3,1.0,0.29545454545454547
policy,M07,S5,1.0,0.29545454545454547
policy,M08,S1,0.07142857142857142,0.047619047619047616
policy,M08,S3,0.25,0.047619047619047616
policy,M08,S5,0.3333333333333333,0.125
policy,M09,S1,0.14285714285714285,0.3333333333333333
policy,M09,S3,0.25,0.09090909090909091
policy,M09,S5,0.25,0.047619047619047616
policy,M11,S1,0.4444444444444445,0.321256038647343
policy,M11,S3,1.0,0.9166666666666666
policy,M11,S5,0.9166666666666665,1.0
policy,M04,S1,0.25,0.07692307692307693
policy,M04,S3,0.25,0.07692307692307693
policy,M04,S5,0.3333333333333333,0.125
policy,M05,S1,0.3333333333333333,0.2
policy,M05,S3,0.25,0.2
policy,M05,S5,0.25,0.07692307692307693
policy,M06,S1,0.7,0.6388888888888888
policy,M06,S3,1.0,1.0
policy,M06,S5,1.0,1.0
policy,M07,S1,0.8333333333333333,0.34090909090909094
policy,M07,S3,0.8333333333333333,0.34090909090909094
policy,M07,S5,0.8333333333333333,0.34090909090909094
policy,M08,S1,0.125,0.07692307692307693
policy,M08,S3,0.5,0.2
policy,M08,S5,0.5,0.25
policy,M09,S1,0.25,0.07692307692307693
policy,M09,S3,0.125,0.125
policy,M09,S5,0.25,0.07692307692307693
policy,M11,S1,0.3888888888888889,0.5138888888888888
policy,M11,S3,0.8333333333333333,0.9166666666666665
policy,M11,S5,0.9166666666666666,1.0
policy,M04,S1,0.3333333333333333,0.07692307692307693
policy,M04,S3,0.3333333333333333,0.1111111111111111
policy,M04,S5,0.3333333333333333,0.3333333333333333
policy,M05,S1,0.25,0.07692307692307693
policy,M05,S3,0.25,0.07692307692307693
policy,M05,S5,0.3333333333333333,0.07692307692307693
policy,M06,S1,0.5888888888888889,0.6388888888888888
policy,M06,S3,0.8055555555555556,1.0
policy,M06,S5,0.75,1.0
policy,M07,S1,0.8333333333333333,0.35
policy,M07,S3,0.8333333333333333,0.35
policy,M07,S5,0.8333333333333333,0.35
policy,M08,S1,0.3333333333333333,0.07692307692307693
policy,M08,S3,0.3333333333333333,0.3333333333333333
policy,M08,S5,0.16666666666666666,0.3333333333333333
policy,M09,S1,0.16666666666666666,0.07692307692307693
policy,M09,S3,0.3333333333333333,0.25
policy,M09,S5,0.3333333333333333,0.125
policy,M11,S1,0.5333333333333333,0.4777777777777778
policy,M11,S3,0.9166666666666665,0.9166666666666665
policy,M11,S5,0.9166666666666665,1.0
policy,M04,S1,0.25,0.3333333333333333
policy,M04,S3,0.5,0.14285714285714285
policy,M04,S5,0.3333333333333333,0.2
policy,M05,S1,0.25,0.09090909090909091
policy,M05,S3,0.5,0.25
policy,M05,S5,0.2,0.058823529411764705
policy,M06,S1,0.8666666666666667,0.6388888888888888
policy,M06,S3,1.0,1.0
policy,M06,S5,1.0,1.0
policy,M07,S1,1.0,0.3055555555555556
policy,M07,S3,1.0,0.3055555555555556
policy,M07,S5,1.0,0.3055555555555556
policy,M08,S1,0.2,0.09090909090909091
policy,M08,S3,0.2,0.2
policy,M08,S5,0.25,0.5
policy,M09,S1,0.2,0.058823529411764705
policy,M09,S3,0.2,0.058823529411764705
policy,M09,S5,0.14285714285714285,0.25
policy,M11,S1,0.7916666666666666,0.4722222222222222
policy,M11,S3,0.9166666666666665,0.9166666666666665
policy,M11,S5,1.0,1.0
policy,M04,S1,0.5,0.08333333333333333
policy,M04,S3,0.2,0.058823529411764705
policy,M04,S5,0.3333333333333333,0.058823529411764705
policy,M05,S1,0.5,0.14285714285714285
policy,M05,S3,0.2,0.058823529411764705
policy,M05,S5,0.3333333333333333,0.058823529411764705
policy,M06,S1,0.4777777777777778,0.7555555555555555
policy,M06,S3,1.0,1.0
policy,M06,S5,1.0,1.0
policy,M07,S1,0.8333333333333333,0.5555555555555556
policy,M07,S3,0.8333333333333333,0.5555555555555556
policy,M07,S5,0.8333333333333333,0.5555555555555556
policy,M08,S1,0.16666666666666666,0.1
policy,M08,S3,0.3333333333333333,0.058823529411764705
policy,M08,S5,0.5,0.3333333333333333
policy,M09,S1,0.3333333333333333,0.058823529411764705
policy,M09,S3,0.07692307692307693,0.058823529411764705
policy,M09,S5,0.2,0.058823529411764705
policy,M11,S1,0.5,0.3333333333333333
policy,M11,S3,0.9166666666666665,0.8666666666666667
policy,M11,S5,1.0,1.0
