dataset_index,mechanism,strength,seed,split,univariate_auc,pearson,spearman
0,M04,S5,13,train,0.45911,-0.062765,-0.06898
0,M04,S5,13,val,0.491978,-0.024671,-0.013255
0,M04,S5,13,test,0.495208,-0.015416,-0.008132
0,M04,S5,42,train,0.485183,-0.038917,-0.024996
0,M04,S5,42,val,0.433407,-0.11131,-0.110032
0,M04,S5,42,test,0.466667,-0.079036,-0.056569
0,M04,S5,2026,train,0.458653,-0.081561,-0.06975
0,M04,S5,2026,val,0.455495,-0.069378,-0.073536
0,M04,S5,2026,test,0.473854,-0.046712,-0.044372
0,M04,S5,3407,train,0.496638,-0.024604,-0.005671
0,M04,S5,3407,val,0.441758,-0.107052,-0.096232
0,M04,S5,3407,test,0.555104,0.067472,0.093516
0,M04,S5,7777,train,0.498876,-0.01129,-0.001897
0,M04,S5,7777,val,0.502527,0.001694,0.004176
0,M04,S5,7777,test,0.560521,0.104021,0.102709
0,M05,S1,13,train,0.47887,-0.025368,-0.035646
0,M05,S1,13,val,0.487692,-0.025857,-0.020336
0,M05,S1,13,test,0.486458,-0.024654,-0.022981
0,M05,S1,42,train,0.510319,0.008665,0.017408
0,M05,S1,42,val,0.429341,-0.12089,-0.11675
0,M05,S1,42,test,0.450938,-0.095022,-0.083263
0,M05,S1,2026,train,0.469933,-0.054909,-0.050722
0,M05,S1,2026,val,0.443626,-0.074727,-0.093146
0,M05,S1,2026,test,0.468542,-0.058421,-0.053387
0,M05,S1,3407,train,0.52831,0.031213,0.047758
0,M05,S1,3407,val,0.443407,-0.11187,-0.093509
0,M05,S1,3407,test,0.551354,0.060334,0.087152
0,M05,S1,7777,train,0.521423,0.052192,0.03614
0,M05,S1,7777,val,0.503626,0.00182,0.005992
0,M05,S1,7777,test,0.553333,0.099583,0.090511
0,M05,S2,13,train,0.479912,-0.021022,-0.033887
0,M05,S2,13,val,0.475824,-0.037724,-0.039946
0,M05,S2,13,test,0.488125,-0.029491,-0.020153
0,M05,S2,42,train,0.515274,0.008283,0.025766
0,M05,S2,42,val,0.433736,-0.119834,-0.109487
0,M05,S2,42,test,0.450417,-0.096283,-0.084147
0,M05,S2,2026,train,0.479772,-0.047265,-0.034124
0,M05,S2,2026,val,0.443516,-0.081506,-0.093327
0,M05,S2,2026,test,0.466458,-0.061674,-0.056923
0,M05,S2,3407,train,0.532656,0.027914,0.055089
0,M05,S2,3407,val,0.437143,-0.111362,-0.103858
0,M05,S2,3407,test,0.54625,0.052017,0.07849
0,M05,S2,7777,train,0.525663,0.045542,0.043293
0,M05,S2,7777,val,0.510549,-0.012215,0.017431
0,M05,S2,7777,test,0.553958,0.090172,0.091571
0,M05,S3,13,train,0.48489,-0.016879,-0.02549
0,M05,S3,13,val,0.47044,-0.045257,-0.048842
0,M05,S3,13,test,0.488437,-0.033012,-0.019622
0,M05,S3,42,train,0.518951,0.007635,0.031971
0,M05,S3,42,val,0.438791,-0.114499,-0.101135
0,M05,S3,42,test,0.449792,-0.094472,-0.085207
0,M05,S3,2026,train,0.489494,-0.03942,-0.017724
0,M05,S3,2026,val,0.448462,-0.083233,-0.085157
0,M05,S3,2026,test,0.461875,-0.062735,-0.064701
0,M05,S3,3407,train,0.534412,0.024211,0.058053
0,M05,S3,3407,val,0.440549,-0.1069,-0.09823
0,M05,S3,3407,test,0.542083,0.043208,0.071419
0,M05,S3,7777,train,0.529739,0.038829,0.050169
0,M05,S3,7777,val,0.504176,-0.022321,0.0069
0,M05,S3,7777,test,0.550312,0.079383,0.085384
0,M05,S4,13,train,0.490571,-0.013571,-0.015906
0,M05,S4,13,val,0.471978,-0.04953,-0.0463
0,M05,S4,13,test,0.490729,-0.035389,-0.015733
0,M05,S4,42,train,0.523426,0.007005,0.039519
0,M05,S4,42,val,0.441538,-0.108129,-0.096596
0,M05,S4,42,test,0.452292,-0.090968,-0.080965
0,M05,S4,2026,train,0.497716,-0.032835,-0.003853
0,M05,S4,2026,val,0.448132,-0.082272,-0.085701
0,M05,S4,2026,test,0.459167,-0.062343,-0.069297
0,M05,S4,3407,train,0.534178,0.021006,0.057658
0,M05,S4,3407,val,0.441209,-0.101439,-0.09714
0,M05,S4,3407,test,0.536667,0.034753,0.062226
0,M05,S4,7777,train,0.532292,0.033267,0.054476
0,M05,S4,7777,val,0.50011,-0.029176,0.000182
0,M05,S4,7777,test,0.545625,0.068445,0.077429
0,M05,S5,13,train,0.496346,-0.011048,-0.006165
0,M05,S5,13,val,0.473407,-0.051852,-0.04394
0,M05,S5,13,test,0.490625,-0.036903,-0.01591
0,M05,S5,42,train,0.525581,0.00647,0.043154
0,M05,S5,42,val,0.444066,-0.102111,-0.092419
0,M05,S5,42,test,0.45375,-0.08683,-0.07849
0,M05,S5,2026,train,0.502366,-0.027643,0.003991
0,M05,S5,2026,val,0.454176,-0.080255,-0.075715
0,M05,S5,2026,test,0.457708,-0.061162,-0.071772
0,M05,S5,3407,train,0.53433,0.01844,0.057915
0,M05,S5,3407,val,0.447033,-0.096236,-0.087517
0,M05,S5,3407,test,0.530938,0.027127,0.052503
0,M05,S5,7777,train,0.533991,0.028905,0.057342
0,M05,S5,7777,val,0.497802,-0.033836,-0.003631
0,M05,S5,7777,test,0.540625,0.058178,0.068944
1,M04,S1,13,train,0.473237,-0.041471,-0.045996
1,M04,S1,13,val,0.478661,-0.048417,-0.036405
1,M04,S1,13,test,0.516204,0.01396,0.027447
1,M04,S1,42,train,0.523023,0.03355,0.039568
1,M04,S1,42,val,0.449016,-0.0725,-0.08698
1,M04,S1,42,test,0.437819,-0.117323,-0.105322
1,M04,S1,2026,train,0.484989,-0.024122,-0.025799
1,M04,S1,2026,val,0.522872,0.044006,0.039021
1,M04,S1,2026,test,0.51534,-0.002256,0.025983
1,M04,S1,3407,train,0.524273,0.050294,0.041716
1,M04,S1,3407,val,0.432575,-0.13393,-0.115029
1,M04,S1,3407,test,0.499525,-0.021426,-0.000805
1,M04,S1,7777,train,0.521904,0.037702,0.037645
1,M04,S1,7777,val,0.454809,-0.089679,-0.077098
1,M04,S1,7777,test,0.502031,0.005058,0.00344
1,M04,S2,13,train,0.471959,-0.044553,-0.048192
1,M04,S2,13,val,0.463583,-0.06771,-0.062129
1,M04,S2,13,test,0.511192,0.006322,0.018956
1,M04,S2,42,train,0.520244,0.028603,0.034791
1,M04,S2,42,val,0.442372,-0.087889,-0.098316
1,M04,S2,42,test,0.436954,-0.122896,-0.106785
1,M04,S2,2026,train,0.484774,-0.027496,-0.026168
1,M04,S2,2026,val,0.508817,0.022267,0.015042
1,M04,S2,2026,test,0.511797,-0.009897,0.019981
1,M04,S2,3407,train,0.523144,0.044867,0.039776
1,M04,S2,3407,val,0.42346,-0.145549,-0.130579
1,M04,S2,3407,test,0.496932,-0.028401,-0.005197
1,M04,S2,7777,train,0.520141,0.032724,0.034615
1,M04,S2,7777,val,0.450805,-0.105617,-0.083928
1,M04,S2,7777,test,0.498401,-0.001795,-0.002708
1,M04,S3,13,train,0.472071,-0.046752,-0.047999
1,M04,S3,13,val,0.454042,-0.082824,-0.078406
1,M04,S3,13,test,0.505747,-0.001181,0.009734
1,M04,S3,42,train,0.517604,0.023522,0.030255
1,M04,S3,42,val,0.436409,-0.098853,-0.108489
1,M04,S3,42,test,0.439461,-0.126832,-0.10254
1,M04,S3,2026,train,0.485129,-0.03033,-0.025559
1,M04,S3,2026,val,0.495357,0.002435,-0.007921
1,M04,S3,2026,test,0.505574,-0.017065,0.009442
1,M04,S3,3407,train,0.523079,0.039142,0.039664
1,M04,S3,3407,val,0.41656,-0.151809,-0.142351
1,M04,S3,3407,test,0.493389,-0.034919,-0.011198
1,M04,S3,7777,train,0.517968,0.027532,0.03088
1,M04,S3,7777,val,0.443905,-0.116319,-0.0957
1,M04,S3,7777,test,0.495981,-0.008462,-0.006807
1,M04,S4,13,train,0.473517,-0.048158,-0.045515
1,M04,S4,13,val,0.445864,-0.093791,-0.092358
1,M04,S4,13,test,0.49987,-0.008337,-0.00022
1,M04,S4,42,train,0.516047,0.018569,0.027578
1,M04,S4,42,val,0.435386,-0.106255,-0.110233
1,M04,S4,42,test,0.436263,-0.129274,-0.107957
1,M04,S4,2026,train,0.485632,-0.032606,-0.024693
1,M04,S4,2026,val,0.485817,-0.014544,-0.024198
1,M04,S4,2026,test,0.502636,-0.023609,0.004465
1,M04,S4,3407,train,0.521204,0.033441,0.036442
1,M04,S4,3407,val,0.412727,-0.154346,-0.148891
1,M04,S4,3407,test,0.488895,-0.040848,-0.01881
1,M04,S4,7777,train,0.515123,0.022406,0.025991
1,M04,S4,7777,val,0.436323,-0.122878,-0.108635
1,M04,S4,7777,test,0.492524,-0.014795,-0.012662
1,M04,S5,13,train,0.474002,-0.048922,-0.044681
1,M04,S5,13,val,0.441946,-0.101395,-0.099043
1,M04,S5,13,test,0.495895,-0.014985,-0.006953
1,M04,S5,42,train,0.513528,0.013929,0.02325
1,M04,S5,42,val,0.431553,-0.111108,-0.116773
1,M04,S5,42,test,0.434102,-0.13046,-0.111616
1,M04,S5,2026,train,0.486509,-0.034364,-0.023186
1,M04,S5,2026,val,0.478235,-0.028551,-0.037132
1,M04,S5,2026,test,0.494771,-0.029454,-0.008856
1,M04,S5,3407,train,0.518835,0.028004,0.032371
1,M04,S5,3407,val,0.411023,-0.154619,-0.151798
1,M04,S5,3407,test,0.485611,-0.046114,-0.024373
1,M04,S5,7777,train,0.512736,0.017556,0.021888
1,M04,S5,7777,val,0.430531,-0.1266,-0.118517
1,M04,S5,7777,test,0.489586,-0.020683,-0.017639
1,M05,S1,13,train,0.476846,-0.039028,-0.039792
1,M05,S1,13,val,0.480194,-0.049829,-0.033789
1,M05,S1,13,test,0.514217,0.006309,0.02408
1,M05,S1,42,train,0.523732,0.033365,0.040786
1,M05,S1,42,val,0.448675,-0.073573,-0.087562
1,M05,S1,42,test,0.435312,-0.123866,-0.109567
1,M05,S1,2026,train,0.487134,-0.022584,-0.022112
1,M05,S1,2026,val,0.525343,0.042945,0.043236
1,M05,S1,2026,test,0.50834,-0.010165,0.014126
1,M05,S1,3407,train,0.524851,0.048873,0.04271
1,M05,S1,3407,val,0.43462,-0.137034,-0.111541
1,M05,S1,3407,test,0.49408,-0.028657,-0.010027
1,M05,S1,7777,train,0.521913,0.037259,0.037661
1,M05,S1,7777,val,0.454212,-0.09043,-0.078115
1,M05,S1,7777,test,0.500562,-0.001899,0.000951
1,M05,S2,13,train,0.477844,-0.037629,-0.038077
1,M05,S2,13,val,0.46205,-0.071096,-0.064745
1,M05,S2,13,test,0.501772,-0.008983,0.003001
1,M05,S2,42,train,0.518453,0.026917,0.031714
1,M05,S2,42,val,0.438197,-0.0904,-0.105437
1,M05,S2,42,test,0.428485,-0.134107,-0.121131
1,M05,S2,2026,train,0.488561,-0.023216,-0.01966
1,M05,S2,2026,val,0.511032,0.020419,0.01882
1,M05,S2,2026,test,0.497623,-0.025024,-0.004025
1,M05,S2,3407,train,0.521316,0.0405,0.036635
1,M05,S2,3407,val,0.421501,-0.152408,-0.133922
1,M05,S2,3407,test,0.482845,-0.042259,-0.029057
1,M05,S2,7777,train,0.518313,0.030411,0.031473
1,M05,S2,7777,val,0.444331,-0.107617,-0.094974
1,M05,S2,7777,test,0.49071,-0.015349,-0.015736
1,M05,S3,13,train,0.479383,-0.034992,-0.035433
1,M05,S3,13,val,0.445353,-0.088576,-0.09323
1,M05,S3,13,test,0.488463,-0.023481,-0.019542
1,M05,S3,42,train,0.513006,0.020679,0.022353
1,M05,S3,42,val,0.430957,-0.103054,-0.11779
1,M05,S3,42,test,0.421053,-0.140994,-0.13372
1,M05,S3,2026,train,0.488384,-0.02281,-0.019964
1,M05,S3,2026,val,0.500128,-0.000222,0.000218
1,M05,S3,2026,test,0.484314,-0.038234,-0.026568
1,M05,S3,3407,train,0.516308,0.032459,0.028027
1,M05,S3,3407,val,0.414856,-0.162274,-0.145258
1,M05,S3,3407,test,0.478351,-0.054388,-0.036669
1,M05,S3,7777,train,0.515207,0.023728,0.026136
1,M05,S3,7777,val,0.438453,-0.120004,-0.105001
1,M05,S3,7777,test,0.484919,-0.027844,-0.025544
1,M05,S4,13,train,0.481006,-0.032239,-0.032643
1,M05,S4,13,val,0.439646,-0.101929,-0.102967
1,M05,S4,13,test,0.481462,-0.036506,-0.031399
1,M05,S4,42,train,0.510292,0.015504,0.017688
1,M05,S4,42,val,0.423801,-0.112173,-0.129998
1,M05,S4,42,test,0.418978,-0.145114,-0.137233
1,M05,S4,2026,train,0.48871,-0.021975,-0.019403
1,M05,S4,2026,val,0.492717,-0.018139,-0.012426
1,M05,S4,2026,test,0.473857,-0.049483,-0.04428
1,M05,S4,3407,train,0.511896,0.025753,0.020445
1,M05,S4,3407,val,0.412131,-0.167777,-0.149908
1,M05,S4,3407,test,0.467807,-0.064741,-0.054527
1,M05,S4,7777,train,0.511178,0.018147,0.019211
1,M05,S4,7777,val,0.431553,-0.128395,-0.116773
1,M05,S4,7777,test,0.478092,-0.039005,-0.037108
1,M05,S5,13,train,0.482116,-0.029793,-0.030736
1,M05,S5,13,val,0.439816,-0.111648,-0.102676
1,M05,S5,13,test,0.470746,-0.047724,-0.04955
1,M05,S5,42,train,0.507158,0.011439,0.012302
1,M05,S5,42,val,0.420819,-0.118601,-0.135085
1,M05,S5,42,test,0.416645,-0.147179,-0.141185
1,M05,S5,2026,train,0.489102,-0.02105,-0.01873
1,M05,S5,2026,val,0.486413,-0.033181,-0.02318
1,M05,S5,2026,test,0.466684,-0.058788,-0.05643
1,M05,S5,3407,train,0.508809,0.02043,0.01514
1,M05,S5,3407,val,0.414345,-0.170263,-0.14613
1,M05,S5,3407,test,0.460375,-0.073291,-0.067116
1,M05,S5,7777,train,0.509509,0.013743,0.016342
1,M05,S5,7777,val,0.426868,-0.133844,-0.124766
1,M05,S5,7777,test,0.471783,-0.048679,-0.047794
2,M04,S1,13,train,0.513942,0.015976,0.024059
2,M04,S1,13,val,0.48797,-0.003233,-0.019931
2,M04,S1,13,test,0.528705,0.045584,0.049275
2,M04,S1,42,train,0.500781,0.00619,0.001348
2,M04,S1,42,val,0.505275,-0.002038,0.00874
2,M04,S1,42,test,0.455529,-0.06709,-0.076339
2,M04,S1,2026,train,0.527981,0.046539,0.048285
2,M04,S1,2026,val,0.535939,0.062283,0.059543
2,M04,S1,2026,test,0.451216,-0.094737,-0.083743
2,M04,S1,3407,train,0.484161,-0.037469,-0.027332
2,M04,S1,3407,val,0.526679,0.032634,0.044201
2,M04,S1,3407,test,0.49498,-0.007643,-0.008617
2,M04,S1,7777,train,0.477258,-0.025666,-0.039244
2,M04,S1,7777,val,0.465123,-0.065472,-0.057782
2,M04,S1,7777,test,0.520221,0.042452,0.034711
2,M04,S2,13,train,0.512325,0.014568,0.021269
2,M04,S2,13,val,0.483795,-0.01291,-0.026848
2,M04,S2,13,test,0.527786,0.046673,0.047697
2,M04,S2,42,train,0.502398,0.005419,0.004138
2,M04,S2,42,val,0.50277,-0.012294,0.00459
2,M04,S2,42,test,0.457933,-0.063114,-0.072213
2,M04,S2,2026,train,0.525517,0.043765,0.044033
2,M04,S2,2026,val,0.529108,0.051464,0.048225
2,M04,S2,2026,test,0.453549,-0.09152,-0.079737
2,M04,S2,3407,train,0.485047,-0.035765,-0.025803
2,M04,S2,3407,val,0.518027,0.022268,0.029866
2,M04,S2,3407,test,0.494768,-0.006159,-0.008981
2,M04,S2,7777,train,0.478688,-0.024332,-0.036776
2,M04,S2,7777,val,0.458368,-0.074465,-0.068974
2,M04,S2,7777,test,0.519726,0.042987,0.033861
2,M04,S3,13,train,0.511423,0.012962,0.019713
2,M04,S3,13,val,0.479545,-0.021687,-0.03389
2,M04,S3,13,test,0.527715,0.04701,0.047575
2,M04,S3,42,train,0.502942,0.004615,0.005077
2,M04,S3,42,val,0.499051,-0.021849,-0.001572
2,M04,S3,42,test,0.462458,-0.058632,-0.064445
2,M04,S3,2026,train,0.522618,0.040219,0.039029
2,M04,S3,2026,val,0.527059,0.040595,0.04483
2,M04,S3,2026,test,0.456024,-0.087061,-0.07549
2,M04,S3,3407,train,0.487379,-0.033303,-0.021778
2,M04,S3,3407,val,0.507097,0.011949,0.011758
2,M04,S3,3407,test,0.495051,-0.004666,-0.008496
2,M04,S3,7777,train,0.481845,-0.022583,-0.031329
2,M04,S3,7777,val,0.456243,-0.081697,-0.072495
2,M04,S3,7777,test,0.518453,0.042986,0.031677
2,M04,S4,13,train,0.511268,0.011385,0.019444
2,M04,S4,13,val,0.475901,-0.029382,-0.039926
2,M04,S4,13,test,0.526796,0.046678,0.045998
2,M04,S4,42,train,0.503113,0.00386,0.005372
2,M04,S4,42,val,0.496774,-0.030364,-0.005344
2,M04,S4,42,test,0.467195,-0.053977,-0.056314
2,M04,S4,2026,train,0.519656,0.036468,0.033918
2,M04,S4,2026,val,0.521214,0.030129,0.035147
2,M04,S4,2026,test,0.454398,-0.081788,-0.078281
2,M04,S4,3407,train,0.490092,-0.030591,-0.017097
2,M04,S4,3407,val,0.495939,0.002142,-0.006728
2,M04,S4,3407,test,0.494768,-0.003224,-0.008981
2,M04,S4,7777,train,0.484216,-0.020745,-0.027238
2,M04,S4,7777,val,0.453435,-0.087166,-0.077148
2,M04,S4,7777,test,0.518382,0.042535,0.031555
2,M04,S5,13,train,0.509698,0.009956,0.016735
2,M04,S5,13,val,0.471727,-0.03597,-0.046842
2,M04,S5,13,test,0.52418,0.045821,0.041507
2,M04,S5,42,train,0.502756,0.003193,0.004755
2,M04,S5,42,val,0.494345,-0.037697,-0.009368
2,M04,S5,42,test,0.469457,-0.049401,-0.05243
2,M04,S5,2026,train,0.516671,0.032875,0.028767
2,M04,S5,2026,val,0.513928,0.020378,0.023075
2,M04,S5,2026,test,0.453973,-0.076125,-0.079009
2,M04,S5,3407,train,0.491398,-0.027956,-0.014843
2,M04,S5,3407,val,0.486376,-0.006834,-0.022572
2,M04,S5,3407,test,0.494839,-0.001876,-0.00886
2,M04,S5,7777,train,0.486944,-0.019004,-0.02253
2,M04,S5,7777,val,0.452144,-0.091074,-0.079285
2,M04,S5,7777,test,0.51916,0.041743,0.03289
2,M05,S1,13,train,0.519345,0.024589,0.033382
2,M05,S1,13,val,0.496774,0.009809,-0.005344
2,M05,S1,13,test,0.523331,0.040394,0.040051
2,M05,S1,42,train,0.509107,0.01496,0.015715
2,M05,S1,42,val,0.512106,0.011168,0.020057
2,M05,S1,42,test,0.457933,-0.066953,-0.072213
2,M05,S1,2026,train,0.529552,0.054016,0.050995
2,M05,S1,2026,val,0.543833,0.074086,0.072621
2,M05,S1,2026,test,0.450014,-0.095682,-0.085806
2,M05,S1,3407,train,0.492215,-0.028165,-0.013435
2,M05,S1,3407,val,0.53814,0.045447,0.063189
2,M05,S1,3407,test,0.491869,-0.011134,-0.013957
2,M05,S1,7777,train,0.485817,-0.016148,-0.024475
2,M05,S1,7777,val,0.473548,-0.050769,-0.043824
2,M05,S1,7777,test,0.518665,0.037302,0.032041
2,M05,S2,13,train,0.521382,0.029511,0.036896
2,M05,S2,13,val,0.503529,0.012178,0.005847
2,M05,S2,13,test,0.520645,0.033923,0.035439
2,M05,S2,42,train,0.515893,0.020998,0.027426
2,M05,S2,42,val,0.518406,0.013382,0.030494
2,M05,S2,42,test,0.464932,-0.059617,-0.060198
2,M05,S2,2026,train,0.528106,0.056234,0.0485
2,M05,S2,2026,val,0.546565,0.07356,0.077148
2,M05,S2,2026,test,0.449943,-0.086869,-0.085927
2,M05,S2,3407,train,0.500113,-0.017681,0.000195
2,M05,S2,3407,val,0.539658,0.046869,0.065704
2,M05,S2,3407,test,0.492152,-0.012119,-0.013472
2,M05,S2,7777,train,0.49457,-0.006739,-0.00937
2,M05,S2,7777,val,0.476964,-0.045229,-0.038165
2,M05,S2,7777,test,0.516544,0.031323,0.0284
2,M05,S3,13,train,0.523263,0.032171,0.040143
2,M05,S3,13,val,0.503909,0.013989,0.006476
2,M05,S3,13,test,0.511666,0.027059,0.020025
2,M05,S3,42,train,0.520208,0.024895,0.034871
2,M05,S3,42,val,0.519924,0.015007,0.033009
2,M05,S3,42,test,0.472497,-0.052029,-0.047211
2,M05,S3,2026,train,0.528798,0.05589,0.049694
2,M05,S3,2026,val,0.545199,0.071443,0.074884
2,M05,S3,2026,test,0.453832,-0.075805,-0.079252
2,M05,S3,3407,train,0.505834,-0.008559,0.010068
2,M05,S3,3407,val,0.541101,0.046904,0.068094
2,M05,S3,3407,test,0.492011,-0.012341,-0.013714
2,M05,S3,7777,train,0.502235,0.00077,0.003857
2,M05,S3,7777,val,0.483567,-0.039238,-0.027225
2,M05,S3,7777,test,0.515484,0.025331,0.026579
2,M05,S4,13,train,0.523224,0.033469,0.040076
2,M05,S4,13,val,0.506338,0.015278,0.0105
2,M05,S4,13,test,0.511666,0.021242,0.020025
2,M05,S4,42,train,0.521762,0.027279,0.037554
2,M05,S4,42,val,0.518027,0.016119,0.029866
2,M05,S4,42,test,0.472851,-0.045616,-0.046605
2,M05,S4,2026,train,0.528277,0.054373,0.048795
2,M05,S4,2026,val,0.547476,0.068382,0.078657
2,M05,S4,2026,test,0.457862,-0.065819,-0.072334
2,M05,S4,3407,train,0.509962,-0.001428,0.017191
2,M05,S4,3407,val,0.542163,0.045939,0.069854
2,M05,S4,3407,test,0.49399,-0.012204,-0.010316
2,M05,S4,7777,train,0.506946,0.006374,0.011986
2,M05,S4,7777,val,0.48759,-0.033455,-0.02056
2,M05,S4,7777,test,0.510817,0.020233,0.018569
2,M05,S5,13,train,0.522843,0.034044,0.039418
2,M05,S5,13,val,0.508387,0.016151,0.013895
2,M05,S5,13,test,0.507706,0.016677,0.013229
2,M05,S5,42,train,0.522843,0.028732,0.039418
2,M05,S5,42,val,0.518786,0.016843,0.031123
2,M05,S5,42,test,0.472851,-0.040502,-0.046605
2,M05,S5,2026,train,0.527227,0.052504,0.046984
2,M05,S5,2026,val,0.546034,0.064921,0.076267
2,M05,S5,2026,test,0.463518,-0.05769,-0.062625
2,M05,S5,3407,train,0.511229,0.003951,0.019377
2,M05,S5,3407,val,0.536167,0.0444,0.05992
2,M05,S5,3407,test,0.493849,-0.011939,-0.010559
2,M05,S5,7777,train,0.509674,0.010506,0.016694
2,M05,S5,7777,val,0.488805,-0.028228,-0.018548
2,M05,S5,7777,test,0.507919,0.016151,0.013593
3,M04,S1,13,train,0.512869,0.016664,0.022274
3,M04,S1,13,val,0.482329,-0.025792,-0.030497
3,M04,S1,13,test,0.53113,0.064879,0.053606
3,M04,S1,42,train,0.481376,-0.026965,-0.032234
3,M04,S1,42,val,0.477859,-0.022807,-0.038212
3,M04,S1,42,test,0.46893,-0.068449,-0.053503
3,M04,S1,2026,train,0.515378,0.02722,0.026615
3,M04,S1,2026,val,0.510519,-0.002635,0.018154
3,M04,S1,2026,test,0.470785,-0.021322,-0.050307
3,M04,S1,3407,train,0.526729,0.060797,0.046262
3,M04,S1,3407,val,0.512307,0.025801,0.02124
3,M04,S1,3407,test,0.425467,-0.122705,-0.128345
3,M04,S1,7777,train,0.508286,0.017024,0.014342
3,M04,S1,7777,val,0.481972,-0.027085,-0.031115
3,M04,S1,7777,test,0.574234,0.148253,0.12783
3,M04,S2,13,train,0.511203,0.013317,0.01939
3,M04,S2,13,val,0.482091,-0.027372,-0.030909
3,M04,S2,13,test,0.533405,0.067451,0.057523
3,M04,S2,42,train,0.479881,-0.028013,-0.034821
3,M04,S2,42,val,0.477144,-0.024463,-0.039446
3,M04,S2,42,test,0.467852,-0.063349,-0.055359
3,M04,S2,2026,train,0.513468,0.023864,0.023311
3,M04,S2,2026,val,0.508135,-0.00422,0.01404
3,M04,S2,2026,test,0.469409,-0.017927,-0.052678
3,M04,S2,3407,train,0.523944,0.055723,0.041442
3,M04,S2,3407,val,0.507897,0.023901,0.013629
3,M04,S2,3407,test,0.431753,-0.118223,-0.117521
3,M04,S2,7777,train,0.507266,0.013673,0.012576
3,M04,S2,7777,val,0.483104,-0.028753,-0.02916
3,M04,S2,7777,test,0.576449,0.148681,0.131644
3,M04,S3,13,train,0.50905,0.00999,0.015664
3,M04,S3,13,val,0.48227,-0.028784,-0.0306
3,M04,S3,13,test,0.534363,0.069114,0.059173
