dataset_index,mechanism,strength,seed,model,best_epoch_strict,best_epoch_full,epoch_diff
4,M04,S5,2026,catboost,,,
4,M04,S5,2026,lightgbm,,,
4,M04,S5,2026,lr,,,
4,M04,S5,2026,rf,,,
4,M04,S5,2026,tabm,6.0,2.0,-4.0
12,M04,S2,2026,catboost,,,
12,M04,S2,2026,lightgbm,,,
12,M04,S2,2026,lr,,,
12,M04,S2,2026,rf,,,
12,M04,S2,2026,tabm,12.0,13.0,1.0
16,M04,S5,2026,catboost,,,
16,M04,S5,2026,lightgbm,,,
16,M04,S5,2026,lr,,,
16,M04,S5,2026,rf,,,
16,M04,S5,2026,tabm,13.0,15.0,2.0
19,M05,S2,42,catboost,,,
19,M05,S2,42,lightgbm,,,
19,M05,S2,42,lr,,,
19,M05,S2,42,rf,,,
19,M05,S2,42,tabm,7.0,7.0,0.0
2,M04,S3,42,catboost,,,
2,M04,S3,42,lightgbm,,,
2,M04,S3,42,lr,,,
2,M04,S3,42,rf,,,
2,M04,S3,42,tabm,4.0,4.0,0.0
16,M04,S5,7777,catboost,,,
16,M04,S5,7777,lightgbm,,,
16,M04,S5,7777,lr,,,
16,M04,S5,7777,rf,,,
16,M04,S5,7777,tabm,11.0,9.0,-2.0
13,M04,S2,42,catboost,,,
13,M04,S2,42,lightgbm,,,
13,M04,S2,42,lr,,,
13,M04,S2,42,rf,,,
13,M04,S2,42,tabm,3.0,3.0,0.0
6,M05,S2,2026,catboost,,,
6,M05,S2,2026,lightgbm,,,
6,M05,S2,2026,lr,,,
6,M05,S2,2026,rf,,,
6,M05,S2,2026,tabm,11.0,10.0,-1.0
7,M05,S3,2026,catboost,,,
7,M05,S3,2026,lightgbm,,,
7,M05,S3,2026,lr,,,
7,M05,S3,2026,rf,,,
7,M05,S3,2026,tabm,5.0,5.0,0.0
10,M05,S1,2026,catboost,,,
10,M05,S1,2026,lightgbm,,,
10,M05,S1,2026,lr,,,
10,M05,S1,2026,rf,,,
10,M05,S1,2026,tabm,7.0,7.0,0.0
18,M04,S1,3407,catboost,,,
18,M04,S1,3407,lightgbm,,,
18,M04,S1,3407,lr,,,
18,M04,S1,3407,rf,,,
18,M04,S1,3407,tabm,5.0,2.0,-3.0
18,M05,S5,3407,catboost,,,
18,M05,S5,3407,lightgbm,,,
18,M05,S5,3407,lr,,,
18,M05,S5,3407,rf,,,
18,M05,S5,3407,tabm,5.0,2.0,-3.0
18,M04,S5,2026,catboost,,,
18,M04,S5,2026,lightgbm,,,
18,M04,S5,2026,lr,,,
18,M04,S5,2026,rf,,,
18,M04,S5,2026,tabm,7.0,7.0,0.0
0,M04,S4,7777,catboost,,,
0,M04,S4,7777,lightgbm,,,
0,M04,S4,7777,lr,,,
0,M04,S4,7777,rf,,,
0,M04,S4,7777,tabm,3.0,3.0,0.0
5,M05,S2,2026,catboost,,,
5,M05,S2,2026,lightgbm,,,
5,M05,S2,2026,lr,,,
5,M05,S2,2026,rf,,,
5,M05,S2,2026,tabm,10.0,10.0,0.0
12,M05,S4,13,catboost,,,
12,M05,S4,13,lightgbm,,,
12,M05,S4,13,lr,,,
12,M05,S4,13,rf,,,
12,M05,S4,13,tabm,9.0,10.0,1.0
18,M04,S1,42,catboost,,,
18,M04,S1,42,lightgbm,,,
18,M04,S1,42,lr,,,
18,M04,S1,42,rf,,,
18,M04,S1,42,tabm,7.0,7.0,0.0
4,M05,S5,2026,catboost,,,
4,M05,S5,2026,lightgbm,,,
4,M05,S5,2026,lr,,,
4,M05,S5,2026,rf,,,
4,M05,S5,2026,tabm,6.0,2.0,-4.0
5,M04,S4,42,catboost,,,
5,M04,S4,42,lightgbm,,,
5,M04,S4,42,lr,,,
5,M04,S4,42,rf,,,
5,M04,S4,42,tabm,6.0,4.0,-2.0
8,M05,S2,42,catboost,,,
8,M05,S2,42,lightgbm,,,
8,M05,S2,42,lr,,,
8,M05,S2,42,rf,,,
8,M05,S2,42,tabm,8.0,5.0,-3.0
2,M05,S4,2026,catboost,,,
2,M05,S4,2026,lightgbm,,,
2,M05,S4,2026,lr,,,
2,M05,S4,2026,rf,,,
2,M05,S4,2026,tabm,4.0,4.0,0.0
0,M05,S2,13,catboost,,,
0,M05,S2,13,lightgbm,,,
0,M05,S2,13,lr,,,
0,M05,S2,13,rf,,,
0,M05,S2,13,tabm,6.0,8.0,2.0
18,M05,S3,2026,catboost,,,
18,M05,S3,2026,lightgbm,,,
18,M05,S3,2026,lr,,,
18,M05,S3,2026,rf,,,
18,M05,S3,2026,tabm,7.0,7.0,0.0
10,M05,S4,7777,catboost,,,
10,M05,S4,7777,lightgbm,,,
10,M05,S4,7777,lr,,,
10,M05,S4,7777,rf,,,
10,M05,S4,7777,tabm,3.0,3.0,0.0
7,M04,S5,2026,catboost,,,
7,M04,S5,2026,lightgbm,,,
7,M04,S5,2026,lr,,,
7,M04,S5,2026,rf,,,
7,M04,S5,2026,tabm,5.0,5.0,0.0
13,M05,S4,42,catboost,,,
13,M05,S4,42,lightgbm,,,
13,M05,S4,42,lr,,,
13,M05,S4,42,rf,,,
13,M05,S4,42,tabm,3.0,3.0,0.0
19,M05,S2,13,catboost,,,
19,M05,S2,13,lightgbm,,,
19,M05,S2,13,lr,,,
19,M05,S2,13,rf,,,
19,M05,S2,13,tabm,7.0,9.0,2.0
7,M05,S2,7777,catboost,,,
7,M05,S2,7777,lightgbm,,,
7,M05,S2,7777,lr,,,
7,M05,S2,7777,rf,,,
7,M05,S2,7777,tabm,7.0,7.0,0.0
4,M05,S2,7777,catboost,,,
4,M05,S2,7777,lightgbm,,,
4,M05,S2,7777,lr,,,
4,M05,S2,7777,rf,,,
4,M05,S2,7777,tabm,2.0,2.0,0.0
3,M05,S2,42,catboost,,,
3,M05,S2,42,lightgbm,,,
3,M05,S2,42,lr,,,
3,M05,S2,42,rf,,,
3,M05,S2,42,tabm,13.0,7.0,-6.0
17,M04,S4,2026,catboost,,,
17,M04,S4,2026,lightgbm,,,
17,M04,S4,2026,lr,,,
17,M04,S4,2026,rf,,,
17,M04,S4,2026,tabm,9.0,9.0,0.0
13,M05,S3,7777,catboost,,,
13,M05,S3,7777,lightgbm,,,
13,M05,S3,7777,lr,,,
13,M05,S3,7777,rf,,,
13,M05,S3,7777,tabm,2.0,2.0,0.0
2,M05,S4,42,catboost,,,
2,M05,S4,42,lightgbm,,,
2,M05,S4,42,lr,,,
2,M05,S4,42,rf,,,
2,M05,S4,42,tabm,4.0,4.0,0.0
16,M04,S3,42,catboost,,,
16,M04,S3,42,lightgbm,,,
16,M04,S3,42,lr,,,
16,M04,S3,42,rf,,,
16,M04,S3,42,tabm,7.0,7.0,0.0
8,M04,S4,13,catboost,,,
8,M04,S4,13,lightgbm,,,
8,M04,S4,13,lr,,,
8,M04,S4,13,rf,,,
8,M04,S4,13,tabm,8.0,8.0,0.0
13,M04,S2,13,catboost,,,
13,M04,S2,13,lightgbm,,,
13,M04,S2,13,lr,,,
13,M04,S2,13,rf,,,
13,M04,S2,13,tabm,3.0,6.0,3.0
6,M04,S2,2026,catboost,,,
6,M04,S2,2026,lightgbm,,,
6,M04,S2,2026,lr,,,
6,M04,S2,2026,rf,,,
6,M04,S2,2026,tabm,11.0,11.0,0.0
11,M04,S3,3407,catboost,,,
11,M04,S3,3407,lightgbm,,,
11,M04,S3,3407,lr,,,
11,M04,S3,3407,rf,,,
11,M04,S3,3407,tabm,20.0,23.0,3.0
18,M04,S2,2026,catboost,,,
18,M04,S2,2026,lightgbm,,,
18,M04,S2,2026,lr,,,
18,M04,S2,2026,rf,,,
18,M04,S2,2026,tabm,7.0,6.0,-1.0
18,M05,S2,2026,catboost,,,
18,M05,S2,2026,lightgbm,,,
18,M05,S2,2026,lr,,,
18,M05,S2,2026,rf,,,
18,M05,S2,2026,tabm,7.0,3.0,-4.0
5,M04,S4,3407,catboost,,,
5,M04,S4,3407,lightgbm,,,
5,M04,S4,3407,lr,,,
5,M04,S4,3407,rf,,,
5,M04,S4,3407,tabm,7.0,7.0,0.0
7,M04,S1,7777,catboost,,,
7,M04,S1,7777,lightgbm,,,
7,M04,S1,7777,lr,,,
7,M04,S1,7777,rf,,,
7,M04,S1,7777,tabm,7.0,7.0,0.0
1,M04,S2,2026,catboost,,,
1,M04,S2,2026,lightgbm,,,
1,M04,S2,2026,lr,,,
1,M04,S2,2026,rf,,,
1,M04,S2,2026,tabm,6.0,7.0,1.0
7,M05,S4,13,catboost,,,
7,M05,S4,13,lightgbm,,,
7,M05,S4,13,lr,,,
7,M05,S4,13,rf,,,
7,M05,S4,13,tabm,4.0,4.0,0.0
5,M04,S5,13,catboost,,,
5,M04,S5,13,lightgbm,,,
5,M04,S5,13,lr,,,
5,M04,S5,13,rf,,,
5,M04,S5,13,tabm,11.0,15.0,4.0
3,M05,S4,13,catboost,,,
3,M05,S4,13,lightgbm,,,
3,M05,S4,13,lr,,,
3,M05,S4,13,rf,,,
3,M05,S4,13,tabm,6.0,6.0,0.0
13,M05,S1,13,catboost,,,
13,M05,S1,13,lightgbm,,,
13,M05,S1,13,lr,,,
13,M05,S1,13,rf,,,
13,M05,S1,13,tabm,3.0,3.0,0.0
12,M04,S3,42,catboost,,,
12,M04,S3,42,lightgbm,,,
12,M04,S3,42,lr,,,
12,M04,S3,42,rf,,,
12,M04,S3,42,tabm,15.0,13.0,-2.0
10,M04,S1,13,catboost,,,
10,M04,S1,13,lightgbm,,,
10,M04,S1,13,lr,,,
10,M04,S1,13,rf,,,
10,M04,S1,13,tabm,10.0,10.0,0.0
13,M05,S2,42,catboost,,,
13,M05,S2,42,lightgbm,,,
13,M05,S2,42,lr,,,
13,M05,S2,42,rf,,,
13,M05,S2,42,tabm,3.0,3.0,0.0
7,M04,S3,42,catboost,,,
7,M04,S3,42,lightgbm,,,
7,M04,S3,42,lr,,,
7,M04,S3,42,rf,,,
7,M04,S3,42,tabm,5.0,11.0,6.0
1,M04,S2,13,catboost,,,
1,M04,S2,13,lightgbm,,,
1,M04,S2,13,lr,,,
1,M04,S2,13,rf,,,
1,M04,S2,13,tabm,6.0,6.0,0.0
12,M04,S5,7777,catboost,,,
12,M04,S5,7777,lightgbm,,,
12,M04,S5,7777,lr,,,
12,M04,S5,7777,rf,,,
12,M04,S5,7777,tabm,13.0,13.0,0.0
4,M04,S3,7777,catboost,,,
4,M04,S3,7777,lightgbm,,,
4,M04,S3,7777,lr,,,
4,M04,S3,7777,rf,,,
4,M04,S3,7777,tabm,2.0,2.0,0.0
15,M05,S4,3407,catboost,,,
15,M05,S4,3407,lightgbm,,,
15,M05,S4,3407,lr,,,
15,M05,S4,3407,rf,,,
15,M05,S4,3407,tabm,5.0,5.0,0.0
8,M05,S3,2026,catboost,,,
8,M05,S3,2026,lightgbm,,,
8,M05,S3,2026,lr,,,
8,M05,S3,2026,rf,,,
8,M05,S3,2026,tabm,4.0,5.0,1.0
8,M04,S3,7777,catboost,,,
8,M04,S3,7777,lightgbm,,,
8,M04,S3,7777,lr,,,
8,M04,S3,7777,rf,,,
8,M04,S3,7777,tabm,6.0,6.0,0.0
9,M05,S5,7777,catboost,,,
9,M05,S5,7777,lightgbm,,,
9,M05,S5,7777,lr,,,
9,M05,S5,7777,rf,,,
9,M05,S5,7777,tabm,1.0,1.0,0.0
6,M04,S2,3407,catboost,,,
6,M04,S2,3407,lightgbm,,,
6,M04,S2,3407,lr,,,
6,M04,S2,3407,rf,,,
6,M04,S2,3407,tabm,10.0,10.0,0.0
6,M05,S4,2026,catboost,,,
6,M05,S4,2026,lightgbm,,,
6,M05,S4,2026,lr,,,
6,M05,S4,2026,rf,,,
6,M05,S4,2026,tabm,11.0,8.0,-3.0
17,M04,S3,7777,catboost,,,
17,M04,S3,7777,lightgbm,,,
17,M04,S3,7777,lr,,,
17,M04,S3,7777,rf,,,
17,M04,S3,7777,tabm,11.0,3.0,-8.0
14,M05,S3,2026,catboost,,,
14,M05,S3,2026,lightgbm,,,
14,M05,S3,2026,lr,,,
14,M05,S3,2026,rf,,,
14,M05,S3,2026,tabm,3.0,3.0,0.0
0,M05,S2,7777,catboost,,,
0,M05,S2,7777,lightgbm,,,
0,M05,S2,7777,lr,,,
0,M05,S2,7777,rf,,,
0,M05,S2,7777,tabm,3.0,3.0,0.0
7,M04,S3,3407,catboost,,,
7,M04,S3,3407,lightgbm,,,
7,M04,S3,3407,lr,,,
7,M04,S3,3407,rf,,,
7,M04,S3,3407,tabm,7.0,7.0,0.0
0,M04,S3,42,catboost,,,
0,M04,S3,42,lightgbm,,,
0,M04,S3,42,lr,,,
0,M04,S3,42,rf,,,
0,M04,S3,42,tabm,4.0,4.0,0.0
9,M04,S2,7777,catboost,,,
9,M04,S2,7777,lightgbm,,,
9,M04,S2,7777,lr,,,
9,M04,S2,7777,rf,,,
9,M04,S2,7777,tabm,1.0,1.0,0.0
2,M05,S1,2026,catboost,,,
2,M05,S1,2026,lightgbm,,,
2,M05,S1,2026,lr,,,
2,M05,S1,2026,rf,,,
2,M05,S1,2026,tabm,4.0,4.0,0.0
0,M04,S3,7777,catboost,,,
0,M04,S3,7777,lightgbm,,,
0,M04,S3,7777,lr,,,
0,M04,S3,7777,rf,,,
0,M04,S3,7777,tabm,3.0,3.0,0.0
8,M04,S2,2026,catboost,,,
8,M04,S2,2026,lightgbm,,,
8,M04,S2,2026,lr,,,
8,M04,S2,2026,rf,,,
8,M04,S2,2026,tabm,4.0,5.0,1.0
9,M04,S5,13,catboost,,,
9,M04,S5,13,lightgbm,,,
9,M04,S5,13,lr,,,
9,M04,S5,13,rf,,,
9,M04,S5,13,tabm,1.0,1.0,0.0
15,M05,S3,2026,catboost,,,
15,M05,S3,2026,lightgbm,,,
15,M05,S3,2026,lr,,,
15,M05,S3,2026,rf,,,
15,M05,S3,2026,tabm,19.0,5.0,-14.0
7,M04,S2,2026,catboost,,,
7,M04,S2,2026,lightgbm,,,
7,M04,S2,2026,lr,,,
7,M04,S2,2026,rf,,,
7,M04,S2,2026,tabm,5.0,5.0,0.0
18,M05,S5,7777,catboost,,,
18,M05,S5,7777,lightgbm,,,
18,M05,S5,7777,lr,,,
18,M05,S5,7777,rf,,,
18,M05,S5,7777,tabm,6.0,6.0,0.0
0,M05,S1,42,catboost,,,
0,M05,S1,42,lightgbm,,,
0,M05,S1,42,lr,,,
0,M05,S1,42,rf,,,
0,M05,S1,42,tabm,4.0,4.0,0.0
12,M05,S3,7777,catboost,,,
12,M05,S3,7777,lightgbm,,,
12,M05,S3,7777,lr,,,
12,M05,S3,7777,rf,,,
12,M05,S3,7777,tabm,13.0,13.0,0.0
2,M05,S2,3407,catboost,,,
2,M05,S2,3407,lightgbm,,,
2,M05,S2,3407,lr,,,
2,M05,S2,3407,rf,,,
2,M05,S2,3407,tabm,2.0,2.0,0.0
8,M05,S3,13,catboost,,,
8,M05,S3,13,lightgbm,,,
8,M05,S3,13,lr,,,
8,M05,S3,13,rf,,,
8,M05,S3,13,tabm,8.0,8.0,0.0
9,M05,S1,7777,catboost,,,
9,M05,S1,7777,lightgbm,,,
9,M05,S1,7777,lr,,,
9,M05,S1,7777,rf,,,
9,M05,S1,7777,tabm,1.0,1.0,0.0
19,M04,S4,13,catboost,,,
19,M04,S4,13,lightgbm,,,
19,M04,S4,13,lr,,,
19,M04,S4,13,rf,,,
19,M04,S4,13,tabm,7.0,9.0,2.0
12,M04,S4,2026,catboost,,,
12,M04,S4,2026,lightgbm,,,
12,M04,S4,2026,lr,,,
12,M04,S4,2026,rf,,,
12,M04,S4,2026,tabm,12.0,13.0,1.0
10,M04,S4,2026,catboost,,,
10,M04,S4,2026,lightgbm,,,
10,M04,S4,2026,lr,,,
10,M04,S4,2026,rf,,,
10,M04,S4,2026,tabm,7.0,7.0,0.0
17,M05,S3,2026,catboost,,,
17,M05,S3,2026,lightgbm,,,
17,M05,S3,2026,lr,,,
17,M05,S3,2026,rf,,,
17,M05,S3,2026,tabm,9.0,9.0,0.0
8,M05,S3,7777,catboost,,,
8,M05,S3,7777,lightgbm,,,
8,M05,S3,7777,lr,,,
8,M05,S3,7777,rf,,,
8,M05,S3,7777,tabm,6.0,6.0,0.0
2,M05,S1,42,catboost,,,
2,M05,S1,42,lightgbm,,,
2,M05,S1,42,lr,,,
2,M05,S1,42,rf,,,
2,M05,S1,42,tabm,4.0,4.0,0.0
15,M04,S5,3407,catboost,,,
15,M04,S5,3407,lightgbm,,,
15,M04,S5,3407,lr,,,
15,M04,S5,3407,rf,,,
15,M04,S5,3407,tabm,5.0,5.0,0.0
10,M05,S4,42,catboost,,,
10,M05,S4,42,lightgbm,,,
10,M05,S4,42,lr,,,
10,M05,S4,42,rf,,,
10,M05,S4,42,tabm,5.0,5.0,0.0
0,M05,S3,13,catboost,,,
0,M05,S3,13,lightgbm,,,
0,M05,S3,13,lr,,,
0,M05,S3,13,rf,,,
0,M05,S3,13,tabm,6.0,8.0,2.0
0,M05,S5,42,catboost,,,
0,M05,S5,42,lightgbm,,,
0,M05,S5,42,lr,,,
0,M05,S5,42,rf,,,
0,M05,S5,42,tabm,4.0,9.0,5.0
5,M04,S2,7777,catboost,,,
5,M04,S2,7777,lightgbm,,,
5,M04,S2,7777,lr,,,
5,M04,S2,7777,rf,,,
5,M04,S2,7777,tabm,11.0,11.0,0.0
19,M04,S1,7777,catboost,,,
19,M04,S1,7777,lightgbm,,,
19,M04,S1,7777,lr,,,
19,M04,S1,7777,rf,,,
19,M04,S1,7777,tabm,8.0,8.0,0.0
10,M04,S2,2026,catboost,,,
10,M04,S2,2026,lightgbm,,,
10,M04,S2,2026,lr,,,
10,M04,S2,2026,rf,,,
10,M04,S2,2026,tabm,7.0,7.0,0.0
9,M05,S3,42,catboost,,,
9,M05,S3,42,lightgbm,,,
9,M05,S3,42,lr,,,
9,M05,S3,42,rf,,,
9,M05,S3,42,tabm,2.0,3.0,1.0
13,M05,S3,42,catboost,,,
13,M05,S3,42,lightgbm,,,
13,M05,S3,42,lr,,,
13,M05,S3,42,rf,,,
13,M05,S3,42,tabm,3.0,6.0,3.0
11,M04,S5,13,catboost,,,
11,M04,S5,13,lightgbm,,,
11,M04,S5,13,lr,,,
11,M04,S5,13,rf,,,
11,M04,S5,13,tabm,29.0,29.0,0.0
15,M05,S1,2026,catboost,,,
15,M05,S1,2026,lightgbm,,,
15,M05,S1,2026,lr,,,
15,M05,S1,2026,rf,,,
15,M05,S1,2026,tabm,19.0,19.0,0.0
9,M05,S2,3407,catboost,,,
9,M05,S2,3407,lightgbm,,,
9,M05,S2,3407,lr,,,
9,M05,S2,3407,rf,,,
9,M05,S2,3407,tabm,1.0,1.0,0.0
11,M05,S1,7777,catboost,,,
11,M05,S1,7777,lightgbm,,,
11,M05,S1,7777,lr,,,
11,M05,S1,7777,rf,,,
11,M05,S1,7777,tabm,20.0,19.0,-1.0
18,M04,S1,7777,catboost,,,
18,M04,S1,7777,lightgbm,,,
18,M04,S1,7777,lr,,,
18,M04,S1,7777,rf,,,
18,M04,S1,7777,tabm,6.0,6.0,0.0
16,M04,S4,7777,catboost,,,
16,M04,S4,7777,lightgbm,,,
16,M04,S4,7777,lr,,,
16,M04,S4,7777,rf,,,
16,M04,S4,7777,tabm,11.0,6.0,-5.0
8,M05,S1,7777,catboost,,,
8,M05,S1,7777,lightgbm,,,
8,M05,S1,7777,lr,,,
8,M05,S1,7777,rf,,,
8,M05,S1,7777,tabm,6.0,6.0,0.0
15,M05,S3,42,catboost,,,
15,M05,S3,42,lightgbm,,,
15,M05,S3,42,lr,,,
15,M05,S3,42,rf,,,
15,M05,S3,42,tabm,7.0,5.0,-2.0
5,M05,S5,7777,catboost,,,
5,M05,S5,7777,lightgbm,,,
5,M05,S5,7777,lr,,,
5,M05,S5,7777,rf,,,
5,M05,S5,7777,tabm,11.0,11.0,0.0
9,M04,S5,2026,catboost,,,
9,M04,S5,2026,lightgbm,,,
9,M04,S5,2026,lr,,,
9,M04,S5,2026,rf,,,
9,M04,S5,2026,tabm,1.0,1.0,0.0
4,M04,S5,13,catboost,,,
4,M04,S5,13,lightgbm,,,
4,M04,S5,13,lr,,,
4,M04,S5,13,rf,,,
4,M04,S5,13,tabm,3.0,3.0,0.0
0,M05,S2,3407,catboost,,,
0,M05,S2,3407,lightgbm,,,
0,M05,S2,3407,lr,,,
0,M05,S2,3407,rf,,,
0,M05,S2,3407,tabm,4.0,4.0,0.0
