dataset_index,mechanism,strength,seed,PSI
4,M05,S1,7777,0.025403
4,M05,S2,13,0.049203
4,M05,S2,42,0.036757
4,M05,S2,2026,0.052963
4,M05,S2,3407,0.07852
4,M05,S2,7777,0.033873
4,M05,S3,13,0.054974
4,M05,S3,42,0.040746
4,M05,S3,2026,0.066464
4,M05,S3,3407,0.069724
4,M05,S3,7777,0.029985
4,M05,S4,13,0.114484
4,M05,S4,42,0.061878
4,M05,S4,2026,0.079419
4,M05,S4,3407,0.030038
4,M05,S4,7777,0.055164
4,M05,S5,13,0.10187
4,M05,S5,42,0.094266
4,M05,S5,2026,0.08372
4,M05,S5,3407,0.021957
4,M05,S5,7777,0.051797
5,M04,S1,13,0.052368
5,M04,S1,42,0.01826
5,M04,S1,2026,0.05911
5,M04,S1,3407,0.028999
5,M04,S1,7777,0.011661
5,M04,S2,13,0.097423
5,M04,S2,42,0.101571
5,M04,S2,2026,0.05125
5,M04,S2,3407,0.068312
5,M04,S2,7777,0.100207
5,M04,S3,13,0.058058
5,M04,S3,42,0.159189
5,M04,S3,2026,0.091307
5,M04,S3,3407,0.096568
5,M04,S3,7777,0.126746
5,M04,S4,13,0.109305
5,M04,S4,42,0.156849
5,M04,S4,2026,0.143935
5,M04,S4,3407,0.148314
5,M04,S4,7777,0.13379
5,M04,S5,13,0.113635
5,M04,S5,42,0.199317
5,M04,S5,2026,0.169842
5,M04,S5,3407,0.1653
5,M04,S5,7777,0.212418
5,M05,S1,13,0.062832
5,M05,S1,42,0.068149
5,M05,S1,2026,0.141628
5,M05,S1,3407,0.114599
5,M05,S1,7777,0.081794
5,M05,S2,13,0.177958
5,M05,S2,42,0.232051
5,M05,S2,2026,0.25231
5,M05,S2,3407,0.221877
5,M05,S2,7777,0.234361
5,M05,S3,13,0.448533
5,M05,S3,42,0.505771
5,M05,S3,2026,0.443867
5,M05,S3,3407,0.465622
5,M05,S3,7777,0.433262
5,M05,S4,13,0.511614
5,M05,S4,42,0.666748
5,M05,S4,2026,0.619381
5,M05,S4,3407,1.658356
5,M05,S4,7777,0.69539
5,M05,S5,13,0.781932
5,M05,S5,42,0.823435
5,M05,S5,2026,0.824072
5,M05,S5,3407,1.727398
5,M05,S5,7777,0.880463
6,M04,S1,13,0.070564
6,M04,S1,42,0.045252
6,M04,S1,2026,0.075727
6,M04,S1,3407,0.053118
6,M04,S1,7777,0.052458
6,M04,S2,13,0.111181
6,M04,S2,42,0.093901
6,M04,S2,2026,0.157317
6,M04,S2,3407,0.129085
6,M04,S2,7777,0.14823
6,M04,S3,13,0.261403
6,M04,S3,42,0.210014
6,M04,S3,2026,0.239859
6,M04,S3,3407,0.244656
6,M04,S3,7777,0.295699
6,M04,S4,13,0.413089
6,M04,S4,42,0.39473
6,M04,S4,2026,0.369504
6,M04,S4,3407,0.345021
6,M04,S4,7777,0.404657
6,M04,S5,13,1.411239
6,M04,S5,42,0.629309
6,M04,S5,2026,0.549036
6,M04,S5,3407,0.648166
6,M04,S5,7777,0.691869
6,M05,S1,13,0.068866
6,M05,S1,42,0.027331
6,M05,S1,2026,0.05755
6,M05,S1,3407,0.023502
6,M05,S1,7777,0.055697
6,M05,S2,13,0.031639
6,M05,S2,42,0.020838
6,M05,S2,2026,0.131821
6,M05,S2,3407,0.027504
6,M05,S2,7777,0.089441
6,M05,S3,13,0.083925
6,M05,S3,42,0.045049
6,M05,S3,2026,0.102075
6,M05,S3,3407,0.099369
6,M05,S3,7777,0.056172
6,M05,S4,13,0.0994
6,M05,S4,42,0.104021
6,M05,S4,2026,0.194214
6,M05,S4,3407,0.111773
6,M05,S4,7777,0.142531
6,M05,S5,13,0.132108
6,M05,S5,42,0.151012
6,M05,S5,2026,0.199257
6,M05,S5,3407,0.157921
6,M05,S5,7777,0.161738
7,M04,S1,13,0.032671
7,M04,S1,42,0.039742
7,M04,S1,2026,0.067458
7,M04,S1,3407,0.012894
7,M04,S1,7777,0.060603
7,M04,S2,13,0.056163
7,M04,S2,42,0.025483
7,M04,S2,2026,0.098219
7,M04,S2,3407,0.049174
7,M04,S2,7777,0.072515
7,M04,S3,13,0.054473
7,M04,S3,42,0.102717
7,M04,S3,2026,0.123251
7,M04,S3,3407,0.068129
7,M04,S3,7777,0.068341
7,M04,S4,13,0.110364
7,M04,S4,42,0.128786
7,M04,S4,2026,0.15979
7,M04,S4,3407,0.083441
7,M04,S4,7777,0.135619
7,M04,S5,13,0.194611
7,M04,S5,42,0.133401
7,M04,S5,2026,0.170025
7,M04,S5,3407,0.12134
7,M04,S5,7777,0.168998
7,M05,S1,13,0.015977
7,M05,S1,42,0.026136
7,M05,S1,2026,0.055327
7,M05,S1,3407,0.02187
7,M05,S1,7777,0.055247
7,M05,S2,13,0.045914
7,M05,S2,42,0.036089
7,M05,S2,2026,0.060569
7,M05,S2,3407,0.03727
7,M05,S2,7777,0.089666
7,M05,S3,13,0.093398
7,M05,S3,42,0.075392
7,M05,S3,2026,0.079487
7,M05,S3,3407,0.090042
7,M05,S3,7777,0.104416
7,M05,S4,13,0.183722
7,M05,S4,42,0.091473
7,M05,S4,2026,0.110808
7,M05,S4,3407,0.158691
7,M05,S4,7777,0.189885
7,M05,S5,13,0.29088
7,M05,S5,42,0.167881
7,M05,S5,2026,0.130576
7,M05,S5,3407,0.173882
7,M05,S5,7777,0.196734
8,M04,S1,13,0.075638
8,M04,S1,42,0.062171
8,M04,S1,2026,0.102455
8,M04,S1,3407,0.031497
8,M04,S1,7777,0.057443
8,M04,S2,13,0.186847
8,M04,S2,42,0.173213
8,M04,S2,2026,0.222975
8,M04,S2,3407,0.142941
8,M04,S2,7777,0.201187
8,M04,S3,13,0.341721
8,M04,S3,42,0.300649
8,M04,S3,2026,0.385497
8,M04,S3,3407,0.250962
8,M04,S3,7777,0.380378
8,M04,S4,13,0.49426
8,M04,S4,42,0.500666
8,M04,S4,2026,0.618237
8,M04,S4,3407,0.396436
8,M04,S4,7777,0.548512
8,M04,S5,13,0.713925
8,M04,S5,42,0.728847
8,M04,S5,2026,0.776042
8,M04,S5,3407,0.597098
8,M04,S5,7777,0.76063
8,M05,S1,13,0.141987
8,M05,S1,42,0.176433
8,M05,S1,2026,0.201305
8,M05,S1,3407,0.108142
8,M05,S1,7777,0.13969
8,M05,S2,13,0.455031
8,M05,S2,42,0.563414
8,M05,S2,2026,0.631509
8,M05,S2,3407,0.380019
8,M05,S2,7777,0.505151
8,M05,S3,13,0.965488
8,M05,S3,42,1.12156
8,M05,S3,2026,1.032872
8,M05,S3,3407,0.849918
8,M05,S3,7777,1.004631
8,M05,S4,13,2.247767
8,M05,S4,42,2.425614
8,M05,S4,2026,1.52448
8,M05,S4,3407,1.332603
8,M05,S4,7777,2.290418
8,M05,S5,13,3.491404
8,M05,S5,42,3.663275
8,M05,S5,2026,2.724191
8,M05,S5,3407,2.567423
8,M05,S5,7777,2.668937
9,M04,S1,13,0.102557
9,M04,S1,42,0.064733
9,M04,S1,2026,0.10491
9,M04,S1,3407,0.040645
9,M04,S1,7777,0.078603
9,M04,S2,13,0.227207
9,M04,S2,42,0.26053
9,M04,S2,2026,0.284152
9,M04,S2,3407,0.146525
9,M04,S2,7777,0.232567
9,M04,S3,13,0.477437
9,M04,S3,42,0.51891
9,M04,S3,2026,0.508723
9,M04,S3,3407,0.351317
9,M04,S3,7777,0.473001
9,M04,S4,13,0.808489
9,M04,S4,42,0.833789
9,M04,S4,2026,0.795485
9,M04,S4,3407,0.59518
9,M04,S4,7777,0.815745
9,M04,S5,13,1.884127
9,M04,S5,42,1.227988
9,M04,S5,2026,1.083107
9,M04,S5,3407,0.865191
9,M04,S5,7777,1.094485
9,M05,S1,13,0.167547
9,M05,S1,42,0.117579
9,M05,S1,2026,0.206768
9,M05,S1,3407,0.078796
9,M05,S1,7777,0.122751
9,M05,S2,13,0.42121
9,M05,S2,42,0.415706
9,M05,S2,2026,0.467553
9,M05,S2,3407,0.29498
9,M05,S2,7777,0.444127
9,M05,S3,13,0.711982
9,M05,S3,42,0.655697
9,M05,S3,2026,0.753343
9,M05,S3,3407,0.564385
9,M05,S3,7777,0.69979
9,M05,S4,13,0.953934
9,M05,S4,42,0.888753
9,M05,S4,2026,1.009523
9,M05,S4,3407,0.758356
9,M05,S4,7777,0.910341
9,M05,S5,13,1.853797
9,M05,S5,42,1.101868
9,M05,S5,2026,1.151179
9,M05,S5,3407,1.057694
9,M05,S5,7777,1.962177
10,M04,S1,13,0.124893
10,M04,S1,42,0.058835
10,M04,S1,2026,0.07025
10,M04,S1,3407,0.083384
10,M04,S1,7777,0.041781
10,M04,S2,13,0.21057
10,M04,S2,42,0.097203
10,M04,S2,2026,0.114331
10,M04,S2,3407,0.153686
10,M04,S2,7777,0.069831
10,M04,S3,13,0.322744
10,M04,S3,42,0.213981
10,M04,S3,2026,0.219286
10,M04,S3,3407,0.276258
10,M04,S3,7777,0.161567
10,M04,S4,13,0.481632
10,M04,S4,42,0.271457
10,M04,S4,2026,0.330274
10,M04,S4,3407,0.323512
10,M04,S4,7777,0.355431
10,M04,S5,13,0.572776
10,M04,S5,42,0.367401
10,M04,S5,2026,0.440464
10,M04,S5,3407,0.449624
10,M04,S5,7777,0.460369
10,M05,S1,13,0.109841
10,M05,S1,42,0.058804
10,M05,S1,2026,0.051293
10,M05,S1,3407,0.065147
10,M05,S1,7777,0.027135
10,M05,S2,13,0.206777
10,M05,S2,42,0.127803
10,M05,S2,2026,0.150302
10,M05,S2,3407,0.134986
10,M05,S2,7777,0.099669
10,M05,S3,13,0.330619
10,M05,S3,42,0.185854
10,M05,S3,2026,0.266275
10,M05,S3,3407,0.232728
10,M05,S3,7777,0.16066
10,M05,S4,13,0.413994
10,M05,S4,42,0.259293
10,M05,S4,2026,0.33452
10,M05,S4,3407,0.308507
10,M05,S4,7777,0.259372
10,M05,S5,13,0.502326
10,M05,S5,42,0.322239
10,M05,S5,2026,0.403335
10,M05,S5,3407,0.413179
10,M05,S5,7777,0.346932
11,M04,S1,13,0.250369
11,M04,S1,42,0.12869
11,M04,S1,2026,0.244741
11,M04,S1,3407,0.195886
11,M04,S1,7777,0.123197
11,M04,S2,13,0.73129
11,M04,S2,42,0.469641
11,M04,S2,2026,0.558086
11,M04,S2,3407,0.554624
11,M04,S2,7777,0.468306
11,M04,S3,13,2.191501
11,M04,S3,42,0.914234
11,M04,S3,2026,1.140625
11,M04,S3,3407,1.060485
11,M04,S3,7777,0.941676
11,M04,S4,13,2.911064
11,M04,S4,42,1.341391
11,M04,S4,2026,2.397287
11,M04,S4,3407,1.649308
11,M04,S4,7777,1.551304
11,M04,S5,13,4.160648
11,M04,S5,42,1.931962
11,M04,S5,2026,3.678925
11,M04,S5,3407,2.997843
11,M04,S5,7777,2.785569
11,M05,S1,13,0.222834
11,M05,S1,42,0.146694
11,M05,S1,2026,0.16649
11,M05,S1,3407,0.142632
11,M05,S1,7777,0.12563
11,M05,S2,13,0.455216
11,M05,S2,42,0.342605
11,M05,S2,2026,0.340789
11,M05,S2,3407,0.359338
11,M05,S2,7777,0.320667
11,M05,S3,13,0.688262
11,M05,S3,42,0.424499
11,M05,S3,2026,0.512589
11,M05,S3,3407,0.489362
11,M05,S3,7777,0.442195
11,M05,S4,13,0.861405
11,M05,S4,42,0.513068
11,M05,S4,2026,0.640083
11,M05,S4,3407,0.636928
11,M05,S4,7777,0.571079
11,M05,S5,13,0.859028
11,M05,S5,42,0.56276
11,M05,S5,2026,0.655098
11,M05,S5,3407,0.686234
11,M05,S5,7777,0.64261
12,M04,S1,13,0.12389
12,M04,S1,42,0.052188
12,M04,S1,2026,0.080132
12,M04,S1,3407,0.048539
12,M04,S1,7777,0.028157
12,M04,S2,13,0.238818
12,M04,S2,42,0.084969
12,M04,S2,2026,0.113058
12,M04,S2,3407,0.135171
12,M04,S2,7777,0.065672
12,M04,S3,13,0.368915
12,M04,S3,42,0.176208
12,M04,S3,2026,0.207258
12,M04,S3,3407,0.224031
12,M04,S3,7777,0.156316
12,M04,S4,13,0.602732
12,M04,S4,42,0.258966
12,M04,S4,2026,0.378404
12,M04,S4,3407,0.388988
12,M04,S4,7777,0.343437
12,M04,S5,13,1.589962
12,M04,S5,42,0.362951
12,M04,S5,2026,0.530626
12,M04,S5,3407,0.52745
12,M04,S5,7777,0.392827
12,M05,S1,13,0.156293
12,M05,S1,42,0.026096
12,M05,S1,2026,0.028787
12,M05,S1,3407,0.054912
12,M05,S1,7777,0.033054
12,M05,S2,13,0.091038
12,M05,S2,42,0.030292
12,M05,S2,2026,0.050257
12,M05,S2,3407,0.07279
12,M05,S2,7777,0.052364
12,M05,S3,13,0.144557
12,M05,S3,42,0.067905
12,M05,S3,2026,0.083458
12,M05,S3,3407,0.131368
12,M05,S3,7777,0.103864
12,M05,S4,13,0.284024
12,M05,S4,42,0.128372
12,M05,S4,2026,0.149897
12,M05,S4,3407,0.235012
12,M05,S4,7777,0.175692
12,M05,S5,13,0.49828
12,M05,S5,42,0.276307
12,M05,S5,2026,0.311135
12,M05,S5,3407,0.34046
12,M05,S5,7777,0.33259
13,M04,S1,13,0.14951
13,M04,S1,42,0.043233
13,M04,S1,2026,0.096556
13,M04,S1,3407,0.059601
13,M04,S1,7777,0.03306
13,M04,S2,13,0.279364
13,M04,S2,42,0.113282
13,M04,S2,2026,0.17347
13,M04,S2,3407,0.163316
13,M04,S2,7777,0.111556
13,M04,S3,13,0.489904
13,M04,S3,42,0.245757
13,M04,S3,2026,0.290204
13,M04,S3,3407,0.284402
13,M04,S3,7777,0.253793
13,M04,S4,13,0.665323
13,M04,S4,42,0.357713
13,M04,S4,2026,0.423158
13,M04,S4,3407,0.450203
13,M04,S4,7777,0.397357
13,M04,S5,13,0.820438
13,M04,S5,42,0.553844
13,M04,S5,2026,0.619866
13,M04,S5,3407,0.566397
13,M04,S5,7777,0.533107
13,M05,S1,13,0.170463
13,M05,S1,42,0.074043
13,M05,S1,2026,0.12768
13,M05,S1,3407,0.075443
13,M05,S1,7777,0.042484
13,M05,S2,13,0.321054
13,M05,S2,42,0.13426
13,M05,S2,2026,0.159423
13,M05,S2,3407,0.200038
13,M05,S2,7777,0.136002
13,M05,S3,13,0.520914
13,M05,S3,42,0.22683
13,M05,S3,2026,0.334295
13,M05,S3,3407,0.31504
13,M05,S3,7777,0.322328
13,M05,S4,13,1.613678
13,M05,S4,42,0.426128
13,M05,S4,2026,0.572763
13,M05,S4,3407,0.542307
13,M05,S4,7777,0.519746
13,M05,S5,13,1.898303
13,M05,S5,42,0.638623
13,M05,S5,2026,0.804717
13,M05,S5,3407,0.787909
13,M05,S5,7777,0.810729
14,M04,S1,13,0.140923
14,M04,S1,42,0.02682
14,M04,S1,2026,0.036345
14,M04,S1,3407,0.069475
14,M04,S1,7777,0.043601
14,M04,S2,13,0.196617
14,M04,S2,42,0.079946
14,M04,S2,2026,0.097239
14,M04,S2,3407,0.102306
14,M04,S2,7777,0.049531
14,M04,S3,13,0.288188
14,M04,S3,42,0.162159
14,M04,S3,2026,0.197802
14,M04,S3,3407,0.148348
14,M04,S3,7777,0.166051
14,M04,S4,13,0.385402
14,M04,S4,42,0.224246
14,M04,S4,2026,0.231697
14,M04,S4,3407,0.199091
14,M04,S4,7777,0.223295
14,M04,S5,13,0.50083
14,M04,S5,42,0.26573
14,M04,S5,2026,0.347274
14,M04,S5,3407,0.258877
14,M04,S5,7777,0.300351
14,M05,S1,13,0.082449
14,M05,S1,42,0.022793
14,M05,S1,2026,0.035091
14,M05,S1,3407,0.043488
14,M05,S1,7777,0.053836
14,M05,S2,13,0.094407
14,M05,S2,42,0.053473
14,M05,S2,2026,0.03288
14,M05,S2,3407,0.014598
14,M05,S2,7777,0.01201
14,M05,S3,13,0.109229
14,M05,S3,42,0.05342
14,M05,S3,2026,0.038115
14,M05,S3,3407,0.026842
14,M05,S3,7777,0.032139
14,M05,S4,13,0.130422
14,M05,S4,42,0.092567
14,M05,S4,2026,0.074478
14,M05,S4,3407,0.04028
14,M05,S4,7777,0.024094
14,M05,S5,13,0.186049
14,M05,S5,42,0.112587
14,M05,S5,2026,0.140847
14,M05,S5,3407,0.114079
14,M05,S5,7777,0.067603
15,M04,S1,13,0.139693
15,M04,S1,42,0.126412
15,M04,S1,2026,0.132872
15,M04,S1,3407,0.08786
15,M04,S1,7777,0.113386
15,M04,S2,13,0.364567
15,M04,S2,42,0.315399
15,M04,S2,2026,0.341928
15,M04,S2,3407,0.278364
15,M04,S2,7777,0.346264
15,M04,S3,13,0.74123
15,M04,S3,42,0.63642
15,M04,S3,2026,0.649583
15,M04,S3,3407,0.57992
15,M04,S3,7777,0.673198
15,M04,S4,13,1.063655
15,M04,S4,42,0.995159
15,M04,S4,2026,1.019895
15,M04,S4,3407,0.913815
15,M04,S4,7777,0.963446
15,M04,S5,13,1.442063
15,M04,S5,42,1.290207
15,M04,S5,2026,1.309056
15,M04,S5,3407,1.930293
15,M04,S5,7777,2.100051
15,M05,S1,13,0.039222
15,M05,S1,42,0.021822
15,M05,S1,2026,0.059786
15,M05,S1,3407,0.098121
15,M05,S1,7777,0.044338
15,M05,S2,13,0.120141
15,M05,S2,42,0.139691
15,M05,S2,2026,0.243615
15,M05,S2,3407,0.135829
15,M05,S2,7777,0.122545
15,M05,S3,13,0.255723
15,M05,S3,42,0.201262
15,M05,S3,2026,0.286492
15,M05,S3,3407,0.256765
15,M05,S3,7777,0.276368
15,M05,S4,13,0.409549
15,M05,S4,42,0.3215
15,M05,S4,2026,0.37922
15,M05,S4,3407,0.356721
15,M05,S4,7777,0.446649
15,M05,S5,13,0.522089
15,M05,S5,42,0.502132
15,M05,S5,2026,0.478443
15,M05,S5,3407,0.489468
15,M05,S5,7777,0.608076
16,M04,S1,13,0.068569
16,M04,S1,42,0.077233
16,M04,S1,2026,0.092179
16,M04,S1,3407,0.014443
16,M04,S1,7777,0.024917
16,M04,S2,13,0.065081
16,M04,S2,42,0.065675
16,M04,S2,2026,0.049883
16,M04,S2,3407,0.048142
16,M04,S2,7777,0.033053
16,M04,S3,13,0.134003
16,M04,S3,42,0.034988
16,M04,S3,2026,0.071474
16,M04,S3,3407,0.074834
16,M04,S3,7777,0.074209
16,M04,S4,13,0.185237
16,M04,S4,42,0.068524
16,M04,S4,2026,0.108269
16,M04,S4,3407,0.128851
16,M04,S4,7777,0.084068
16,M04,S5,13,0.213069
16,M04,S5,42,0.086215
16,M04,S5,2026,0.153257
16,M04,S5,3407,0.189298
16,M04,S5,7777,0.138442
16,M05,S1,13,0.099397
16,M05,S1,42,0.048023
16,M05,S1,2026,0.098679
16,M05,S1,3407,0.027286
16,M05,S1,7777,0.034329
16,M05,S2,13,0.15897
16,M05,S2,42,0.101839
16,M05,S2,2026,0.104623
16,M05,S2,3407,0.098665
16,M05,S2,7777,0.107293
16,M05,S3,13,0.358827
16,M05,S3,42,0.174415
16,M05,S3,2026,0.198396
16,M05,S3,3407,0.172447
16,M05,S3,7777,0.206879
16,M05,S4,13,0.530987
16,M05,S4,42,0.446267
16,M05,S4,2026,0.376292
16,M05,S4,3407,0.359406
16,M05,S4,7777,0.300599
16,M05,S5,13,0.677506
16,M05,S5,42,0.550138
16,M05,S5,2026,0.436589
16,M05,S5,3407,0.467348
16,M05,S5,7777,0.474179
17,M04,S1,13,0.031384
17,M04,S1,42,0.027951
17,M04,S1,2026,0.032648
17,M04,S1,3407,0.062853
17,M04,S1,7777,0.026248
17,M04,S2,13,0.062813
17,M04,S2,42,0.038766
17,M04,S2,2026,0.042089
17,M04,S2,3407,0.10007
17,M04,S2,7777,0.030871
17,M04,S3,13,0.096542
17,M04,S3,42,0.027564
17,M04,S3,2026,0.064724
17,M04,S3,3407,0.11133
17,M04,S3,7777,0.05398
17,M04,S4,13,0.111128
17,M04,S4,42,0.062761
17,M04,S4,2026,0.102263
17,M04,S4,3407,0.120293
17,M04,S4,7777,0.076977
17,M04,S5,13,0.191937
17,M04,S5,42,0.113769
17,M04,S5,2026,0.1569
17,M04,S5,3407,0.214693
17,M04,S5,7777,0.091409
17,M05,S1,13,0.055514
17,M05,S1,42,0.07689
17,M05,S1,2026,0.065705
17,M05,S1,3407,0.061283
17,M05,S1,7777,0.011387
17,M05,S2,13,0.065365
17,M05,S2,42,0.077699
17,M05,S2,2026,0.061415
17,M05,S2,3407,0.106544
17,M05,S2,7777,0.022667
17,M05,S3,13,0.094216
17,M05,S3,42,0.095793
17,M05,S3,2026,0.12729
17,M05,S3,3407,0.144685
17,M05,S3,7777,0.03727
17,M05,S4,13,0.160792
17,M05,S4,42,0.156053
17,M05,S4,2026,0.209742
17,M05,S4,3407,0.233557
