task,model,seed,status,failure_reason,n_samples,n_features,n_leak,diagnostic_ap,diagnostic_normalized_ap,top5_recall,mrr,source_sha256,preprocessing_protocol,preprocessing_mapping_sha256,strict_auc,permissive_auc,paired_harm,implementation,strict_runtime_sec,permissive_runtime_sec
LendingClub,catboost,42,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6971585502182257,0.9998467804658153,0.3026882302475896,catboost.CatBoostClassifier,3.0464770793914795,4.55187463760376
LendingClub,catboost,2026,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6974972880042761,0.9998419456269032,0.3023446576226271,catboost.CatBoostClassifier,3.274397850036621,4.222926139831543
LendingClub,lightgbm,13,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6942102455121231,0.9998497710878228,0.30563952557569973,lightgbm.LGBMClassifier,0.5672459602355957,1.0405302047729492
LendingClub,lightgbm,42,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6942102455121231,0.9998497710878228,0.30563952557569973,lightgbm.LGBMClassifier,0.5707530975341797,0.9883158206939697
LendingClub,lightgbm,2026,SUCCESS,,50000,140,29,0.6609943608318966,0.5724253199681578,0.1724137931034483,1.0,55c16f75120f897683f02e7aabcf080d0e4a20c4832feb1d592cfa941bd62a2d,natural_trainfit_categories_v2,3855ab103df8e836e8476a949c3b01330ab8527999f1611cf6ddd40e6af548a8,0.6942102455121231,0.9998497710878228,0.30563952557569973,lightgbm.LGBMClassifier,0.5851190090179443,0.9808268547058105
BTSFlights,lr,13,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5733129752635957,1.0,0.4266870247364043,sklearn.StandardScaler+LogisticRegression,0.34081482887268066,0.15845727920532227
BTSFlights,lr,42,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5733129752635957,1.0,0.4266870247364043,sklearn.StandardScaler+LogisticRegression,0.2839779853820801,0.21495699882507324
BTSFlights,lr,2026,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5733129752635957,1.0,0.4266870247364043,sklearn.StandardScaler+LogisticRegression,0.3019869327545166,0.24490022659301758
BTSFlights,rf,13,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5381814322482785,1.0,0.4618185677517215,sklearn.RandomForestClassifier,19.416554927825928,4.172393798828125
BTSFlights,rf,42,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5384955461099238,1.0,0.4615044538900762,sklearn.RandomForestClassifier,19.07023310661316,4.120343208312988
BTSFlights,rf,2026,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5392603667478862,1.0,0.46073963325211376,sklearn.RandomForestClassifier,19.342607021331787,3.8692269325256348
BTSFlights,catboost,13,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.48592988182668084,1.0,0.5140701181733192,catboost.CatBoostClassifier,2.083498954772949,0.7106859683990479
BTSFlights,catboost,42,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.4782123118575737,1.0,0.5217876881424264,catboost.CatBoostClassifier,1.8060212135314941,0.7026078701019287
BTSFlights,catboost,2026,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.46280251471032074,1.0,0.5371974852896793,catboost.CatBoostClassifier,0.5306308269500732,0.7018601894378662
BTSFlights,lightgbm,13,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5307680716208999,0.9999999999999999,0.4692319283791,lightgbm.LGBMClassifier,0.2678670883178711,0.9351828098297119
BTSFlights,lightgbm,42,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5307680716208999,0.9999999999999999,0.4692319283791,lightgbm.LGBMClassifier,0.2666349411010742,0.9237110614776611
BTSFlights,lightgbm,2026,SUCCESS,,100000,108,72,0.8003782769878613,0.4011348309635841,0.06944444444444445,1.0,327924faa362d360747e9e4cf37f461c877441916321754f1789fadd61fd403a,natural_trainfit_categories_v2,f9818c25d093971d90608bcb0d7466247d0e740cdbbd613d10c8948c6a521020,0.5307680716208999,0.9999999999999999,0.4692319283791,lightgbm.LGBMClassifier,0.26395702362060547,0.9113471508026123
ChicagoFood,lr,13,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5199958728474999,0.9997004194128221,0.47970454656532213,sklearn.StandardScaler+LogisticRegression,0.058383941650390625,0.01949310302734375
ChicagoFood,lr,42,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5199958728474999,0.9997004194128221,0.47970454656532213,sklearn.StandardScaler+LogisticRegression,0.11127305030822754,0.008848905563354492
ChicagoFood,lr,2026,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5199958728474999,0.9997004194128221,0.47970454656532213,sklearn.StandardScaler+LogisticRegression,0.10127973556518555,0.01106405258178711
ChicagoFood,rf,13,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5575221879700745,0.9999995474613487,0.4424773594912742,sklearn.RandomForestClassifier,4.114696979522705,1.5508649349212646
ChicagoFood,rf,42,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5528587771681579,0.9999981898453947,0.4471394126772368,sklearn.RandomForestClassifier,3.757636070251465,1.5321321487426758
ChicagoFood,rf,2026,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5563664042545874,0.9999954746134869,0.44362907035889954,sklearn.RandomForestClassifier,3.951589822769165,1.6094779968261719
ChicagoFood,catboost,13,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.6119766164228087,0.99991809050411,0.3879414740813013,catboost.CatBoostClassifier,0.3014180660247803,0.09897398948669434
ChicagoFood,catboost,42,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.6013136744509349,0.999941622513979,0.39862794806304414,catboost.CatBoostClassifier,0.21726202964782715,0.10191679000854492
ChicagoFood,catboost,2026,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.6136093758767937,0.9998056346492553,0.38619625877246166,catboost.CatBoostClassifier,0.5767149925231934,0.0998678207397461
ChicagoFood,lightgbm,13,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5956331830301627,1.0,0.40436681696983734,lightgbm.LGBMClassifier,0.05766010284423828,0.10654497146606445
ChicagoFood,lightgbm,42,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5956331830301627,1.0,0.40436681696983734,lightgbm.LGBMClassifier,0.06068873405456543,0.10643696784973145
ChicagoFood,lightgbm,2026,SUCCESS,,20000,16,2,1.0,1.0,1.0,1.0,527c3a9434379fcdeebdfe0e9ed58bc2f611cb751eae32cb46d1146021dba0af,natural_trainfit_categories_v2,79272c26e9eaa1dc31302a977d776ed76adb16f695e4195ffc2b2794260e0dd3,0.5956331830301627,1.0,0.40436681696983734,lightgbm.LGBMClassifier,0.057285308837890625,0.12103724479675293
NYC311,lr,13,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.860331488915637,0.8793772201480821,0.019045731232445018,sklearn.StandardScaler+LogisticRegression,0.26376986503601074,0.2818021774291992
NYC311,lr,42,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.860331488915637,0.8793772201480821,0.019045731232445018,sklearn.StandardScaler+LogisticRegression,0.2738170623779297,0.23853182792663574
NYC311,lr,2026,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.860331488915637,0.8793772201480821,0.019045731232445018,sklearn.StandardScaler+LogisticRegression,0.30910801887512207,0.22327375411987305
NYC311,rf,13,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9657647721984243,0.977290059662901,0.011525287464476675,sklearn.RandomForestClassifier,17.180140018463135,16.757713794708252
NYC311,rf,42,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9662383231034235,0.9773936418719023,0.01115531876847875,sklearn.RandomForestClassifier,17.359104871749878,16.504094123840332
NYC311,rf,2026,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9659260995145328,0.9774254478358704,0.011499348321337588,sklearn.RandomForestClassifier,17.15692687034607,16.40450882911682
NYC311,catboost,13,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9664782678699722,0.9766432118965014,0.010164944026529232,catboost.CatBoostClassifier,4.096936225891113,4.153487205505371
NYC311,catboost,42,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9664580929808636,0.9769737949421811,0.010515701961317458,catboost.CatBoostClassifier,4.100013017654419,4.220801115036011
NYC311,catboost,2026,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9661653160568179,0.9764969413862957,0.010331625329477845,catboost.CatBoostClassifier,4.061719179153442,4.313240051269531
NYC311,lightgbm,13,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9668718064160825,0.9779346714731109,0.01106286505702836,lightgbm.LGBMClassifier,0.9480681419372559,0.9569811820983887
NYC311,lightgbm,42,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9668718064160825,0.9779346714731109,0.01106286505702836,lightgbm.LGBMClassifier,0.866225004196167,0.9835116863250732
NYC311,lightgbm,2026,SUCCESS,,100000,40,2,0.5454545454545454,0.5215311004784688,0.5,1.0,20d2b0b64ca32a6081f9577295f927d44e62767bc7cbcf013cad0e5a59c25f26,natural_trainfit_categories_v2,f6a58f6b392ba3f3995ba00f43a44febd0f388c82d39765b1b0c6768551a6b35,0.9668718064160825,0.9779346714731109,0.01106286505702836,lightgbm.LGBMClassifier,0.8480310440063477,1.1296679973602295
