ds,mech,strength,method,auprc,top5_recall,n_leak
meta_1,M06,S1,I,0.6388888888888888,1.0,3
meta_1,M06,S1,A,0.2,1.0,3
meta_1,M06,S1,S,1.0,1.0,3
meta_1,M06,S1,E,0.28535353535353536,0.3333333333333333,3
meta_1,M06,S1,I+A,0.6388888888888888,1.0,3
meta_1,M06,S1,I+S,0.9166666666666665,1.0,3
meta_1,M06,S1,A+S+E,1.0,1.0,3
meta_1,M06,S1,I+A+S+E,1.0,1.0,3
meta_1,M06,S3,I,1.0,1.0,3
meta_1,M06,S3,A,0.2,1.0,3
meta_1,M06,S3,S,1.0,1.0,3
meta_1,M06,S3,E,0.19155844155844157,0.0,3
meta_1,M06,S3,I+A,1.0,1.0,3
meta_1,M06,S3,I+S,1.0,1.0,3
meta_1,M06,S3,A+S+E,1.0,1.0,3
meta_1,M06,S3,I+A+S+E,1.0,1.0,3
meta_1,M06,S5,I,1.0,1.0,3
meta_1,M06,S5,A,0.2,1.0,3
meta_1,M06,S5,S,1.0,1.0,3
meta_1,M06,S5,E,0.25,0.0,3
meta_1,M06,S5,I+A,1.0,1.0,3
meta_1,M06,S5,I+S,1.0,1.0,3
meta_1,M06,S5,A+S+E,1.0,1.0,3
meta_1,M06,S5,I+A+S+E,1.0,1.0,3
meta_1,M07,S1,I,0.3214285714285714,0.5,2
meta_1,M07,S1,A,1.0,1.0,2
meta_1,M07,S1,S,1.0,1.0,2
meta_1,M07,S1,E,0.5714285714285714,0.5,2
meta_1,M07,S1,I+A,0.8333333333333333,1.0,2
meta_1,M07,S1,I+S,0.8333333333333333,1.0,2
meta_1,M07,S1,A+S+E,1.0,1.0,2
meta_1,M07,S1,I+A+S+E,0.8333333333333333,1.0,2
meta_1,M07,S3,I,0.3214285714285714,0.5,2
meta_1,M07,S3,A,1.0,1.0,2
meta_1,M07,S3,S,1.0,1.0,2
meta_1,M07,S3,E,0.5714285714285714,0.5,2
meta_1,M07,S3,I+A,0.8333333333333333,1.0,2
meta_1,M07,S3,I+S,0.8333333333333333,1.0,2
meta_1,M07,S3,A+S+E,1.0,1.0,2
meta_1,M07,S3,I+A+S+E,0.8333333333333333,1.0,2
meta_1,M07,S5,I,0.3214285714285714,0.5,2
meta_1,M07,S5,A,1.0,1.0,2
meta_1,M07,S5,S,1.0,1.0,2
meta_1,M07,S5,E,0.5714285714285714,0.5,2
meta_1,M07,S5,I+A,0.8333333333333333,1.0,2
meta_1,M07,S5,I+S,0.8333333333333333,1.0,2
meta_1,M07,S5,A+S+E,1.0,1.0,2
meta_1,M07,S5,I+A+S+E,0.8333333333333333,1.0,2
meta_1,M08,S1,I,0.07692307692307693,0.0,1
meta_1,M08,S1,A,0.07692307692307693,1.0,1
meta_1,M08,S1,S,1.0,1.0,1
meta_1,M08,S1,E,0.07692307692307693,0.0,1
meta_1,M08,S1,I+A,0.07692307692307693,0.0,1
meta_1,M08,S1,I+S,0.5,1.0,1
meta_1,M08,S1,A+S+E,1.0,1.0,1
meta_1,M08,S1,I+A+S+E,0.25,1.0,1
meta_1,M08,S3,I,0.3333333333333333,1.0,1
meta_1,M08,S3,A,0.07692307692307693,1.0,1
meta_1,M08,S3,S,1.0,1.0,1
meta_1,M08,S3,E,0.07692307692307693,0.0,1
meta_1,M08,S3,I+A,0.3333333333333333,1.0,1
meta_1,M08,S3,I+S,0.5,1.0,1
meta_1,M08,S3,A+S+E,1.0,1.0,1
meta_1,M08,S3,I+A+S+E,0.25,1.0,1
meta_1,M08,S5,I,0.3333333333333333,1.0,1
meta_1,M08,S5,A,0.07692307692307693,1.0,1
meta_1,M08,S5,S,1.0,1.0,1
meta_1,M08,S5,E,0.25,1.0,1
meta_1,M08,S5,I+A,0.3333333333333333,1.0,1
meta_1,M08,S5,I+S,0.5,1.0,1
meta_1,M08,S5,A+S+E,1.0,1.0,1
meta_1,M08,S5,I+A+S+E,0.5,1.0,1
meta_1,M09,S1,I,0.125,0.0,1
meta_1,M09,S1,A,0.07692307692307693,1.0,1
meta_1,M09,S1,S,1.0,1.0,1
meta_1,M09,S1,E,0.125,0.0,1
meta_1,M09,S1,I+A,0.125,0.0,1
meta_1,M09,S1,I+S,0.5,1.0,1
meta_1,M09,S1,A+S+E,1.0,1.0,1
meta_1,M09,S1,I+A+S+E,0.25,1.0,1
meta_1,M09,S3,I,0.25,1.0,1
meta_1,M09,S3,A,0.07692307692307693,1.0,1
meta_1,M09,S3,S,1.0,1.0,1
meta_1,M09,S3,E,0.25,1.0,1
meta_1,M09,S3,I+A,0.25,1.0,1
meta_1,M09,S3,I+S,0.5,1.0,1
meta_1,M09,S3,A+S+E,1.0,1.0,1
meta_1,M09,S3,I+A+S+E,0.5,1.0,1
meta_1,M09,S5,I,0.3333333333333333,1.0,1
meta_1,M09,S5,A,0.07692307692307693,1.0,1
meta_1,M09,S5,S,1.0,1.0,1
meta_1,M09,S5,E,1.0,1.0,1
meta_1,M09,S5,I+A,0.3333333333333333,1.0,1
meta_1,M09,S5,I+S,0.5,1.0,1
meta_1,M09,S5,A+S+E,1.0,1.0,1
meta_1,M09,S5,I+A+S+E,0.5,1.0,1
meta_1,M11,S1,I,0.4666666666666667,0.6666666666666666,3
meta_1,M11,S1,A,0.2,1.0,3
meta_1,M11,S1,S,1.0,1.0,3
meta_1,M11,S1,E,0.4444444444444444,0.6666666666666666,3
meta_1,M11,S1,I+A,0.4666666666666667,0.6666666666666666,3
meta_1,M11,S1,I+S,0.8055555555555556,1.0,3
meta_1,M11,S1,A+S+E,1.0,1.0,3
meta_1,M11,S1,I+A+S+E,0.9166666666666665,1.0,3
meta_1,M11,S3,I,0.9166666666666665,1.0,3
meta_1,M11,S3,A,0.2,1.0,3
meta_1,M11,S3,S,1.0,1.0,3
meta_1,M11,S3,E,0.2216931216931217,0.0,3
meta_1,M11,S3,I+A,0.9166666666666665,1.0,3
meta_1,M11,S3,I+S,1.0,1.0,3
meta_1,M11,S3,A+S+E,1.0,1.0,3
meta_1,M11,S3,I+A+S+E,0.8333333333333333,0.6666666666666666,3
meta_1,M11,S5,I,1.0,1.0,3
meta_1,M11,S5,A,0.2,1.0,3
meta_1,M11,S5,S,1.0,1.0,3
meta_1,M11,S5,E,0.2777777777777778,0.3333333333333333,3
meta_1,M11,S5,I+A,1.0,1.0,3
meta_1,M11,S5,I+S,1.0,1.0,3
meta_1,M11,S5,A+S+E,1.0,1.0,3
meta_1,M11,S5,I+A+S+E,1.0,1.0,3
meta_2,M04,S1,I,0.047619047619047616,0.0,1
meta_2,M04,S1,A,1.0,1.0,1
meta_2,M04,S1,S,1.0,1.0,1
meta_2,M04,S1,E,0.14285714285714285,0.0,1
meta_2,M04,S1,I+A,0.5,1.0,1
meta_2,M04,S1,I+S,0.5,1.0,1
meta_2,M04,S1,A+S+E,1.0,1.0,1
meta_2,M04,S1,I+A+S+E,0.5,1.0,1
meta_2,M04,S3,I,0.047619047619047616,0.0,1
meta_2,M04,S3,A,1.0,1.0,1
meta_2,M04,S3,S,1.0,1.0,1
meta_2,M04,S3,E,0.047619047619047616,0.0,1
meta_2,M04,S3,I+A,0.5,1.0,1
meta_2,M04,S3,I+S,0.5,1.0,1
meta_2,M04,S3,A+S+E,1.0,1.0,1
meta_2,M04,S3,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M04,S5,I,0.125,0.0,1
meta_2,M04,S5,A,1.0,1.0,1
meta_2,M04,S5,S,1.0,1.0,1
meta_2,M04,S5,E,0.058823529411764705,0.0,1
meta_2,M04,S5,I+A,0.5,1.0,1
meta_2,M04,S5,I+S,0.5,1.0,1
meta_2,M04,S5,A+S+E,1.0,1.0,1
meta_2,M04,S5,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M05,S1,I,0.047619047619047616,0.0,1
meta_2,M05,S1,A,1.0,1.0,1
meta_2,M05,S1,S,1.0,1.0,1
meta_2,M05,S1,E,0.047619047619047616,0.0,1
meta_2,M05,S1,I+A,0.5,1.0,1
meta_2,M05,S1,I+S,0.5,1.0,1
meta_2,M05,S1,A+S+E,1.0,1.0,1
meta_2,M05,S1,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M05,S3,I,0.047619047619047616,0.0,1
meta_2,M05,S3,A,1.0,1.0,1
meta_2,M05,S3,S,1.0,1.0,1
meta_2,M05,S3,E,0.1111111111111111,0.0,1
meta_2,M05,S3,I+A,0.5,1.0,1
meta_2,M05,S3,I+S,0.5,1.0,1
meta_2,M05,S3,A+S+E,1.0,1.0,1
meta_2,M05,S3,I+A+S+E,0.5,1.0,1
meta_2,M05,S5,I,0.047619047619047616,0.0,1
meta_2,M05,S5,A,1.0,1.0,1
meta_2,M05,S5,S,1.0,1.0,1
meta_2,M05,S5,E,0.14285714285714285,0.0,1
meta_2,M05,S5,I+A,0.5,1.0,1
meta_2,M05,S5,I+S,0.5,1.0,1
meta_2,M05,S5,A+S+E,1.0,1.0,1
meta_2,M05,S5,I+A+S+E,0.5,1.0,1
meta_2,M06,S1,I,0.5888888888888889,1.0,3
meta_2,M06,S1,A,0.13043478260869565,0.3333333333333333,3
meta_2,M06,S1,S,1.0,1.0,3
meta_2,M06,S1,E,0.7916666666666666,0.6666666666666666,3
meta_2,M06,S1,I+A,0.5888888888888889,1.0,3
meta_2,M06,S1,I+S,0.9166666666666665,1.0,3
meta_2,M06,S1,A+S+E,1.0,1.0,3
meta_2,M06,S1,I+A+S+E,1.0,1.0,3
meta_2,M06,S3,I,1.0,1.0,3
meta_2,M06,S3,A,0.13043478260869565,0.3333333333333333,3
meta_2,M06,S3,S,1.0,1.0,3
meta_2,M06,S3,E,0.16430976430976432,0.0,3
meta_2,M06,S3,I+A,1.0,1.0,3
meta_2,M06,S3,I+S,1.0,1.0,3
meta_2,M06,S3,A+S+E,1.0,1.0,3
meta_2,M06,S3,I+A+S+E,1.0,1.0,3
meta_2,M06,S5,I,1.0,1.0,3
meta_2,M06,S5,A,0.13043478260869565,0.3333333333333333,3
meta_2,M06,S5,S,1.0,1.0,3
meta_2,M06,S5,E,0.1875,0.0,3
meta_2,M06,S5,I+A,1.0,1.0,3
meta_2,M06,S5,I+S,1.0,1.0,3
meta_2,M06,S5,A+S+E,1.0,1.0,3
meta_2,M06,S5,I+A+S+E,1.0,1.0,3
meta_2,M07,S1,I,0.375,0.5,2
meta_2,M07,S1,A,1.0,1.0,2
meta_2,M07,S1,S,1.0,1.0,2
meta_2,M07,S1,E,0.18382352941176472,0.5,2
meta_2,M07,S1,I+A,0.8333333333333333,1.0,2
meta_2,M07,S1,I+S,0.8333333333333333,1.0,2
meta_2,M07,S1,A+S+E,1.0,1.0,2
meta_2,M07,S1,I+A+S+E,1.0,1.0,2
meta_2,M07,S3,I,0.375,0.5,2
meta_2,M07,S3,A,1.0,1.0,2
meta_2,M07,S3,S,1.0,1.0,2
meta_2,M07,S3,E,0.18382352941176472,0.5,2
meta_2,M07,S3,I+A,0.8333333333333333,1.0,2
meta_2,M07,S3,I+S,0.8333333333333333,1.0,2
meta_2,M07,S3,A+S+E,1.0,1.0,2
meta_2,M07,S3,I+A+S+E,1.0,1.0,2
meta_2,M07,S5,I,0.375,0.5,2
meta_2,M07,S5,A,1.0,1.0,2
meta_2,M07,S5,S,1.0,1.0,2
meta_2,M07,S5,E,0.18382352941176472,0.5,2
meta_2,M07,S5,I+A,0.8333333333333333,1.0,2
meta_2,M07,S5,I+S,0.8333333333333333,1.0,2
meta_2,M07,S5,A+S+E,1.0,1.0,2
meta_2,M07,S5,I+A+S+E,1.0,1.0,2
meta_2,M08,S1,I,0.3333333333333333,1.0,1
meta_2,M08,S1,A,0.047619047619047616,1.0,1
meta_2,M08,S1,S,1.0,1.0,1
meta_2,M08,S1,E,0.09090909090909091,0.0,1
meta_2,M08,S1,I+A,0.3333333333333333,1.0,1
meta_2,M08,S1,I+S,0.5,1.0,1
meta_2,M08,S1,A+S+E,1.0,1.0,1
meta_2,M08,S1,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M08,S3,I,0.047619047619047616,0.0,1
meta_2,M08,S3,A,0.047619047619047616,1.0,1
meta_2,M08,S3,S,1.0,1.0,1
meta_2,M08,S3,E,0.1111111111111111,0.0,1
meta_2,M08,S3,I+A,0.047619047619047616,0.0,1
meta_2,M08,S3,I+S,0.5,1.0,1
meta_2,M08,S3,A+S+E,1.0,1.0,1
meta_2,M08,S3,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M08,S5,I,0.25,1.0,1
meta_2,M08,S5,A,0.047619047619047616,1.0,1
meta_2,M08,S5,S,1.0,1.0,1
meta_2,M08,S5,E,0.09090909090909091,0.0,1
meta_2,M08,S5,I+A,0.25,1.0,1
meta_2,M08,S5,I+S,0.5,1.0,1
meta_2,M08,S5,A+S+E,1.0,1.0,1
meta_2,M08,S5,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M09,S1,I,0.125,0.0,1
meta_2,M09,S1,A,0.047619047619047616,1.0,1
meta_2,M09,S1,S,1.0,1.0,1
meta_2,M09,S1,E,0.2,1.0,1
meta_2,M09,S1,I+A,0.125,0.0,1
meta_2,M09,S1,I+S,0.5,1.0,1
meta_2,M09,S1,A+S+E,1.0,1.0,1
meta_2,M09,S1,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M09,S3,I,0.047619047619047616,0.0,1
meta_2,M09,S3,A,0.047619047619047616,1.0,1
meta_2,M09,S3,S,1.0,1.0,1
meta_2,M09,S3,E,0.09090909090909091,0.0,1
meta_2,M09,S3,I+A,0.047619047619047616,0.0,1
meta_2,M09,S3,I+S,0.5,1.0,1
meta_2,M09,S3,A+S+E,1.0,1.0,1
meta_2,M09,S3,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M09,S5,I,0.047619047619047616,0.0,1
meta_2,M09,S5,A,0.047619047619047616,1.0,1
meta_2,M09,S5,S,1.0,1.0,1
meta_2,M09,S5,E,0.14285714285714285,0.0,1
meta_2,M09,S5,I+A,0.047619047619047616,0.0,1
meta_2,M09,S5,I+S,0.5,1.0,1
meta_2,M09,S5,A+S+E,1.0,1.0,1
meta_2,M09,S5,I+A+S+E,0.3333333333333333,1.0,1
meta_2,M11,S1,I,0.4444444444444445,0.6666666666666666,3
meta_2,M11,S1,A,0.13043478260869565,0.3333333333333333,3
meta_2,M11,S1,S,1.0,1.0,3
meta_2,M11,S1,E,0.41800356506238856,0.3333333333333333,3
meta_2,M11,S1,I+A,0.4444444444444445,0.6666666666666666,3
meta_2,M11,S1,I+S,0.6388888888888888,1.0,3
meta_2,M11,S1,A+S+E,1.0,1.0,3
meta_2,M11,S1,I+A+S+E,0.7,1.0,3
meta_2,M11,S3,I,0.9166666666666665,1.0,3
meta_2,M11,S3,A,0.13043478260869565,0.3333333333333333,3
meta_2,M11,S3,S,1.0,1.0,3
meta_2,M11,S3,E,0.7222222222222222,0.6666666666666666,3
meta_2,M11,S3,I+A,0.9166666666666665,1.0,3
meta_2,M11,S3,I+S,1.0,1.0,3
meta_2,M11,S3,A+S+E,1.0,1.0,3
meta_2,M11,S3,I+A+S+E,1.0,1.0,3
meta_2,M11,S5,I,1.0,1.0,3
meta_2,M11,S5,A,0.13043478260869565,0.3333333333333333,3
meta_2,M11,S5,S,1.0,1.0,3
meta_2,M11,S5,E,0.5151515151515151,0.3333333333333333,3
meta_2,M11,S5,I+A,1.0,1.0,3
meta_2,M11,S5,I+S,1.0,1.0,3
meta_2,M11,S5,A+S+E,1.0,1.0,3
meta_2,M11,S5,I+A+S+E,1.0,1.0,3
meta_3,M04,S1,I,0.14285714285714285,0.0,1
meta_3,M04,S1,A,1.0,1.0,1
meta_3,M04,S1,S,1.0,1.0,1
meta_3,M04,S1,E,0.14285714285714285,0.0,1
meta_3,M04,S1,I+A,0.5,1.0,1
meta_3,M04,S1,I+S,0.3333333333333333,1.0,1
meta_3,M04,S1,A+S+E,1.0,1.0,1
meta_3,M04,S1,I+A+S+E,1.0,1.0,1
meta_3,M04,S3,I,0.2,1.0,1
meta_3,M04,S3,A,1.0,1.0,1
meta_3,M04,S3,S,1.0,1.0,1
meta_3,M04,S3,E,0.047619047619047616,0.0,1
meta_3,M04,S3,I+A,0.5,1.0,1
meta_3,M04,S3,I+S,0.5,1.0,1
meta_3,M04,S3,A+S+E,1.0,1.0,1
meta_3,M04,S3,I+A+S+E,0.3333333333333333,1.0,1
meta_3,M04,S5,I,0.047619047619047616,0.0,1
