ds,mech,str,budget,strategy,leak_recall,legit_retention
opmeta_0,M06,S5,0.3,op_lifecycle,0.0,1.0
opmeta_0,M07,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M07,S1,0.05,op_lifecycle,0.0,1.0
opmeta_0,M07,S1,0.1,field_budget,0.5,0.9166666666666666
opmeta_0,M07,S1,0.1,op_lifecycle,0.0,1.0
opmeta_0,M07,S1,0.2,field_budget,0.5,0.8333333333333334
opmeta_0,M07,S1,0.2,op_lifecycle,0.0,1.0
opmeta_0,M07,S1,0.3,field_budget,1.0,0.75
opmeta_0,M07,S1,0.3,op_lifecycle,0.0,1.0
opmeta_0,M07,S3,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M07,S3,0.05,op_lifecycle,0.0,1.0
opmeta_0,M07,S3,0.1,field_budget,0.5,0.9166666666666666
opmeta_0,M07,S3,0.1,op_lifecycle,0.0,1.0
opmeta_0,M07,S3,0.2,field_budget,0.5,0.8333333333333334
opmeta_0,M07,S3,0.2,op_lifecycle,0.0,1.0
opmeta_0,M07,S3,0.3,field_budget,1.0,0.75
opmeta_0,M07,S3,0.3,op_lifecycle,0.0,1.0
opmeta_0,M07,S5,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M07,S5,0.05,op_lifecycle,0.0,1.0
opmeta_0,M07,S5,0.1,field_budget,0.5,0.9166666666666666
opmeta_0,M07,S5,0.1,op_lifecycle,0.0,1.0
opmeta_0,M07,S5,0.2,field_budget,0.5,0.8333333333333334
opmeta_0,M07,S5,0.2,op_lifecycle,0.0,1.0
opmeta_0,M07,S5,0.3,field_budget,1.0,0.75
opmeta_0,M07,S5,0.3,op_lifecycle,0.0,1.0
opmeta_0,M08,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M08,S1,0.05,op_lifecycle,0.0,1.0
opmeta_0,M08,S1,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M08,S1,0.1,op_lifecycle,0.0,1.0
opmeta_0,M08,S1,0.2,field_budget,0.0,0.75
opmeta_0,M08,S1,0.2,op_lifecycle,0.0,1.0
opmeta_0,M08,S1,0.3,field_budget,1.0,0.75
opmeta_0,M08,S1,0.3,op_lifecycle,0.0,1.0
opmeta_0,M08,S3,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M08,S3,0.05,op_lifecycle,0.0,1.0
opmeta_0,M08,S3,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M08,S3,0.1,op_lifecycle,0.0,1.0
opmeta_0,M08,S3,0.2,field_budget,0.0,0.75
opmeta_0,M08,S3,0.2,op_lifecycle,0.0,1.0
opmeta_0,M08,S3,0.3,field_budget,1.0,0.75
opmeta_0,M08,S3,0.3,op_lifecycle,0.0,1.0
opmeta_0,M08,S5,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M08,S5,0.05,op_lifecycle,0.0,1.0
opmeta_0,M08,S5,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M08,S5,0.1,op_lifecycle,0.0,1.0
opmeta_0,M08,S5,0.2,field_budget,0.0,0.75
opmeta_0,M08,S5,0.2,op_lifecycle,0.0,1.0
opmeta_0,M08,S5,0.3,field_budget,1.0,0.75
opmeta_0,M08,S5,0.3,op_lifecycle,0.0,1.0
opmeta_0,M09,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M09,S1,0.05,op_lifecycle,0.0,1.0
opmeta_0,M09,S1,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M09,S1,0.1,op_lifecycle,0.0,1.0
opmeta_0,M09,S1,0.2,field_budget,0.0,0.75
opmeta_0,M09,S1,0.2,op_lifecycle,0.0,1.0
opmeta_0,M09,S1,0.3,field_budget,0.0,0.6666666666666666
opmeta_0,M09,S1,0.3,op_lifecycle,0.0,1.0
opmeta_0,M09,S3,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M09,S3,0.05,op_lifecycle,0.0,1.0
opmeta_0,M09,S3,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M09,S3,0.1,op_lifecycle,0.0,1.0
opmeta_0,M09,S3,0.2,field_budget,0.0,0.75
opmeta_0,M09,S3,0.2,op_lifecycle,0.0,1.0
opmeta_0,M09,S3,0.3,field_budget,0.0,0.6666666666666666
opmeta_0,M09,S3,0.3,op_lifecycle,0.0,1.0
opmeta_0,M09,S5,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M09,S5,0.05,op_lifecycle,0.0,1.0
opmeta_0,M09,S5,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M09,S5,0.1,op_lifecycle,0.0,1.0
opmeta_0,M09,S5,0.2,field_budget,0.0,0.75
opmeta_0,M09,S5,0.2,op_lifecycle,0.0,1.0
opmeta_0,M09,S5,0.3,field_budget,0.0,0.6666666666666666
opmeta_0,M09,S5,0.3,op_lifecycle,0.0,1.0
opmeta_0,M11,S1,0.05,field_budget,0.0,0.9166666666666666
opmeta_0,M11,S1,0.05,op_lifecycle,0.0,1.0
opmeta_0,M11,S1,0.1,field_budget,0.0,0.8333333333333334
opmeta_0,M11,S1,0.1,op_lifecycle,0.0,1.0
opmeta_0,M11,S1,0.2,field_budget,0.3333333333333333,0.8333333333333334
opmeta_0,M11,S1,0.2,op_lifecycle,0.0,1.0
opmeta_0,M11,S1,0.3,field_budget,0.6666666666666666,0.75
opmeta_0,M11,S1,0.3,op_lifecycle,0.0,1.0
opmeta_0,M11,S3,0.05,field_budget,0.3333333333333333,1.0
opmeta_0,M11,S3,0.05,op_lifecycle,0.0,1.0
opmeta_0,M11,S3,0.1,field_budget,0.6666666666666666,1.0
opmeta_0,M11,S3,0.1,op_lifecycle,0.0,1.0
opmeta_0,M11,S3,0.2,field_budget,0.6666666666666666,0.9166666666666666
opmeta_0,M11,S3,0.2,op_lifecycle,0.0,1.0
opmeta_0,M11,S3,0.3,field_budget,1.0,0.8333333333333334
opmeta_0,M11,S3,0.3,op_lifecycle,0.0,1.0
opmeta_0,M11,S5,0.05,field_budget,0.3333333333333333,1.0
opmeta_0,M11,S5,0.05,op_lifecycle,0.0,1.0
opmeta_0,M11,S5,0.1,field_budget,0.6666666666666666,1.0
opmeta_0,M11,S5,0.1,op_lifecycle,0.0,1.0
opmeta_0,M11,S5,0.2,field_budget,1.0,1.0
opmeta_0,M11,S5,0.2,op_lifecycle,0.0,1.0
opmeta_0,M11,S5,0.3,field_budget,1.0,0.8333333333333334
opmeta_0,M11,S5,0.3,op_lifecycle,0.0,1.0
opmeta_1,M04,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M04,S1,0.05,op_lifecycle,1.0,1.0
opmeta_1,M04,S1,0.1,field_budget,0.0,0.875
opmeta_1,M04,S1,0.1,op_lifecycle,1.0,1.0
opmeta_1,M04,S1,0.2,field_budget,0.0,0.75
opmeta_1,M04,S1,0.2,op_lifecycle,1.0,1.0
opmeta_1,M04,S1,0.3,field_budget,0.0,0.625
opmeta_1,M04,S1,0.3,op_lifecycle,1.0,1.0
opmeta_1,M04,S3,0.05,field_budget,0.0,0.9375
opmeta_1,M04,S3,0.05,op_lifecycle,1.0,1.0
opmeta_1,M04,S3,0.1,field_budget,0.0,0.875
opmeta_1,M04,S3,0.1,op_lifecycle,1.0,1.0
opmeta_1,M04,S3,0.2,field_budget,0.0,0.75
opmeta_1,M04,S3,0.2,op_lifecycle,1.0,1.0
opmeta_1,M04,S3,0.3,field_budget,0.0,0.625
opmeta_1,M04,S3,0.3,op_lifecycle,1.0,1.0
opmeta_1,M04,S5,0.05,field_budget,0.0,0.9375
opmeta_1,M04,S5,0.05,op_lifecycle,1.0,1.0
opmeta_1,M04,S5,0.1,field_budget,0.0,0.875
opmeta_1,M04,S5,0.1,op_lifecycle,1.0,1.0
opmeta_1,M04,S5,0.2,field_budget,0.0,0.75
opmeta_1,M04,S5,0.2,op_lifecycle,1.0,1.0
opmeta_1,M04,S5,0.3,field_budget,1.0,0.6875
opmeta_1,M04,S5,0.3,op_lifecycle,1.0,1.0
opmeta_1,M05,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M05,S1,0.05,op_lifecycle,1.0,1.0
opmeta_1,M05,S1,0.1,field_budget,0.0,0.875
opmeta_1,M05,S1,0.1,op_lifecycle,1.0,1.0
opmeta_1,M05,S1,0.2,field_budget,0.0,0.75
opmeta_1,M05,S1,0.2,op_lifecycle,1.0,1.0
opmeta_1,M05,S1,0.3,field_budget,0.0,0.625
opmeta_1,M05,S1,0.3,op_lifecycle,1.0,1.0
opmeta_1,M05,S3,0.05,field_budget,0.0,0.9375
opmeta_1,M05,S3,0.05,op_lifecycle,1.0,1.0
opmeta_1,M05,S3,0.1,field_budget,0.0,0.875
opmeta_1,M05,S3,0.1,op_lifecycle,1.0,1.0
opmeta_1,M05,S3,0.2,field_budget,0.0,0.75
opmeta_1,M05,S3,0.2,op_lifecycle,1.0,1.0
opmeta_1,M05,S3,0.3,field_budget,0.0,0.625
opmeta_1,M05,S3,0.3,op_lifecycle,1.0,1.0
opmeta_1,M05,S5,0.05,field_budget,0.0,0.9375
opmeta_1,M05,S5,0.05,op_lifecycle,1.0,1.0
opmeta_1,M05,S5,0.1,field_budget,0.0,0.875
opmeta_1,M05,S5,0.1,op_lifecycle,1.0,1.0
opmeta_1,M05,S5,0.2,field_budget,0.0,0.75
opmeta_1,M05,S5,0.2,op_lifecycle,1.0,1.0
opmeta_1,M05,S5,0.3,field_budget,0.0,0.625
opmeta_1,M05,S5,0.3,op_lifecycle,1.0,1.0
opmeta_1,M06,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M06,S1,0.05,op_lifecycle,0.0,1.0
opmeta_1,M06,S1,0.1,field_budget,0.3333333333333333,0.9375
opmeta_1,M06,S1,0.1,op_lifecycle,0.0,1.0
opmeta_1,M06,S1,0.2,field_budget,0.6666666666666666,0.875
opmeta_1,M06,S1,0.2,op_lifecycle,0.0,1.0
opmeta_1,M06,S1,0.3,field_budget,1.0,0.8125
opmeta_1,M06,S1,0.3,op_lifecycle,0.0,1.0
opmeta_1,M06,S3,0.05,field_budget,0.3333333333333333,1.0
opmeta_1,M06,S3,0.05,op_lifecycle,0.0,1.0
opmeta_1,M06,S3,0.1,field_budget,0.6666666666666666,1.0
opmeta_1,M06,S3,0.1,op_lifecycle,0.0,1.0
opmeta_1,M06,S3,0.2,field_budget,1.0,0.9375
opmeta_1,M06,S3,0.2,op_lifecycle,0.0,1.0
opmeta_1,M06,S3,0.3,field_budget,1.0,0.8125
opmeta_1,M06,S3,0.3,op_lifecycle,0.0,1.0
opmeta_1,M06,S5,0.05,field_budget,0.3333333333333333,1.0
opmeta_1,M06,S5,0.05,op_lifecycle,0.0,1.0
opmeta_1,M06,S5,0.1,field_budget,0.6666666666666666,1.0
opmeta_1,M06,S5,0.1,op_lifecycle,0.0,1.0
opmeta_1,M06,S5,0.2,field_budget,1.0,0.9375
opmeta_1,M06,S5,0.2,op_lifecycle,0.0,1.0
opmeta_1,M06,S5,0.3,field_budget,1.0,0.8125
opmeta_1,M06,S5,0.3,op_lifecycle,0.0,1.0
opmeta_1,M07,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M07,S1,0.05,op_lifecycle,0.0,1.0
opmeta_1,M07,S1,0.1,field_budget,0.5,0.9375
opmeta_1,M07,S1,0.1,op_lifecycle,0.0,1.0
opmeta_1,M07,S1,0.2,field_budget,0.5,0.8125
opmeta_1,M07,S1,0.2,op_lifecycle,0.0,1.0
opmeta_1,M07,S1,0.3,field_budget,0.5,0.6875
opmeta_1,M07,S1,0.3,op_lifecycle,0.0,1.0
opmeta_1,M07,S3,0.05,field_budget,0.0,0.9375
opmeta_1,M07,S3,0.05,op_lifecycle,0.0,1.0
opmeta_1,M07,S3,0.1,field_budget,0.5,0.9375
opmeta_1,M07,S3,0.1,op_lifecycle,0.0,1.0
opmeta_1,M07,S3,0.2,field_budget,0.5,0.8125
opmeta_1,M07,S3,0.2,op_lifecycle,0.0,1.0
opmeta_1,M07,S3,0.3,field_budget,0.5,0.6875
opmeta_1,M07,S3,0.3,op_lifecycle,0.0,1.0
opmeta_1,M07,S5,0.05,field_budget,0.0,0.9375
opmeta_1,M07,S5,0.05,op_lifecycle,0.0,1.0
opmeta_1,M07,S5,0.1,field_budget,0.5,0.9375
opmeta_1,M07,S5,0.1,op_lifecycle,0.0,1.0
opmeta_1,M07,S5,0.2,field_budget,0.5,0.8125
opmeta_1,M07,S5,0.2,op_lifecycle,0.0,1.0
opmeta_1,M07,S5,0.3,field_budget,0.5,0.6875
opmeta_1,M07,S5,0.3,op_lifecycle,0.0,1.0
opmeta_1,M08,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M08,S1,0.05,op_lifecycle,0.0,1.0
opmeta_1,M08,S1,0.1,field_budget,0.0,0.875
opmeta_1,M08,S1,0.1,op_lifecycle,0.0,1.0
opmeta_1,M08,S1,0.2,field_budget,0.0,0.75
opmeta_1,M08,S1,0.2,op_lifecycle,0.0,1.0
opmeta_1,M08,S1,0.3,field_budget,0.0,0.625
opmeta_1,M08,S1,0.3,op_lifecycle,0.0,1.0
opmeta_1,M08,S3,0.05,field_budget,0.0,0.9375
opmeta_1,M08,S3,0.05,op_lifecycle,0.0,1.0
opmeta_1,M08,S3,0.1,field_budget,0.0,0.875
opmeta_1,M08,S3,0.1,op_lifecycle,0.0,1.0
opmeta_1,M08,S3,0.2,field_budget,1.0,0.8125
opmeta_1,M08,S3,0.2,op_lifecycle,0.0,1.0
opmeta_1,M08,S3,0.3,field_budget,1.0,0.6875
opmeta_1,M08,S3,0.3,op_lifecycle,0.0,1.0
opmeta_1,M08,S5,0.05,field_budget,0.0,0.9375
opmeta_1,M08,S5,0.05,op_lifecycle,0.0,1.0
opmeta_1,M08,S5,0.1,field_budget,0.0,0.875
opmeta_1,M08,S5,0.1,op_lifecycle,0.0,1.0
opmeta_1,M08,S5,0.2,field_budget,1.0,0.8125
opmeta_1,M08,S5,0.2,op_lifecycle,0.0,1.0
opmeta_1,M08,S5,0.3,field_budget,1.0,0.6875
opmeta_1,M08,S5,0.3,op_lifecycle,0.0,1.0
opmeta_1,M09,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M09,S1,0.05,op_lifecycle,0.0,1.0
opmeta_1,M09,S1,0.1,field_budget,0.0,0.875
opmeta_1,M09,S1,0.1,op_lifecycle,0.0,1.0
opmeta_1,M09,S1,0.2,field_budget,0.0,0.75
opmeta_1,M09,S1,0.2,op_lifecycle,0.0,1.0
opmeta_1,M09,S1,0.3,field_budget,0.0,0.625
opmeta_1,M09,S1,0.3,op_lifecycle,0.0,1.0
opmeta_1,M09,S3,0.05,field_budget,0.0,0.9375
opmeta_1,M09,S3,0.05,op_lifecycle,0.0,1.0
opmeta_1,M09,S3,0.1,field_budget,0.0,0.875
opmeta_1,M09,S3,0.1,op_lifecycle,0.0,1.0
opmeta_1,M09,S3,0.2,field_budget,0.0,0.75
opmeta_1,M09,S3,0.2,op_lifecycle,0.0,1.0
opmeta_1,M09,S3,0.3,field_budget,0.0,0.625
opmeta_1,M09,S3,0.3,op_lifecycle,0.0,1.0
opmeta_1,M09,S5,0.05,field_budget,0.0,0.9375
opmeta_1,M09,S5,0.05,op_lifecycle,0.0,1.0
opmeta_1,M09,S5,0.1,field_budget,0.0,0.875
opmeta_1,M09,S5,0.1,op_lifecycle,0.0,1.0
opmeta_1,M09,S5,0.2,field_budget,0.0,0.75
opmeta_1,M09,S5,0.2,op_lifecycle,0.0,1.0
opmeta_1,M09,S5,0.3,field_budget,0.0,0.625
opmeta_1,M09,S5,0.3,op_lifecycle,0.0,1.0
opmeta_1,M11,S1,0.05,field_budget,0.0,0.9375
opmeta_1,M11,S1,0.05,op_lifecycle,0.0,1.0
opmeta_1,M11,S1,0.1,field_budget,0.0,0.875
opmeta_1,M11,S1,0.1,op_lifecycle,0.0,1.0
opmeta_1,M11,S1,0.2,field_budget,0.6666666666666666,0.875
opmeta_1,M11,S1,0.2,op_lifecycle,0.0,1.0
opmeta_1,M11,S1,0.3,field_budget,1.0,0.8125
opmeta_1,M11,S1,0.3,op_lifecycle,0.0,1.0
opmeta_1,M11,S3,0.05,field_budget,0.3333333333333333,1.0
opmeta_1,M11,S3,0.05,op_lifecycle,0.0,1.0
opmeta_1,M11,S3,0.1,field_budget,0.6666666666666666,1.0
opmeta_1,M11,S3,0.1,op_lifecycle,0.0,1.0
opmeta_1,M11,S3,0.2,field_budget,1.0,0.9375
opmeta_1,M11,S3,0.2,op_lifecycle,0.0,1.0
opmeta_1,M11,S3,0.3,field_budget,1.0,0.8125
opmeta_1,M11,S3,0.3,op_lifecycle,0.0,1.0
opmeta_1,M11,S5,0.05,field_budget,0.3333333333333333,1.0
opmeta_1,M11,S5,0.05,op_lifecycle,0.0,1.0
opmeta_1,M11,S5,0.1,field_budget,0.6666666666666666,1.0
opmeta_1,M11,S5,0.1,op_lifecycle,0.0,1.0
opmeta_1,M11,S5,0.2,field_budget,1.0,0.9375
opmeta_1,M11,S5,0.2,op_lifecycle,0.0,1.0
opmeta_1,M11,S5,0.3,field_budget,1.0,0.8125
opmeta_1,M11,S5,0.3,op_lifecycle,0.0,1.0
opmeta_2,M04,S1,0.05,field_budget,0.0,0.9
opmeta_2,M04,S1,0.05,op_lifecycle,1.0,1.0
opmeta_2,M04,S1,0.1,field_budget,0.0,0.85
opmeta_2,M04,S1,0.1,op_lifecycle,1.0,1.0
opmeta_2,M04,S1,0.2,field_budget,0.0,0.75
opmeta_2,M04,S1,0.2,op_lifecycle,1.0,1.0
opmeta_2,M04,S1,0.3,field_budget,0.0,0.65
opmeta_2,M04,S1,0.3,op_lifecycle,1.0,1.0
opmeta_2,M04,S3,0.05,field_budget,0.0,0.9
opmeta_2,M04,S3,0.05,op_lifecycle,1.0,1.0
opmeta_2,M04,S3,0.1,field_budget,0.0,0.85
opmeta_2,M04,S3,0.1,op_lifecycle,1.0,1.0
opmeta_2,M04,S3,0.2,field_budget,1.0,0.8
opmeta_2,M04,S3,0.2,op_lifecycle,1.0,1.0
opmeta_2,M04,S3,0.3,field_budget,1.0,0.7
opmeta_2,M04,S3,0.3,op_lifecycle,1.0,1.0
opmeta_2,M04,S5,0.05,field_budget,0.0,0.9
opmeta_2,M04,S5,0.05,op_lifecycle,1.0,1.0
opmeta_2,M04,S5,0.1,field_budget,0.0,0.85
opmeta_2,M04,S5,0.1,op_lifecycle,1.0,1.0
opmeta_2,M04,S5,0.2,field_budget,0.0,0.75
opmeta_2,M04,S5,0.2,op_lifecycle,1.0,1.0
opmeta_2,M04,S5,0.3,field_budget,0.0,0.65
opmeta_2,M04,S5,0.3,op_lifecycle,1.0,1.0
opmeta_2,M05,S1,0.05,field_budget,0.0,0.9
opmeta_2,M05,S1,0.05,op_lifecycle,1.0,1.0
opmeta_2,M05,S1,0.1,field_budget,0.0,0.85
opmeta_2,M05,S1,0.1,op_lifecycle,1.0,1.0
opmeta_2,M05,S1,0.2,field_budget,1.0,0.8
opmeta_2,M05,S1,0.2,op_lifecycle,1.0,1.0
opmeta_2,M05,S1,0.3,field_budget,1.0,0.7
opmeta_2,M05,S1,0.3,op_lifecycle,1.0,1.0
opmeta_2,M05,S3,0.05,field_budget,0.0,0.9
opmeta_2,M05,S3,0.05,op_lifecycle,1.0,1.0
opmeta_2,M05,S3,0.1,field_budget,0.0,0.85
opmeta_2,M05,S3,0.1,op_lifecycle,1.0,1.0
opmeta_2,M05,S3,0.2,field_budget,1.0,0.8
opmeta_2,M05,S3,0.2,op_lifecycle,1.0,1.0
opmeta_2,M05,S3,0.3,field_budget,1.0,0.7
opmeta_2,M05,S3,0.3,op_lifecycle,1.0,1.0
opmeta_2,M05,S5,0.05,field_budget,0.0,0.9
opmeta_2,M05,S5,0.05,op_lifecycle,1.0,1.0
opmeta_2,M05,S5,0.1,field_budget,0.0,0.85
opmeta_2,M05,S5,0.1,op_lifecycle,1.0,1.0
opmeta_2,M05,S5,0.2,field_budget,0.0,0.75
opmeta_2,M05,S5,0.2,op_lifecycle,1.0,1.0
opmeta_2,M05,S5,0.3,field_budget,0.0,0.65
opmeta_2,M05,S5,0.3,op_lifecycle,1.0,1.0
opmeta_2,M06,S1,0.05,field_budget,0.3333333333333333,0.95
opmeta_2,M06,S1,0.05,op_lifecycle,0.0,1.0
opmeta_2,M06,S1,0.1,field_budget,0.6666666666666666,0.95
opmeta_2,M06,S1,0.1,op_lifecycle,0.0,1.0
opmeta_2,M06,S1,0.2,field_budget,1.0,0.9
opmeta_2,M06,S1,0.2,op_lifecycle,0.0,1.0
opmeta_2,M06,S1,0.3,field_budget,1.0,0.8
opmeta_2,M06,S1,0.3,op_lifecycle,0.0,1.0
opmeta_2,M06,S3,0.05,field_budget,0.6666666666666666,1.0
opmeta_2,M06,S3,0.05,op_lifecycle,0.0,1.0
opmeta_2,M06,S3,0.1,field_budget,1.0,1.0
opmeta_2,M06,S3,0.1,op_lifecycle,0.0,1.0
opmeta_2,M06,S3,0.2,field_budget,1.0,0.9
opmeta_2,M06,S3,0.2,op_lifecycle,0.0,1.0
opmeta_2,M06,S3,0.3,field_budget,1.0,0.8
opmeta_2,M06,S3,0.3,op_lifecycle,0.0,1.0
opmeta_2,M06,S5,0.05,field_budget,0.6666666666666666,1.0
opmeta_2,M06,S5,0.05,op_lifecycle,0.0,1.0
opmeta_2,M06,S5,0.1,field_budget,1.0,1.0
opmeta_2,M06,S5,0.1,op_lifecycle,0.0,1.0
opmeta_2,M06,S5,0.2,field_budget,1.0,0.9
opmeta_2,M06,S5,0.2,op_lifecycle,0.0,1.0
opmeta_2,M06,S5,0.3,field_budget,1.0,0.8
opmeta_2,M06,S5,0.3,op_lifecycle,0.0,1.0
opmeta_2,M07,S1,0.05,field_budget,0.5,0.95
opmeta_2,M07,S1,0.05,op_lifecycle,0.0,1.0
opmeta_2,M07,S1,0.1,field_budget,0.5,0.9
opmeta_2,M07,S1,0.1,op_lifecycle,0.0,1.0
opmeta_2,M07,S1,0.2,field_budget,0.5,0.8
opmeta_2,M07,S1,0.2,op_lifecycle,0.0,1.0
opmeta_2,M07,S1,0.3,field_budget,0.5,0.7
opmeta_2,M07,S1,0.3,op_lifecycle,0.0,1.0
opmeta_2,M07,S3,0.05,field_budget,0.5,0.95
opmeta_2,M07,S3,0.05,op_lifecycle,0.0,1.0
opmeta_2,M07,S3,0.1,field_budget,0.5,0.9
opmeta_2,M07,S3,0.1,op_lifecycle,0.0,1.0
opmeta_2,M07,S3,0.2,field_budget,0.5,0.8
opmeta_2,M07,S3,0.2,op_lifecycle,0.0,1.0
opmeta_2,M07,S3,0.3,field_budget,0.5,0.7
opmeta_2,M07,S3,0.3,op_lifecycle,0.0,1.0
opmeta_2,M07,S5,0.05,field_budget,0.5,0.95
opmeta_2,M07,S5,0.05,op_lifecycle,0.0,1.0
opmeta_2,M07,S5,0.1,field_budget,0.5,0.9
opmeta_2,M07,S5,0.1,op_lifecycle,0.0,1.0
