dataset_index,mechanism,strength,model,seed,paired_harm,evidence_tier
0,M01,S3,lightgbm,2026,0.2623958333333334,SP5_FROZEN_CORE
0,M01,S3,lightgbm,3407,0.2616666666666667,SP5_FROZEN_CORE
0,M01,S3,lightgbm,7777,0.2132291666666667,SP5_FROZEN_CORE
0,M01,S3,lr,13,0.1836458333333334,SP5_FROZEN_CORE
0,M01,S3,lr,42,0.1441666666666666,SP5_FROZEN_CORE
0,M01,S3,lr,2026,0.1925,SP5_FROZEN_CORE
0,M01,S3,lr,3407,0.1917708333333333,SP5_FROZEN_CORE
0,M01,S3,lr,7777,0.1608333333333332,SP5_FROZEN_CORE
0,M01,S3,modernnca,13,0.1829166666666665,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,42,0.1778124999999999,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,2026,0.1929166666666665,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,3407,0.1633333333333332,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,7777,0.2018750000000001,SP6_MODEL_EXPANSION
0,M01,S3,rf,13,0.2490624999999998,SP5_FROZEN_CORE
0,M01,S3,rf,42,0.1810416666666666,SP5_FROZEN_CORE
0,M01,S3,rf,2026,0.2371875,SP5_FROZEN_CORE
0,M01,S3,rf,3407,0.2170833333333333,SP5_FROZEN_CORE
0,M01,S3,rf,7777,0.1803645833333332,SP5_FROZEN_CORE
0,M01,S3,tabm,13,0.1697916666666667,SP5_FROZEN_CORE
0,M01,S3,tabm,42,0.1583333333333334,SP5_FROZEN_CORE
0,M01,S3,tabm,2026,0.199375,SP5_FROZEN_CORE
0,M01,S3,tabm,3407,0.1923958333333333,SP5_FROZEN_CORE
0,M01,S3,tabm,7777,0.2146874999999999,SP5_FROZEN_CORE
0,M01,S3,tabr,13,0.1894791666666666,SP6_MODEL_EXPANSION
0,M01,S3,tabr,42,0.1357291666666666,SP6_MODEL_EXPANSION
0,M01,S3,tabr,2026,0.1989583333333333,SP6_MODEL_EXPANSION
0,M01,S3,tabr,3407,0.2220833333333335,SP6_MODEL_EXPANSION
0,M01,S3,tabr,7777,0.1655208333333332,SP6_MODEL_EXPANSION
0,M01,S4,catboost,13,0.2915625000000001,SP5_FROZEN_CORE
0,M01,S4,catboost,42,0.2854687499999999,SP5_FROZEN_CORE
0,M01,S4,catboost,2026,0.3421354166666666,SP5_FROZEN_CORE
0,M01,S4,catboost,3407,0.3118750000000001,SP5_FROZEN_CORE
0,M01,S4,catboost,7777,0.2891145833333334,SP5_FROZEN_CORE
0,M01,S4,lightgbm,13,0.3600520833333333,SP5_FROZEN_CORE
0,M01,S4,lightgbm,42,0.2770833333333333,SP5_FROZEN_CORE
0,M01,S4,lightgbm,2026,0.3521875000000001,SP5_FROZEN_CORE
0,M01,S4,lightgbm,3407,0.3521875000000001,SP5_FROZEN_CORE
0,M01,S4,lightgbm,7777,0.3048958333333332,SP5_FROZEN_CORE
0,M01,S4,lr,13,0.2728124999999999,SP5_FROZEN_CORE
0,M01,S4,lr,42,0.2072916666666666,SP5_FROZEN_CORE
0,M01,S4,lr,2026,0.2535416666666666,SP5_FROZEN_CORE
0,M01,S4,lr,3407,0.2678124999999999,SP5_FROZEN_CORE
0,M01,S4,lr,7777,0.2415624999999999,SP5_FROZEN_CORE
0,M01,S4,modernnca,13,0.2761458333333331,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,42,0.2564583333333332,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,2026,0.2458333333333331,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,3407,0.2746875,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,7777,0.27375,SP6_MODEL_EXPANSION
0,M01,S4,rf,13,0.3385416666666667,SP5_FROZEN_CORE
0,M01,S4,rf,42,0.2653125,SP5_FROZEN_CORE
0,M01,S4,rf,2026,0.3122916666666667,SP5_FROZEN_CORE
0,M01,S4,rf,3407,0.2988541666666665,SP5_FROZEN_CORE
0,M01,S4,rf,7777,0.2832291666666666,SP5_FROZEN_CORE
0,M01,S4,tabm,13,0.2582291666666668,SP5_FROZEN_CORE
0,M01,S4,tabm,42,0.2282291666666667,SP5_FROZEN_CORE
0,M01,S4,tabm,2026,0.2668749999999998,SP5_FROZEN_CORE
0,M01,S4,tabm,3407,0.2711458333333334,SP5_FROZEN_CORE
0,M01,S4,tabm,7777,0.2857291666666667,SP5_FROZEN_CORE
0,M01,S4,tabr,13,0.2789583333333333,SP6_MODEL_EXPANSION
0,M01,S4,tabr,42,0.2092708333333333,SP6_MODEL_EXPANSION
0,M01,S4,tabr,2026,0.2797916666666666,SP6_MODEL_EXPANSION
0,M01,S4,tabr,3407,0.3033333333333334,SP6_MODEL_EXPANSION
0,M01,S4,tabr,7777,0.2456249999999999,SP6_MODEL_EXPANSION
0,M01,S5,catboost,13,0.3420833333333334,SP5_FROZEN_CORE
0,M01,S5,catboost,42,0.4216666666666666,SP5_FROZEN_CORE
0,M01,S5,catboost,2026,0.3914583333333333,SP5_FROZEN_CORE
0,M01,S5,catboost,3407,0.3592708333333333,SP5_FROZEN_CORE
0,M01,S5,catboost,7777,0.3860416666666666,SP5_FROZEN_CORE
0,M01,S5,lightgbm,13,0.4053125000000001,SP5_FROZEN_CORE
0,M01,S5,lightgbm,42,0.4053125000000001,SP5_FROZEN_CORE
0,M01,S5,lightgbm,2026,0.4053125000000001,SP5_FROZEN_CORE
0,M01,S5,lightgbm,3407,0.4053125000000001,SP5_FROZEN_CORE
0,M01,S5,lightgbm,7777,0.4053125000000001,SP5_FROZEN_CORE
0,M01,S5,lr,13,0.3104166666666667,SP5_FROZEN_CORE
0,M01,S5,lr,42,0.3104166666666667,SP5_FROZEN_CORE
0,M01,S5,lr,2026,0.3104166666666667,SP5_FROZEN_CORE
0,M01,S5,lr,3407,0.3104166666666667,SP5_FROZEN_CORE
0,M01,S5,lr,7777,0.3104166666666667,SP5_FROZEN_CORE
0,M01,S5,modernnca,13,0.3054166666666665,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,42,0.3742708333333332,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,2026,0.3081249999999998,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,3407,0.3408333333333333,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,7777,0.3470833333333334,SP6_MODEL_EXPANSION
0,M01,S5,rf,13,0.3818749999999999,SP5_FROZEN_CORE
0,M01,S5,rf,42,0.3810416666666667,SP5_FROZEN_CORE
0,M01,S5,rf,2026,0.3712499999999999,SP5_FROZEN_CORE
0,M01,S5,rf,3407,0.3680208333333333,SP5_FROZEN_CORE
0,M01,S5,rf,7777,0.3741666666666666,SP5_FROZEN_CORE
0,M01,S5,tabm,13,0.2971875,SP5_FROZEN_CORE
0,M01,S5,tabm,42,0.3363541666666667,SP5_FROZEN_CORE
0,M01,S5,tabm,2026,0.3260416666666667,SP5_FROZEN_CORE
0,M01,S5,tabm,3407,0.3216666666666666,SP5_FROZEN_CORE
0,M01,S5,tabm,7777,0.3705208333333333,SP5_FROZEN_CORE
0,M01,S5,tabr,13,0.3215625,SP6_MODEL_EXPANSION
0,M01,S5,tabr,42,0.3307291666666666,SP6_MODEL_EXPANSION
0,M01,S5,tabr,2026,0.3439583333333333,SP6_MODEL_EXPANSION
0,M01,S5,tabr,3407,0.358125,SP6_MODEL_EXPANSION
0,M01,S5,tabr,7777,0.3514583333333333,SP6_MODEL_EXPANSION
0,M02,S1,catboost,13,0.0254166666666667,SP5_FROZEN_CORE
0,M02,S1,catboost,42,0.0737499999999999,SP5_FROZEN_CORE
0,M02,S1,catboost,2026,0.00890625,SP5_FROZEN_CORE
0,M02,S1,catboost,3407,0.0702083333333333,SP5_FROZEN_CORE
0,M02,S1,catboost,7777,0.1176041666666665,SP5_FROZEN_CORE
0,M02,S1,lightgbm,13,0.0676041666666666,SP5_FROZEN_CORE
0,M02,S1,lightgbm,42,0.0585416666666667,SP5_FROZEN_CORE
0,M02,S1,lightgbm,2026,0.0496875000000001,SP5_FROZEN_CORE
0,M02,S1,lightgbm,3407,0.1140625000000001,SP5_FROZEN_CORE
0,M02,S1,lightgbm,7777,0.1585416666666668,SP5_FROZEN_CORE
0,M02,S1,lr,13,0.0485416666666667,SP5_FROZEN_CORE
0,M02,S1,lr,42,0.0342708333333333,SP5_FROZEN_CORE
0,M02,S1,lr,2026,0.0172916666666667,SP5_FROZEN_CORE
0,M02,S1,lr,3407,0.0594791666666667,SP5_FROZEN_CORE
0,M02,S1,lr,7777,0.0934375,SP5_FROZEN_CORE
0,M02,S1,modernnca,13,0.0471874999999998,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,42,0.0783333333333332,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,2026,-0.0073958333333333,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,3407,0.0346874999999999,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,7777,0.1216666666666667,SP6_MODEL_EXPANSION
0,M02,S1,rf,13,0.0554166666666666,SP5_FROZEN_CORE
0,M02,S1,rf,42,0.0439583333333333,SP5_FROZEN_CORE
0,M02,S1,rf,2026,0.0276041666666665,SP5_FROZEN_CORE
0,M02,S1,rf,3407,0.0670833333333332,SP5_FROZEN_CORE
0,M02,S1,rf,7777,0.1147916666666667,SP5_FROZEN_CORE
0,M02,S1,tabm,13,0.02875,SP5_FROZEN_CORE
0,M02,S1,tabm,42,0.0364583333333333,SP5_FROZEN_CORE
0,M02,S1,tabm,2026,0.0254166666666667,SP5_FROZEN_CORE
0,M02,S1,tabm,3407,0.0535416666666666,SP5_FROZEN_CORE
0,M02,S1,tabm,7777,0.1454166666666666,SP5_FROZEN_CORE
0,M02,S1,tabr,13,0.0198958333333333,SP6_MODEL_EXPANSION
0,M02,S1,tabr,42,0.0053124999999999,SP6_MODEL_EXPANSION
0,M02,S1,tabr,2026,0.0227083333333334,SP6_MODEL_EXPANSION
0,M02,S1,tabr,3407,0.0813541666666668,SP6_MODEL_EXPANSION
0,M02,S1,tabr,7777,0.0966666666666666,SP6_MODEL_EXPANSION
0,M02,S2,catboost,13,0.1412500000000001,SP5_FROZEN_CORE
0,M02,S2,catboost,42,0.2124999999999999,SP5_FROZEN_CORE
0,M02,S2,catboost,2026,0.1726041666666666,SP5_FROZEN_CORE
0,M02,S2,catboost,3407,0.1648958333333333,SP5_FROZEN_CORE
0,M02,S2,catboost,7777,0.2209375,SP5_FROZEN_CORE
0,M02,S2,lightgbm,13,0.1673958333333334,SP5_FROZEN_CORE
0,M02,S2,lightgbm,42,0.1911458333333333,SP5_FROZEN_CORE
0,M02,S2,lightgbm,2026,0.1839583333333334,SP5_FROZEN_CORE
0,M02,S2,lightgbm,3407,0.2011458333333335,SP5_FROZEN_CORE
0,M02,S2,lightgbm,7777,0.2364583333333334,SP5_FROZEN_CORE
0,M02,S2,lr,13,0.1390624999999999,SP5_FROZEN_CORE
0,M02,S2,lr,42,0.1308333333333333,SP5_FROZEN_CORE
0,M02,S2,lr,2026,0.1128124999999999,SP5_FROZEN_CORE
0,M02,S2,lr,3407,0.1433333333333333,SP5_FROZEN_CORE
0,M02,S2,lr,7777,0.1729166666666667,SP5_FROZEN_CORE
0,M02,S2,modernnca,13,0.1266666666666666,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,42,0.1887499999999998,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,2026,0.1155208333333331,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,3407,0.1723958333333333,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,7777,0.1931250000000001,SP6_MODEL_EXPANSION
0,M02,S2,rf,13,0.1555208333333333,SP5_FROZEN_CORE
0,M02,S2,rf,42,0.1744791666666666,SP5_FROZEN_CORE
0,M02,S2,rf,2026,0.1376041666666666,SP5_FROZEN_CORE
0,M02,S2,rf,3407,0.1567708333333334,SP5_FROZEN_CORE
0,M02,S2,rf,7777,0.196875,SP5_FROZEN_CORE
0,M02,S2,tabm,13,0.1037500000000001,SP5_FROZEN_CORE
0,M02,S2,tabm,42,0.1544791666666667,SP5_FROZEN_CORE
0,M02,S2,tabm,2026,0.11375,SP5_FROZEN_CORE
0,M02,S2,tabm,3407,0.1386458333333333,SP5_FROZEN_CORE
0,M02,S2,tabm,7777,0.2120833333333333,SP5_FROZEN_CORE
0,M02,S2,tabr,13,0.1091666666666666,SP6_MODEL_EXPANSION
0,M02,S2,tabr,42,0.0944791666666667,SP6_MODEL_EXPANSION
0,M02,S2,tabr,2026,0.0943750000000001,SP6_MODEL_EXPANSION
0,M02,S2,tabr,3407,0.1675000000000001,SP6_MODEL_EXPANSION
0,M02,S2,tabr,7777,0.1898958333333332,SP6_MODEL_EXPANSION
0,M02,S3,catboost,13,0.2298958333333334,SP5_FROZEN_CORE
0,M02,S3,catboost,42,0.3034895833333333,SP5_FROZEN_CORE
0,M02,S3,catboost,2026,0.2710416666666667,SP5_FROZEN_CORE
0,M02,S3,catboost,3407,0.2515625,SP5_FROZEN_CORE
0,M02,S3,catboost,7777,0.2854166666666666,SP5_FROZEN_CORE
0,M02,S3,lightgbm,13,0.2817708333333333,SP5_FROZEN_CORE
0,M02,S3,lightgbm,42,0.295625,SP5_FROZEN_CORE
0,M02,S3,lightgbm,2026,0.2816666666666667,SP5_FROZEN_CORE
0,M02,S3,lightgbm,3407,0.2986458333333334,SP5_FROZEN_CORE
0,M02,S3,lightgbm,7777,0.3192708333333335,SP5_FROZEN_CORE
0,M02,S3,lr,13,0.2241666666666666,SP5_FROZEN_CORE
0,M02,S3,lr,42,0.2138541666666666,SP5_FROZEN_CORE
0,M02,S3,lr,2026,0.2055208333333333,SP5_FROZEN_CORE
0,M02,S3,lr,3407,0.2134374999999998,SP5_FROZEN_CORE
0,M02,S3,lr,7777,0.2352083333333334,SP5_FROZEN_CORE
0,M02,S3,modernnca,13,0.2109374999999999,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,42,0.2771874999999999,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,2026,0.2119791666666666,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,3407,0.1591666666666668,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,7777,0.2616666666666667,SP6_MODEL_EXPANSION
0,M02,S3,rf,13,0.2676041666666666,SP5_FROZEN_CORE
0,M02,S3,rf,42,0.2657291666666668,SP5_FROZEN_CORE
0,M02,S3,rf,2026,0.2373958333333332,SP5_FROZEN_CORE
0,M02,S3,rf,3407,0.2413541666666667,SP5_FROZEN_CORE
0,M02,S3,rf,7777,0.2752083333333335,SP5_FROZEN_CORE
0,M02,S3,tabm,13,0.1998958333333332,SP5_FROZEN_CORE
0,M02,S3,tabm,42,0.2428125000000003,SP5_FROZEN_CORE
0,M02,S3,tabm,2026,0.2203125,SP5_FROZEN_CORE
0,M02,S3,tabm,3407,0.2260416666666667,SP5_FROZEN_CORE
0,M02,S3,tabm,7777,0.2860416666666665,SP5_FROZEN_CORE
0,M02,S3,tabr,13,0.2105208333333332,SP6_MODEL_EXPANSION
0,M02,S3,tabr,42,0.1676041666666665,SP6_MODEL_EXPANSION
0,M02,S3,tabr,2026,0.1902083333333333,SP6_MODEL_EXPANSION
0,M02,S3,tabr,3407,0.2279166666666666,SP6_MODEL_EXPANSION
0,M02,S3,tabr,7777,0.2579166666666667,SP6_MODEL_EXPANSION
0,M02,S4,catboost,13,0.2880208333333334,SP5_FROZEN_CORE
0,M02,S4,catboost,42,0.3723958333333332,SP5_FROZEN_CORE
0,M02,S4,catboost,2026,0.3420833333333334,SP5_FROZEN_CORE
0,M02,S4,catboost,3407,0.2998958333333333,SP5_FROZEN_CORE
0,M02,S4,catboost,7777,0.3290104166666666,SP5_FROZEN_CORE
0,M02,S4,lightgbm,13,0.3433333333333335,SP5_FROZEN_CORE
0,M02,S4,lightgbm,42,0.3541666666666668,SP5_FROZEN_CORE
0,M02,S4,lightgbm,2026,0.3477083333333333,SP5_FROZEN_CORE
0,M02,S4,lightgbm,3407,0.3323958333333332,SP5_FROZEN_CORE
0,M02,S4,lightgbm,7777,0.3613541666666668,SP5_FROZEN_CORE
0,M02,S4,lr,13,0.2759375,SP5_FROZEN_CORE
0,M02,S4,lr,42,0.2655208333333333,SP5_FROZEN_CORE
0,M02,S4,lr,2026,0.2642708333333334,SP5_FROZEN_CORE
0,M02,S4,lr,3407,0.2598958333333334,SP5_FROZEN_CORE
0,M02,S4,lr,7777,0.2745833333333335,SP5_FROZEN_CORE
0,M02,S4,modernnca,13,0.2646874999999998,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,42,0.3302083333333332,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,2026,0.2656249999999999,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,3407,0.2908333333333333,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,7777,0.3071875,SP6_MODEL_EXPANSION
0,M02,S4,rf,13,0.3288541666666665,SP5_FROZEN_CORE
0,M02,S4,rf,42,0.3237500000000001,SP5_FROZEN_CORE
0,M02,S4,rf,2026,0.3098958333333333,SP5_FROZEN_CORE
0,M02,S4,rf,3407,0.3042708333333334,SP5_FROZEN_CORE
0,M02,S4,rf,7777,0.3283333333333332,SP5_FROZEN_CORE
0,M02,S4,tabm,13,0.2586458333333332,SP5_FROZEN_CORE
0,M02,S4,tabm,42,0.2936458333333335,SP5_FROZEN_CORE
0,M02,S4,tabm,2026,0.2832291666666666,SP5_FROZEN_CORE
0,M02,S4,tabm,3407,0.2717708333333333,SP5_FROZEN_CORE
0,M02,S4,tabm,7777,0.3321875000000001,SP5_FROZEN_CORE
0,M02,S4,tabr,13,0.2777083333333333,SP6_MODEL_EXPANSION
0,M02,S4,tabr,42,0.2457291666666666,SP6_MODEL_EXPANSION
0,M02,S4,tabr,2026,0.2571875,SP6_MODEL_EXPANSION
0,M02,S4,tabr,3407,0.280625,SP6_MODEL_EXPANSION
0,M02,S4,tabr,7777,0.2988541666666666,SP6_MODEL_EXPANSION
0,M02,S5,catboost,13,0.3239583333333334,SP5_FROZEN_CORE
0,M02,S5,catboost,42,0.4039583333333334,SP5_FROZEN_CORE
0,M02,S5,catboost,2026,0.3701041666666665,SP5_FROZEN_CORE
0,M02,S5,catboost,3407,0.3282291666666665,SP5_FROZEN_CORE
0,M02,S5,catboost,7777,0.3595833333333332,SP5_FROZEN_CORE
0,M02,S5,lightgbm,13,0.3929166666666667,SP5_FROZEN_CORE
0,M02,S5,lightgbm,42,0.376875,SP5_FROZEN_CORE
0,M02,S5,lightgbm,2026,0.3801041666666669,SP5_FROZEN_CORE
0,M02,S5,lightgbm,3407,0.3760416666666668,SP5_FROZEN_CORE
0,M02,S5,lightgbm,7777,0.3906250000000001,SP5_FROZEN_CORE
0,M02,S5,lr,13,0.3008333333333335,SP5_FROZEN_CORE
0,M02,S5,lr,42,0.2917708333333333,SP5_FROZEN_CORE
0,M02,S5,lr,2026,0.2954166666666666,SP5_FROZEN_CORE
0,M02,S5,lr,3407,0.2869791666666667,SP5_FROZEN_CORE
0,M02,S5,lr,7777,0.2959375000000001,SP5_FROZEN_CORE
0,M02,S5,modernnca,13,0.2932291666666665,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,42,0.3544791666666667,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,2026,0.2923958333333332,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,3407,0.3189583333333333,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,7777,0.3294791666666667,SP6_MODEL_EXPANSION
0,M02,S5,rf,13,0.3617708333333331,SP5_FROZEN_CORE
0,M02,S5,rf,42,0.3528125000000001,SP5_FROZEN_CORE
0,M02,S5,rf,2026,0.349375,SP5_FROZEN_CORE
0,M02,S5,rf,3407,0.3298958333333334,SP5_FROZEN_CORE
0,M02,S5,rf,7777,0.3542708333333334,SP5_FROZEN_CORE
0,M02,S5,tabm,13,0.2830208333333333,SP5_FROZEN_CORE
0,M02,S5,tabm,42,0.3177083333333333,SP5_FROZEN_CORE
0,M02,S5,tabm,2026,0.3098958333333335,SP5_FROZEN_CORE
0,M02,S5,tabm,3407,0.2978124999999998,SP5_FROZEN_CORE
0,M02,S5,tabm,7777,0.3552083333333333,SP5_FROZEN_CORE
0,M02,S5,tabr,13,0.3107291666666666,SP6_MODEL_EXPANSION
0,M02,S5,tabr,42,0.2861458333333333,SP6_MODEL_EXPANSION
0,M02,S5,tabr,2026,0.3001041666666667,SP6_MODEL_EXPANSION
0,M02,S5,tabr,3407,0.3143749999999999,SP6_MODEL_EXPANSION
0,M02,S5,tabr,7777,0.3178124999999999,SP6_MODEL_EXPANSION
0,M03,S1,catboost,13,0.1829166666666666,SP5_FROZEN_CORE
0,M03,S1,catboost,42,0.2761458333333334,SP5_FROZEN_CORE
0,M03,S1,catboost,2026,0.1324999999999999,SP5_FROZEN_CORE
0,M03,S1,catboost,3407,0.0993229166666667,SP5_FROZEN_CORE
0,M03,S1,catboost,7777,0.2241666666666666,SP5_FROZEN_CORE
0,M03,S1,lightgbm,13,0.1714583333333335,SP5_FROZEN_CORE
0,M03,S1,lightgbm,42,0.163125,SP5_FROZEN_CORE
0,M03,S1,lightgbm,2026,0.1157291666666667,SP5_FROZEN_CORE
0,M03,S1,lightgbm,3407,0.1339583333333334,SP5_FROZEN_CORE
0,M03,S1,lightgbm,7777,0.1709375,SP5_FROZEN_CORE
0,M03,S1,lr,13,-0.0085416666666666,SP5_FROZEN_CORE
0,M03,S1,lr,42,-0.0002083333333333,SP5_FROZEN_CORE
0,M03,S1,lr,2026,0.0065625,SP5_FROZEN_CORE
0,M03,S1,lr,3407,-0.0041666666666665,SP5_FROZEN_CORE
0,M03,S1,lr,7777,-0.0020833333333334,SP5_FROZEN_CORE
0,M03,S1,modernnca,13,0.1351041666666665,SP6_MODEL_EXPANSION
0,M03,S1,modernnca,42,0.1554166666666665,SP6_MODEL_EXPANSION
