dataset_index,legacy_sdr,directional_repair,same_side_residual,overcorrection,leak_recall,deletion_precision,legit_retention,introduced_distortion,learner,archetype
0,0.08022484945454543,0.08463510163636363,-0.08463510163636363,0.004311532727272745,0.2881287878787879,0.2007121212121212,0.05680885780885781,9.871945454545527e-05,LightGBM,linear
1,0.05540889109090914,0.11054029472727275,-0.11054029472727275,0.05464080254545452,0.35796212121212123,0.2063878787878788,0.051312834224598924,0.0004906010909090909,LightGBM,interaction
2,0.037975033454545386,0.0823312098181818,-0.08233120981818179,0.04399349418181822,0.4543712121212121,0.21103333333333335,0.051206060606060595,0.00036268218181818244,LightGBM,nonlinear
3,-0.06717334127272724,0.1096220330909091,-0.1096220330909091,0.17610998436363634,0.37315909090909094,0.15965454545454547,0.03702878787878787,0.0006853899999999999,LightGBM,sparse
4,0.0649057934545454,0.09444644036363635,-0.09444644036363635,0.029317473636363674,0.39478030303030304,0.23416666666666666,0.06495804195804196,0.00022317327272727255,LightGBM,drifting
5,0.08199972418181815,0.09083506218181817,-0.09083506218181817,0.008659875636363655,0.28165151515151515,0.17164848484848486,0.04329545454545455,0.00017546236363636327,LightGBM,linear
6,0.1130282821818182,0.12255411181818184,-0.12255411181818184,0.009461779090909093,0.4874545454545455,0.21944848484848486,0.05277705627705625,6.405054545454538e-05,LightGBM,interaction
7,0.06396335636363641,0.12806134127272728,-0.12806134127272728,0.06385296090909089,0.4162121212121212,0.17656969696969696,0.04094242424242425,0.000245024,LightGBM,nonlinear
8,0.013340912363636354,0.10853987090909091,-0.1085398709090909,0.09519895854545454,0.3444242424242424,0.21821212121212122,0.06106643356643359,0.0,LightGBM,sparse
9,0.13939070690909092,0.1389189961818182,-0.1389189961818182,-0.00047171072727272763,0.3835,0.2136151515151515,0.05268181818181819,0.0,LightGBM,drifting
10,0.08895456581818179,0.08769041509090908,-0.08769041509090908,-0.001242737818181796,0.5093333333333333,0.24098484848484847,0.058961038961038964,-2.141290909090901e-05,LightGBM,linear
11,0.13101939709090912,0.12734200563636366,-0.12734200563636364,-0.0036444883636363736,0.4474166666666667,0.1935939393939394,0.04501515151515153,-3.290309090909077e-05,LightGBM,interaction
12,0.05805660399999999,0.06743814036363636,-0.06743814036363636,0.009337883818181824,0.31855303030303034,0.21625757575757576,0.061164335664335684,4.3652545454545654e-05,LightGBM,nonlinear
13,-0.0887516909090909,0.04097070836363637,-0.04097070836363637,0.12972239927272725,0.36427272727272725,0.2031909090909091,0.050130347593582904,0.0,LightGBM,sparse
14,0.08113991054545454,0.12096422854545454,-0.12096422854545454,0.03982431800000001,0.42531060606060606,0.2023030303030303,0.049117748917748914,0.0,LightGBM,drifting
15,0.07904283854545459,0.09503513290909091,-0.09503513290909091,0.01597973327272725,0.47840151515151513,0.18792121212121213,0.04330454545454545,1.2561090909090733e-05,LightGBM,linear
16,0.0921674869090909,0.08133911745454547,-0.08133911745454547,-0.010687971818181811,0.3931818181818182,0.23387878787878785,0.0648939393939394,-0.00014039763636363638,LightGBM,interaction
17,0.06452378709090913,0.11694354472727275,-0.11694354472727275,0.05241975763636361,0.4390075757575757,0.24205454545454544,0.059435828877005346,0.0,LightGBM,nonlinear
18,-0.07382722454545457,0.09519906909090908,-0.09519906909090908,0.16902629363636365,0.43374242424242426,0.20387878787878788,0.049458874458874445,0.0,LightGBM,sparse
19,0.10698356563636362,0.11802985218181818,-0.11802985218181818,0.011046286545454564,0.46308333333333335,0.18278181818181818,0.04210000000000001,0.0,LightGBM,drifting
