legacy_sdr,directional_repair,same_side_residual,overcorrection,leak_recall,deletion_precision,legit_retention,directional_repair_fraction,introduced_distortion,n_keys,mechanism,mechanism_family,learner
"{'mean': 0.155295, 'ci_lo': 0.122025, 'ci_hi': 0.185098, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.169169, 'min_task': -0.017749, 'max_task': 0.272927}","{'mean': 0.184202, 'ci_lo': 0.164398, 'ci_hi': 0.203979, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.172936, 'min_task': 0.109112, 'max_task': 0.272948}","{'mean': -0.184202, 'ci_lo': -0.203979, 'ci_hi': -0.164398, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.172936, 'min_task': -0.272948, 'max_task': -0.109112}","{'mean': 0.028907, 'ci_lo': 0.012279, 'ci_hi': 0.050087, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.010453, 'min_task': -3.7e-05, 'max_task': 0.174048}","{'mean': 0.553746, 'ci_lo': 0.532108, 'ci_hi': 0.575375, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.562667, 'min_task': 0.466583, 'max_task': 0.638167}","{'mean': 0.532603, 'ci_lo': 0.51272, 'ci_hi': 0.552402, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.533233, 'min_task': 0.454067, 'max_task': 0.603833}","{'mean': 0.140328, 'ci_lo': 0.131396, 'ci_hi': 0.149324, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.139975, 'min_task': 0.109, 'max_task': 0.1725}","{'mean': 0.678073, 'ci_lo': 0.640807, 'ci_hi': 0.714906, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.687797, 'min_task': 0.53964, 'max_task': 0.79458}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M11,boundary,LR
"{'mean': 0.081497, 'ci_lo': 0.03904, 'ci_hi': 0.119866, 'P3_better_frac': 0.9999, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.119774, 'min_task': -0.10174, 'max_task': 0.211565}","{'mean': 0.143272, 'ci_lo': 0.128668, 'ci_hi': 0.158081, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.145035, 'min_task': 0.070346, 'max_task': 0.217863}","{'mean': -0.143272, 'ci_lo': -0.158081, 'ci_hi': -0.128668, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.145035, 'min_task': -0.217863, 'max_task': -0.070346}","{'mean': 0.061774, 'ci_lo': 0.031534, 'ci_hi': 0.095557, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.030977, 'min_task': -0.006337, 'max_task': 0.208203}","{'mean': 0.6935, 'ci_lo': 0.6655, 'ci_hi': 0.7215, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.69, 'min_task': 0.58, 'max_task': 0.8}","{'mean': 0.192333, 'ci_lo': 0.175642, 'ci_hi': 0.208983, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.190417, 'min_task': 0.126, 'max_task': 0.266667}","{'mean': 0.040702, 'ci_lo': 0.036665, 'ci_hi': 0.044871, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.0375, 'min_task': 0.02625, 'max_task': 0.0575}","{'mean': 0.567752, 'ci_lo': 0.397086, 'ci_hi': 0.718041, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.9, 'median_task': 0.670626, 'min_task': -0.39437, 'max_task': 1.097913}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M01,simple,RF
"{'mean': 0.097119, 'ci_lo': 0.053975, 'ci_hi': 0.13656, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.122146, 'min_task': -0.087491, 'max_task': 0.237747}","{'mean': 0.161274, 'ci_lo': 0.145101, 'ci_hi': 0.177546, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.164789, 'min_task': 0.082276, 'max_task': 0.246328}","{'mean': -0.161274, 'ci_lo': -0.177546, 'ci_hi': -0.145101, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.164789, 'min_task': -0.246328, 'max_task': -0.082276}","{'mean': 0.064155, 'ci_lo': 0.032748, 'ci_hi': 0.099205, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.032843, 'min_task': -0.013597, 'max_task': 0.222549}","{'mean': 0.7655, 'ci_lo': 0.742, 'ci_hi': 0.787, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.765, 'min_task': 0.63, 'max_task': 0.84}","{'mean': 0.212633, 'ci_lo': 0.194441, 'ci_hi': 0.230525, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.20875, 'min_task': 0.148, 'max_task': 0.28}","{'mean': 0.045135, 'ci_lo': 0.040404, 'ci_hi': 0.050063, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.041, 'min_task': 0.030833, 'max_task': 0.063333}","{'mean': 0.702442, 'ci_lo': 0.643416, 'ci_hi': 0.749374, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.73284, 'min_task': 0.276113, 'max_task': 0.860266}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M02,simple,RF
"{'mean': -0.022048, 'ci_lo': -0.049256, 'ci_hi': 0.007234, 'P3_better_frac': 0.0682, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.028858, 'min_task': -0.128849, 'max_task': 0.120689}","{'mean': 0.029442, 'ci_lo': -0.018196, 'ci_hi': 0.07852, 'P3_better_frac': 0.8835, 'n_tasks': 20, 'positive_task_frac': 0.45, 'median_task': -0.012266, 'min_task': -0.134461, 'max_task': 0.187323}","{'mean': -0.029442, 'ci_lo': -0.07852, 'ci_hi': 0.018196, 'P3_better_frac': 0.1164, 'n_tasks': 20, 'positive_task_frac': 0.55, 'median_task': 0.012266, 'min_task': -0.187323, 'max_task': 0.134461}","{'mean': 0.05149, 'ci_lo': 0.018994, 'ci_hi': 0.087928, 'P3_better_frac': 0.9997, 'n_tasks': 20, 'positive_task_frac': 0.45, 'median_task': -0.001768, 'min_task': -0.028, 'max_task': 0.223301}","{'mean': -0.1105, 'ci_lo': -0.162, 'ci_hi': -0.053, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.145, 'min_task': -0.27, 'max_task': 0.22}","{'mean': -0.033333, 'ci_lo': -0.050275, 'ci_hi': -0.01495, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.038, 'min_task': -0.09, 'max_task': 0.073333}","{'mean': -0.007073, 'ci_lo': -0.01101, 'ci_hi': -0.002854, 'P3_better_frac': 0.0008, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.0075, 'min_task': -0.0225, 'max_task': 0.018333}","{'mean': 0.134884, 'ci_lo': -0.064976, 'ci_hi': 0.339957, 'P3_better_frac': 0.9035, 'n_tasks': 20, 'positive_task_frac': 0.5, 'median_task': 0.065598, 'min_task': -0.633629, 'max_task': 0.722838}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M03,simple,RF
"{'mean': -0.054039, 'ci_lo': -0.086269, 'ci_hi': -0.025161, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.35, 'median_task': -0.036148, 'min_task': -0.198409, 'max_task': 0.032944}","{'mean': -0.033602, 'ci_lo': -0.055182, 'ci_hi': -0.014584, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.019691, 'min_task': -0.146618, 'max_task': 0.018586}","{'mean': 0.033602, 'ci_lo': 0.014584, 'ci_hi': 0.055182, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.7, 'median_task': 0.019691, 'min_task': -0.018586, 'max_task': 0.146618}","{'mean': 0.020437, 'ci_lo': 0.00901, 'ci_hi': 0.032982, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.65, 'median_task': 0.012577, 'min_task': -0.014358, 'max_task': 0.084288}","{'mean': -0.0925, 'ci_lo': -0.119, 'ci_hi': -0.067488, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.09, 'min_task': -0.25, 'max_task': 0.03}","{'mean': -0.026867, 'ci_lo': -0.035808, 'ci_hi': -0.018742, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.022917, 'min_task': -0.083333, 'max_task': 0.006}","{'mean': -0.005673, 'ci_lo': -0.007537, 'ci_hi': -0.003962, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.005208, 'min_task': -0.015625, 'max_task': 0.00125}","{'mean': -9.622884, 'ci_lo': -17.138585, 'ci_hi': -3.193747, 'P3_better_frac': 0.0004, 'n_tasks': 20, 'positive_task_frac': 0.35, 'median_task': -1.58523, 'min_task': -47.431979, 'max_task': 8.985836}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M04,structured,RF
"{'mean': -0.05358, 'ci_lo': -0.085553, 'ci_hi': -0.024729, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.03381, 'min_task': -0.202243, 'max_task': 0.033529}","{'mean': -0.02695, 'ci_lo': -0.043801, 'ci_hi': -0.012098, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.014711, 'min_task': -0.114525, 'max_task': 0.017926}","{'mean': 0.02695, 'ci_lo': 0.012098, 'ci_hi': 0.043801, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.7, 'median_task': 0.014711, 'min_task': -0.017926, 'max_task': 0.114525}","{'mean': 0.0265, 'ci_lo': 0.010574, 'ci_hi': 0.045083, 'P3_better_frac': 0.9999, 'n_tasks': 20, 'positive_task_frac': 0.6, 'median_task': 0.013872, 'min_task': -0.015603, 'max_task': 0.137878}","{'mean': -0.0925, 'ci_lo': -0.135, 'ci_hi': -0.043488, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.105, 'min_task': -0.23, 'max_task': 0.23}","{'mean': -0.0281, 'ci_lo': -0.041425, 'ci_hi': -0.013758, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.030417, 'min_task': -0.076667, 'max_task': 0.0575}","{'mean': -0.00619, 'ci_lo': -0.009171, 'ci_hi': -0.003079, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.006875, 'min_task': -0.019167, 'max_task': 0.0115}","{'mean': 0.990531, 'ci_lo': -61.894013, 'ci_hi': 77.355459, 'P3_better_frac': 0.4794, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -3.021313, 'min_task': -368.01385, 'max_task': 577.691785}","{'mean': 0.000131, 'ci_lo': 0.0, 'ci_hi': 0.000361, 'P3_better_frac': 0.8753, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.001996}",500,M05,structured,RF
"{'mean': 0.121764, 'ci_lo': 0.093198, 'ci_hi': 0.150514, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.118053, 'min_task': 0.014924, 'max_task': 0.256477}","{'mean': 0.152672, 'ci_lo': 0.130585, 'ci_hi': 0.17492, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.156881, 'min_task': 0.061064, 'max_task': 0.258133}","{'mean': -0.152672, 'ci_lo': -0.17492, 'ci_hi': -0.130585, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.156881, 'min_task': -0.258133, 'max_task': -0.061064}","{'mean': 0.030908, 'ci_lo': 0.016474, 'ci_hi': 0.047358, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.016465, 'min_task': -0.001662, 'max_task': 0.127314}","{'mean': 0.678613, 'ci_lo': 0.648854, 'ci_hi': 0.707438, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.691833, 'min_task': 0.575417, 'max_task': 0.768583}","{'mean': 0.548875, 'ci_lo': 0.537302, 'ci_hi': 0.559718, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.555533, 'min_task': 0.502533, 'max_task': 0.5803}","{'mean': 0.14302, 'ci_lo': 0.136662, 'ci_hi': 0.149392, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.142712, 'min_task': 0.121667, 'max_task': 0.164833}","{'mean': 0.548233, 'ci_lo': 0.496596, 'ci_hi': 0.601076, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.536784, 'min_task': 0.368846, 'max_task': 0.735156}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M06,boundary,RF
"{'mean': 0.028602, 'ci_lo': -0.010761, 'ci_hi': 0.06369, 'P3_better_frac': 0.9254, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.062, 'min_task': -0.14464, 'max_task': 0.129793}","{'mean': 0.089383, 'ci_lo': 0.079163, 'ci_hi': 0.099173, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.091995, 'min_task': 0.039241, 'max_task': 0.13604}","{'mean': -0.089383, 'ci_lo': -0.099173, 'ci_hi': -0.079163, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.091995, 'min_task': -0.13604, 'max_task': -0.039241}","{'mean': 0.060781, 'ci_lo': 0.030785, 'ci_hi': 0.094825, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.033029, 'min_task': -0.007607, 'max_task': 0.217311}","{'mean': 0.6495, 'ci_lo': 0.6135, 'ci_hi': 0.687, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.64, 'min_task': 0.51, 'max_task': 0.83}","{'mean': 0.178967, 'ci_lo': 0.1645, 'ci_hi': 0.193783, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.177083, 'min_task': 0.118, 'max_task': 0.256667}","{'mean': 0.037902, 'ci_lo': 0.034242, 'ci_hi': 0.041688, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.03525, 'min_task': 0.024583, 'max_task': 0.054167}","{'mean': 0.19175, 'ci_lo': -0.752023, 'ci_hi': 1.030223, 'P3_better_frac': 0.6802, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.618935, 'min_task': -5.359053, 'max_task': 4.255113}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M07,boundary,RF
"{'mean': -0.049196, 'ci_lo': -0.079584, 'ci_hi': -0.021964, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.030846, 'min_task': -0.181919, 'max_task': 0.02086}","{'mean': -0.020018, 'ci_lo': -0.035806, 'ci_hi': -0.006645, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.00392, 'min_task': -0.117099, 'max_task': 0.010549}","{'mean': 0.020018, 'ci_lo': 0.006645, 'ci_hi': 0.035806, 'P3_better_frac': 0.9997, 'n_tasks': 20, 'positive_task_frac': 0.7, 'median_task': 0.00392, 'min_task': -0.010549, 'max_task': 0.117099}","{'mean': 0.029178, 'ci_lo': 0.012776, 'ci_hi': 0.047601, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.009222, 'min_task': -0.014681, 'max_task': 0.117243}","{'mean': 0.3375, 'ci_lo': 0.2205, 'ci_hi': 0.4565, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.325, 'min_task': -0.07, 'max_task': 0.83}","{'mean': 0.087867, 'ci_lo': 0.058524, 'ci_hi': 0.117259, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.098333, 'min_task': -0.023333, 'max_task': 0.2075}","{'mean': 0.018402, 'ci_lo': 0.012035, 'ci_hi': 0.024817, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.021875, 'min_task': -0.005833, 'max_task': 0.046667}","{'mean': -7.374227, 'ci_lo': -15.248159, 'ci_hi': -2.245727, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -2.432248, 'min_task': -71.426322, 'max_task': 1.619666}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M08,structured,RF
"{'mean': 0.167152, 'ci_lo': 0.144237, 'ci_hi': 0.188071, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.179746, 'min_task': 0.059841, 'max_task': 0.242478}","{'mean': 0.186032, 'ci_lo': 0.17175, 'ci_hi': 0.199436, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.184898, 'min_task': 0.104056, 'max_task': 0.244247}","{'mean': -0.186032, 'ci_lo': -0.199436, 'ci_hi': -0.17175, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.184898, 'min_task': -0.244247, 'max_task': -0.104056}","{'mean': 0.01888, 'ci_lo': 0.006407, 'ci_hi': 0.034066, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.002489, 'min_task': -0.002735, 'max_task': 0.102337}","{'mean': 0.260812, 'ci_lo': 0.2325, 'ci_hi': 0.292312, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.2475, 'min_task': 0.1625, 'max_task': 0.455}","{'mean': 0.397925, 'ci_lo': 0.364575, 'ci_hi': 0.433158, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.386667, 'min_task': 0.248333, 'max_task': 0.606667}","{'mean': 0.119467, 'ci_lo': 0.107385, 'ci_hi': 0.1318, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.120312, 'min_task': 0.062083, 'max_task': 0.182}","{'mean': 0.695326, 'ci_lo': 0.644763, 'ci_hi': 0.743732, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.711113, 'min_task': 0.483049, 'max_task': 0.851864}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M09,structured,RF
"{'mean': 0.115311, 'ci_lo': 0.069309, 'ci_hi': 0.155582, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.137729, 'min_task': -0.102587, 'max_task': 0.263877}","{'mean': 0.177894, 'ci_lo': 0.160372, 'ci_hi': 0.19588, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.174415, 'min_task': 0.106233, 'max_task': 0.273717}","{'mean': -0.177894, 'ci_lo': -0.19588, 'ci_hi': -0.160372, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.174415, 'min_task': -0.273717, 'max_task': -0.106233}","{'mean': 0.062583, 'ci_lo': 0.032808, 'ci_hi': 0.097344, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.036812, 'min_task': -0.003855, 'max_task': 0.232387}","{'mean': 0.786, 'ci_lo': 0.761, 'ci_hi': 0.809, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.8, 'min_task': 0.64, 'max_task': 0.88}","{'mean': 0.202158, 'ci_lo': 0.186925, 'ci_hi': 0.218367, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.2, 'min_task': 0.148, 'max_task': 0.27}","{'mean': 0.043592, 'ci_lo': 0.039318, 'ci_hi': 0.048173, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.039524, 'min_task': 0.0296, 'max_task': 0.062308}","{'mean': -0.729943, 'ci_lo': -3.664119, 'ci_hi': 0.754127, 'P3_better_frac': 0.3579, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.739986, 'min_task': -28.412246, 'max_task': 0.834215}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M10,boundary,RF
"{'mean': 0.1696, 'ci_lo': 0.138629, 'ci_hi': 0.199268, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.175853, 'min_task': 0.038945, 'max_task': 0.291088}","{'mean': 0.201022, 'ci_lo': 0.17997, 'ci_hi': 0.221612, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.196894, 'min_task': 0.099536, 'max_task': 0.292191}","{'mean': -0.201022, 'ci_lo': -0.221612, 'ci_hi': -0.17997, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.196894, 'min_task': -0.292191, 'max_task': -0.099536}","{'mean': 0.031423, 'ci_lo': 0.016384, 'ci_hi': 0.049102, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.01582, 'min_task': -0.000289, 'max_task': 0.132956}","{'mean': 0.553746, 'ci_lo': 0.532108, 'ci_hi': 0.575375, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.562667, 'min_task': 0.466583, 'max_task': 0.638167}","{'mean': 0.532603, 'ci_lo': 0.51272, 'ci_hi': 0.552402, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.533233, 'min_task': 0.454067, 'max_task': 0.603833}","{'mean': 0.140328, 'ci_lo': 0.131396, 'ci_hi': 0.149324, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.139975, 'min_task': 0.109, 'max_task': 0.1725}","{'mean': 0.651802, 'ci_lo': 0.529432, 'ci_hi': 0.736375, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.728369, 'min_task': -0.316212, 'max_task': 0.950786}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M11,boundary,RF
"{'mean': 0.079251, 'ci_lo': 0.037851, 'ci_hi': 0.116263, 'P3_better_frac': 0.9998, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.100686, 'min_task': -0.113809, 'max_task': 0.236954}","{'mean': 0.145432, 'ci_lo': 0.131667, 'ci_hi': 0.160393, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.147672, 'min_task': 0.087923, 'max_task': 0.236577}","{'mean': -0.145432, 'ci_lo': -0.160393, 'ci_hi': -0.131667, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.147672, 'min_task': -0.236577, 'max_task': -0.087923}","{'mean': 0.066181, 'ci_lo': 0.035484, 'ci_hi': 0.100107, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.040749, 'min_task': -0.01043, 'max_task': 0.230025}","{'mean': 0.6935, 'ci_lo': 0.6655, 'ci_hi': 0.7215, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.69, 'min_task': 0.58, 'max_task': 0.8}","{'mean': 0.192333, 'ci_lo': 0.175642, 'ci_hi': 0.208983, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.190417, 'min_task': 0.126, 'max_task': 0.266667}","{'mean': 0.040702, 'ci_lo': 0.036665, 'ci_hi': 0.044871, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.0375, 'min_task': 0.02625, 'max_task': 0.0575}","{'mean': -0.072302, 'ci_lo': -1.733159, 'ci_hi': 0.863845, 'P3_better_frac': 0.4479, 'n_tasks': 20, 'positive_task_frac': 0.9, 'median_task': 0.694018, 'min_task': -14.801197, 'max_task': 2.299011}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M01,simple,LightGBM
