FR_category,learner,dataset_index,mechanism,strength,training_seed,archetype,delta_legacy_sdr,p3_legacy_sdr,delta_overcorrection,p3_overcorrection
FR2,LR,0,M01,S1,7777,linear,0.026219,0.024792,-0.012594,0.0
FR2,LR,15,M10,S1,7777,linear,0.026144,0.034962,-0.005331,0.0
FR2,LR,4,M02,S1,13,drifting,0.02605,0.050125,-0.005679,0.0
FR2,LR,9,M01,S1,42,drifting,0.02478,0.022253,-0.003605,0.000947
FR2,LR,14,M01,S1,42,drifting,0.023081,0.030935,0.005404,0.011271
FR2,LR,7,M02,S1,7777,nonlinear,0.022716,0.033752,0.0,0.0
FR2,LR,9,M01,S1,13,drifting,0.021959,0.032756,-0.001933,0.0
FR2,LR,0,M01,S1,13,linear,0.021683,0.017604,-0.014495,0.0
FR2,LR,0,M01,S1,2026,linear,0.020781,0.026562,-0.011136,0.0
FR2,LR,4,M01,S1,2026,drifting,0.020112,0.033485,0.004749,0.006278
FR2,LR,9,M08,S4,3407,drifting,0.019021,0.007834,0.002357,0.008695
FR2,LR,14,M02,S1,2026,drifting,0.018774,0.039077,-0.003931,0.0
FR2,LR,0,M11,S1,42,linear,0.018287,0.016771,-0.013391,0.0
FR2,LR,16,M08,S1,42,interaction,0.017925,0.005902,-0.012147,0.00797
FR2,LR,1,M01,S1,7777,interaction,0.015396,0.012185,-0.003211,0.0
FR3,LR,0,M04,S1,3407,linear,0.017266,-0.026979,0.0,0.0
FR3,LR,6,M04,S2,2026,interaction,0.015731,-0.005311,-0.020352,0.0
FR3,LR,6,M04,S3,2026,interaction,0.015472,-0.006001,-0.020376,0.0
FR3,LR,6,M04,S4,2026,interaction,0.014844,-0.006415,-0.020256,0.0
FR3,LR,6,M04,S4,7777,interaction,0.012929,-0.008623,-0.019218,0.0
FR3,LR,6,M04,S2,7777,interaction,0.01275,-0.009106,0.0,0.0
FR3,LR,6,M04,S5,7777,interaction,0.012712,-0.008554,-0.019173,0.0
FR3,LR,6,M04,S1,2026,interaction,0.012547,-0.008899,-0.020318,0.0
FR3,LR,6,M05,S1,2026,interaction,0.012481,-0.00883,-0.020221,0.0
FR3,LR,10,M03,S2,42,linear,0.01242,-0.012442,-0.01242,0.012587
FR3,LR,6,M04,S3,7777,interaction,0.012399,-0.009105,-0.019356,0.0
FR3,LR,6,M05,S5,2026,interaction,0.012398,-0.009037,-0.019959,0.0
FR3,LR,10,M04,S5,42,linear,0.012363,-0.010416,-0.012363,0.010995
FR3,LR,10,M03,S1,42,linear,0.012145,-0.012804,-0.012145,0.013021
FR3,LR,10,M04,S4,42,linear,0.012098,-0.010995,-0.012098,0.011791
FR3,LR,6,M03,S5,2026,interaction,0.011805,-0.007657,-0.019076,0.0
FR3,LR,6,M03,S4,2026,interaction,0.011736,-0.00676,-0.018976,0.0
FR3,LR,6,M03,S2,2026,interaction,0.011729,-0.007174,-0.0188,0.0
FR3,LR,6,M08,S1,2026,interaction,0.011726,-0.00745,-0.019311,0.0
FR3,LR,6,M03,S3,2026,interaction,0.011591,-0.006209,-0.018811,0.0
FR4,LR,1,M11,S3,42,interaction,0.414654,0.418115,0.010716,0.010716
FR4,LR,9,M01,S5,2026,drifting,0.385674,0.385674,0.027678,0.027678
FR4,LR,9,M11,S3,2026,drifting,0.381209,0.387569,0.023416,0.023416
FR4,LR,1,M11,S2,3407,interaction,0.379947,0.390028,0.037507,0.037507
FR4,LR,1,M11,S3,13,interaction,0.369645,0.388905,0.034914,0.034914
FR4,LR,9,M11,S2,3407,drifting,0.368093,0.38378,0.027678,0.027678
FR4,LR,9,M11,S3,13,drifting,0.367986,0.385201,0.021694,0.021694
FR4,LR,11,M01,S5,3407,interaction,0.3665,0.406129,0.000669,0.001837
FR4,LR,11,M09,S4,7777,interaction,0.363662,0.3768,0.003444,0.003444
FR4,LR,9,M02,S5,2026,drifting,0.357581,0.357954,0.027678,0.027678
FR4,LR,1,M11,S2,7777,interaction,0.354374,0.375768,0.005185,0.005185
FR4,LR,6,M11,S4,2026,interaction,0.345479,0.347383,0.001448,0.001448
FR4,LR,11,M02,S5,3407,interaction,0.342526,0.37967,0.000669,0.001837
FR4,LR,1,M11,S3,2026,interaction,0.339907,0.369718,0.057039,0.057039
FR4,LR,6,M11,S4,13,interaction,0.338667,0.339243,0.009588,0.009588
FR4,LR,11,M10,S5,7777,interaction,0.337026,0.395053,0.000677,0.001779
FR4,LR,14,M09,S4,7777,drifting,0.333741,0.352938,0.000177,0.000177
FR4,LR,1,M01,S5,7777,interaction,0.333606,0.394781,0.031617,0.034828
FR4,LR,1,M01,S5,42,interaction,0.332379,0.394781,0.032875,0.034828
FR4,LR,2,M11,S4,13,nonlinear,0.331356,0.331377,0.000283,0.000283
FR5,LR,9,M09,S1,2026,drifting,0.064447,0.086561,0.0,0.0
FR5,LR,14,M01,S1,7777,drifting,0.045108,0.040038,-0.000258,0.007289
FR5,LR,14,M09,S1,3407,drifting,0.037461,0.052767,0.0,0.0
FR5,LR,4,M02,S1,2026,drifting,0.034552,0.051555,-0.00122,0.0
FR5,LR,13,M09,S1,2026,sparse,0.034551,0.044905,-0.001787,0.009445
FR5,LR,14,M01,S1,3407,drifting,0.034174,0.041744,0.003635,0.004942
FR5,LR,14,M01,S1,13,drifting,0.033326,0.04626,-0.001202,0.0048
FR5,LR,14,M09,S1,2026,drifting,0.028625,0.037477,0.0,0.0
FR5,LR,1,M01,S1,42,interaction,0.02788,0.031803,-0.001953,0.0
FR5,LR,0,M01,S1,7777,linear,0.026219,0.024792,-0.012594,0.0
FR5,LR,15,M10,S1,7777,linear,0.026144,0.034962,-0.005331,0.0
FR5,LR,4,M02,S1,13,drifting,0.02605,0.050125,-0.005679,0.0
FR5,LR,9,M01,S1,42,drifting,0.02478,0.022253,-0.003605,0.000947
FR5,LR,14,M01,S1,42,drifting,0.023081,0.030935,0.005404,0.011271
FR5,LR,4,M09,S1,7777,drifting,0.022916,0.043949,0.0,0.0
FR5,LR,7,M02,S1,7777,nonlinear,0.022716,0.033752,0.0,0.0
FR5,LR,9,M01,S1,13,drifting,0.021959,0.032756,-0.001933,0.0
FR5,LR,0,M01,S1,13,linear,0.021683,0.017604,-0.014495,0.0
FR5,LR,0,M08,S3,3407,linear,0.021282,-0.016979,-0.015521,0.021354
FR5,LR,0,M05,S3,3407,linear,0.020812,-0.021251,-0.015765,0.023438
FR1,RF,17,M03,S3,13,nonlinear,0.209629,0.290273,0.04815,0.051061
FR1,RF,17,M03,S5,13,nonlinear,0.209566,0.289983,0.04927,0.052323
FR1,RF,17,M03,S4,13,nonlinear,0.209411,0.289817,0.04927,0.052323
FR1,RF,1,M03,S5,7777,interaction,0.207076,0.30248,0.056007,0.058422
FR1,RF,1,M03,S4,7777,interaction,0.206356,0.302783,0.055419,0.05799
FR1,RF,1,M03,S5,3407,interaction,0.188065,0.269596,0.0504,0.0592
FR1,RF,1,M03,S4,3407,interaction,0.184105,0.264584,0.050121,0.05894
FR1,RF,1,M03,S3,7777,interaction,0.179581,0.260263,0.065113,0.066632
FR1,RF,1,M03,S4,13,interaction,0.16336,0.242113,0.059306,0.070176
FR1,RF,1,M03,S3,3407,interaction,0.16271,0.247213,0.052684,0.061663
FR1,RF,1,M03,S5,13,interaction,0.161727,0.238527,0.060948,0.071818
FR1,RF,17,M03,S2,13,nonlinear,0.158701,0.239604,0.07603,0.079364
FR1,RF,1,M03,S5,42,interaction,0.153066,0.235806,0.081129,0.088756
FR1,RF,1,M03,S4,42,interaction,0.152668,0.238095,0.080847,0.088238
FR1,RF,1,M03,S2,7777,interaction,0.151776,0.237318,0.040899,0.043989
FR1,RF,1,M03,S3,42,interaction,0.151591,0.240602,0.077838,0.085126
FR1,RF,1,M03,S3,13,interaction,0.148598,0.218909,0.061529,0.072768
FR1,RF,7,M03,S5,3407,nonlinear,0.147012,0.223171,0.106381,0.110587
FR1,RF,7,M03,S4,3407,nonlinear,0.14656,0.224586,0.106029,0.110241
FR1,RF,7,M03,S5,42,nonlinear,0.143426,0.248627,0.082747,0.094868
FR2,RF,17,M03,S3,13,nonlinear,0.209629,0.290273,0.04815,0.051061
FR2,RF,17,M03,S5,13,nonlinear,0.209566,0.289983,0.04927,0.052323
FR2,RF,17,M03,S4,13,nonlinear,0.209411,0.289817,0.04927,0.052323
FR2,RF,1,M03,S5,7777,interaction,0.207076,0.30248,0.056007,0.058422
FR2,RF,1,M03,S4,7777,interaction,0.206356,0.302783,0.055419,0.05799
FR2,RF,1,M03,S5,3407,interaction,0.188065,0.269596,0.0504,0.0592
FR2,RF,1,M03,S4,3407,interaction,0.184105,0.264584,0.050121,0.05894
FR2,RF,1,M03,S3,7777,interaction,0.179581,0.260263,0.065113,0.066632
FR2,RF,1,M03,S4,13,interaction,0.16336,0.242113,0.059306,0.070176
FR2,RF,1,M03,S3,3407,interaction,0.16271,0.247213,0.052684,0.061663
FR2,RF,1,M03,S5,13,interaction,0.161727,0.238527,0.060948,0.071818
FR2,RF,17,M03,S2,13,nonlinear,0.158701,0.239604,0.07603,0.079364
FR2,RF,1,M03,S5,42,interaction,0.153066,0.235806,0.081129,0.088756
FR2,RF,1,M03,S4,42,interaction,0.152668,0.238095,0.080847,0.088238
FR2,RF,1,M03,S2,7777,interaction,0.151776,0.237318,0.040899,0.043989
FR2,RF,1,M03,S3,42,interaction,0.151591,0.240602,0.077838,0.085126
FR2,RF,1,M03,S3,13,interaction,0.148598,0.218909,0.061529,0.072768
FR2,RF,7,M03,S5,3407,nonlinear,0.147012,0.223171,0.106381,0.110587
FR2,RF,7,M03,S4,3407,nonlinear,0.14656,0.224586,0.106029,0.110241
FR2,RF,7,M03,S5,42,nonlinear,0.143426,0.248627,0.082747,0.094868
FR3,RF,16,M05,S3,7777,interaction,0.047302,0.015284,-0.050847,0.0
FR3,RF,16,M04,S3,3407,interaction,0.046722,-0.003884,-0.053679,0.0
FR3,RF,16,M08,S1,3407,interaction,0.046467,-0.008727,-0.054259,0.0
FR3,RF,16,M07,S1,42,interaction,0.040043,-0.002396,-0.0413,0.0
FR3,RF,10,M05,S3,13,linear,0.039712,0.008102,-0.039712,0.000217
FR3,RF,12,M07,S2,13,nonlinear,0.038881,0.003067,-0.039143,0.0
FR3,RF,10,M08,S2,13,linear,0.035019,0.007125,-0.035019,0.000217
FR3,RF,16,M04,S4,7777,interaction,0.034904,0.025197,-0.046913,0.0
FR3,RF,16,M05,S4,7777,interaction,0.034898,0.013746,-0.047217,0.0
FR3,RF,16,M11,S1,42,interaction,0.034006,0.008752,-0.035141,0.0
FR3,RF,16,M05,S5,7777,interaction,0.031084,-0.001993,-0.044826,0.0
FR3,RF,16,M08,S4,2026,interaction,0.029692,-0.001488,-0.029692,0.005448
FR3,RF,10,M07,S1,2026,linear,0.027964,0.003942,-0.037543,0.0
FR3,RF,16,M04,S5,7777,interaction,0.027271,0.020051,-0.045012,0.0
FR3,RF,12,M01,S2,3407,nonlinear,0.026836,0.010991,-0.026952,0.0
FR3,RF,19,M05,S1,13,drifting,0.026729,0.000951,-0.026729,0.008274
FR3,RF,16,M04,S3,7777,interaction,0.026702,-0.012157,-0.049112,0.0
FR3,RF,16,M05,S2,7777,interaction,0.026677,0.015638,-0.044326,0.0
FR3,RF,16,M01,S1,42,interaction,0.02541,0.008928,-0.028399,0.0
FR3,RF,12,M09,S1,3407,nonlinear,0.024526,0.011353,-0.02461,0.0
FR4,RF,9,M11,S3,2026,drifting,0.463308,0.47157,0.010438,0.010438
FR4,RF,11,M11,S4,2026,interaction,0.429634,0.429691,0.015095,0.015095
FR4,RF,11,M11,S4,7777,interaction,0.408045,0.408425,0.000316,0.000316
FR4,RF,6,M11,S4,7777,interaction,0.405836,0.405843,0.007208,0.007208
FR4,RF,14,M11,S4,2026,drifting,0.39452,0.39452,0.002525,0.002525
FR4,RF,9,M10,S5,2026,drifting,0.387636,0.426566,0.003371,0.006328
FR4,RF,11,M06,S3,7777,interaction,0.386681,0.391781,0.016329,0.016329
FR4,RF,6,M10,S5,3407,interaction,0.381132,0.398014,0.006231,0.006898
FR4,RF,5,M11,S3,13,linear,0.380955,0.394658,0.003333,0.003333
FR4,RF,14,M11,S3,3407,drifting,0.380634,0.383695,0.015413,0.015413
FR4,RF,5,M11,S2,3407,linear,0.378581,0.390598,0.010171,0.010171
FR4,RF,14,M06,S3,2026,drifting,0.378255,0.384671,0.009832,0.009832
FR4,RF,14,M06,S3,3407,drifting,0.378172,0.382379,0.015413,0.015413
FR4,RF,9,M10,S5,42,drifting,0.374226,0.417657,0.022033,0.023394
FR4,RF,14,M11,S4,13,drifting,0.372814,0.373009,0.008,0.008
FR4,RF,11,M01,S5,2026,interaction,0.371547,0.434886,0.006521,0.0099
FR4,RF,4,M01,S5,42,drifting,0.370757,0.370757,0.035501,0.035501
FR4,RF,6,M11,S3,13,interaction,0.370752,0.390977,0.032007,0.032007
FR4,RF,19,M11,S3,2026,drifting,0.36612,0.386924,0.006387,0.006387
FR4,RF,9,M10,S4,2026,drifting,0.365213,0.401988,0.003371,0.006328
FR5,RF,17,M03,S3,13,nonlinear,0.209629,0.290273,0.04815,0.051061
FR5,RF,17,M03,S5,13,nonlinear,0.209566,0.289983,0.04927,0.052323
FR5,RF,17,M03,S4,13,nonlinear,0.209411,0.289817,0.04927,0.052323
FR5,RF,1,M03,S5,7777,interaction,0.207076,0.30248,0.056007,0.058422
FR5,RF,1,M03,S4,7777,interaction,0.206356,0.302783,0.055419,0.05799
FR5,RF,1,M03,S5,3407,interaction,0.188065,0.269596,0.0504,0.0592
FR5,RF,1,M03,S4,3407,interaction,0.184105,0.264584,0.050121,0.05894
FR5,RF,1,M03,S3,7777,interaction,0.179581,0.260263,0.065113,0.066632
FR5,RF,1,M03,S4,13,interaction,0.16336,0.242113,0.059306,0.070176
FR5,RF,1,M03,S3,3407,interaction,0.16271,0.247213,0.052684,0.061663
FR5,RF,1,M03,S5,13,interaction,0.161727,0.238527,0.060948,0.071818
FR5,RF,17,M03,S2,13,nonlinear,0.158701,0.239604,0.07603,0.079364
FR5,RF,1,M03,S5,42,interaction,0.153066,0.235806,0.081129,0.088756
FR5,RF,1,M03,S4,42,interaction,0.152668,0.238095,0.080847,0.088238
FR5,RF,1,M03,S2,7777,interaction,0.151776,0.237318,0.040899,0.043989
FR5,RF,1,M03,S3,42,interaction,0.151591,0.240602,0.077838,0.085126
FR5,RF,1,M03,S3,13,interaction,0.148598,0.218909,0.061529,0.072768
FR5,RF,7,M03,S5,3407,nonlinear,0.147012,0.223171,0.106381,0.110587
FR5,RF,7,M03,S4,3407,nonlinear,0.14656,0.224586,0.106029,0.110241
FR5,RF,7,M03,S5,42,nonlinear,0.143426,0.248627,0.082747,0.094868
FR1,LightGBM,1,M03,S5,7777,interaction,0.208884,0.310518,0.058992,0.072163
FR1,LightGBM,1,M03,S5,13,interaction,0.200825,0.325296,0.048566,0.057385
FR1,LightGBM,17,M03,S3,13,nonlinear,0.19746,0.281666,0.069059,0.074109
FR1,LightGBM,17,M03,S2,13,nonlinear,0.192219,0.270162,0.060671,0.065378
FR1,LightGBM,1,M03,S2,42,interaction,0.190814,0.30058,0.042407,0.058767
FR1,LightGBM,1,M03,S4,13,interaction,0.188886,0.313197,0.060077,0.068101
FR1,LightGBM,7,M03,S3,3407,nonlinear,0.183808,0.262092,0.07601,0.079351
FR1,LightGBM,17,M03,S3,3407,nonlinear,0.181074,0.280424,0.069284,0.077295
FR1,LightGBM,17,M03,S5,3407,nonlinear,0.179427,0.278562,0.071246,0.079323
FR1,LightGBM,17,M03,S5,13,nonlinear,0.179309,0.26288,0.089349,0.095005
FR1,LightGBM,17,M03,S4,13,nonlinear,0.178591,0.26259,0.089349,0.095005
FR1,LightGBM,1,M03,S5,3407,interaction,0.178442,0.282085,0.089607,0.100596
FR1,LightGBM,17,M03,S4,3407,nonlinear,0.177733,0.278935,0.07294,0.07895
FR1,LightGBM,1,M03,S3,7777,interaction,0.175694,0.277159,0.088078,0.099905
FR1,LightGBM,1,M03,S3,42,interaction,0.174674,0.28995,0.072517,0.087978
FR1,LightGBM,1,M03,S4,7777,interaction,0.173793,0.275344,0.094006,0.107164
FR1,LightGBM,1,M03,S3,2026,interaction,0.172622,0.304123,0.052549,0.070348
FR1,LightGBM,1,M03,S3,3407,interaction,0.172522,0.27206,0.088764,0.10025
FR1,LightGBM,17,M03,S4,7777,nonlinear,0.170564,0.27728,0.063294,0.079488
FR1,LightGBM,1,M03,S3,13,interaction,0.169113,0.291937,0.073048,0.081842
FR2,LightGBM,1,M03,S5,7777,interaction,0.208884,0.310518,0.058992,0.072163
FR2,LightGBM,1,M03,S5,13,interaction,0.200825,0.325296,0.048566,0.057385
FR2,LightGBM,17,M03,S3,13,nonlinear,0.19746,0.281666,0.069059,0.074109
FR2,LightGBM,17,M03,S2,13,nonlinear,0.192219,0.270162,0.060671,0.065378
FR2,LightGBM,1,M03,S2,42,interaction,0.190814,0.30058,0.042407,0.058767
FR2,LightGBM,1,M03,S4,13,interaction,0.188886,0.313197,0.060077,0.068101
FR2,LightGBM,7,M03,S3,3407,nonlinear,0.183808,0.262092,0.07601,0.079351
FR2,LightGBM,17,M03,S3,3407,nonlinear,0.181074,0.280424,0.069284,0.077295
FR2,LightGBM,17,M03,S5,3407,nonlinear,0.179427,0.278562,0.071246,0.079323
FR2,LightGBM,17,M03,S5,13,nonlinear,0.179309,0.26288,0.089349,0.095005
FR2,LightGBM,17,M03,S4,13,nonlinear,0.178591,0.26259,0.089349,0.095005
FR2,LightGBM,1,M03,S5,3407,interaction,0.178442,0.282085,0.089607,0.100596
FR2,LightGBM,17,M03,S4,3407,nonlinear,0.177733,0.278935,0.07294,0.07895
FR2,LightGBM,1,M03,S3,7777,interaction,0.175694,0.277159,0.088078,0.099905
FR2,LightGBM,1,M03,S3,42,interaction,0.174674,0.28995,0.072517,0.087978
FR2,LightGBM,1,M03,S4,7777,interaction,0.173793,0.275344,0.094006,0.107164
FR2,LightGBM,1,M03,S3,2026,interaction,0.172622,0.304123,0.052549,0.070348
FR2,LightGBM,1,M03,S3,3407,interaction,0.172522,0.27206,0.088764,0.10025
FR2,LightGBM,17,M03,S4,7777,nonlinear,0.170564,0.27728,0.063294,0.079488
FR2,LightGBM,1,M03,S3,13,interaction,0.169113,0.291937,0.073048,0.081842
FR3,LightGBM,16,M04,S3,7777,interaction,0.070737,0.011551,-0.070737,0.001867
FR3,LightGBM,16,M05,S4,7777,interaction,0.069653,0.00792,-0.069653,0.002522
FR3,LightGBM,16,M07,S1,7777,interaction,0.068251,0.001564,-0.078642,0.0
FR3,LightGBM,16,M05,S5,7777,interaction,0.068221,-0.004489,-0.073545,0.0
FR3,LightGBM,16,M05,S1,7777,interaction,0.066496,0.005701,-0.067123,0.0
FR3,LightGBM,16,M04,S1,7777,interaction,0.06247,0.011047,-0.069229,0.0
FR3,LightGBM,16,M08,S3,7777,interaction,0.049997,0.011803,-0.056207,0.0
FR3,LightGBM,16,M04,S2,13,interaction,0.049673,-0.012257,-0.061239,0.0
FR3,LightGBM,16,M08,S4,7777,interaction,0.048368,-0.005499,-0.055703,0.0
FR3,LightGBM,16,M05,S4,2026,interaction,0.046408,-0.008778,-0.054134,0.0
FR3,LightGBM,16,M01,S1,7777,interaction,0.043765,0.011249,-0.051637,0.0
FR3,LightGBM,16,M07,S2,7777,interaction,0.039546,0.038488,-0.044721,0.0
FR3,LightGBM,16,M07,S1,2026,interaction,0.038609,-0.012107,0.0,0.0
FR3,LightGBM,16,M08,S5,7777,interaction,0.038375,0.032334,-0.045392,0.0
FR3,LightGBM,16,M01,S1,3407,interaction,0.035775,-0.002522,-0.040966,0.0
FR3,LightGBM,11,M04,S2,42,interaction,0.031892,-0.008494,-0.043417,0.0
FR3,LightGBM,10,M04,S5,3407,linear,0.030697,-0.007378,-0.030697,0.021195
FR3,LightGBM,16,M08,S4,3407,interaction,0.029618,0.002673,-0.033212,0.0
FR3,LightGBM,11,M05,S5,2026,interaction,0.027774,-0.008379,-0.041448,0.0
FR3,LightGBM,10,M08,S2,7777,linear,0.027651,0.015264,-0.027651,0.006944
FR4,LightGBM,14,M11,S4,2026,drifting,0.420259,0.420282,0.001813,0.001813
FR4,LightGBM,14,M11,S3,3407,drifting,0.417941,0.420459,0.001565,0.001565
FR4,LightGBM,14,M06,S3,42,drifting,0.416971,0.419143,0.001565,0.001565
FR4,LightGBM,14,M06,S3,3407,drifting,0.415013,0.419286,0.001565,0.001565
FR4,LightGBM,14,M06,S3,7777,drifting,0.413371,0.419286,0.001565,0.001565
FR4,LightGBM,14,M06,S3,2026,drifting,0.411673,0.417757,0.001565,0.001565
FR4,LightGBM,14,M06,S3,13,drifting,0.409451,0.419108,0.001565,0.001565
FR4,LightGBM,14,M11,S3,42,drifting,0.396492,0.406485,0.015432,0.015432
FR4,LightGBM,6,M11,S4,2026,interaction,0.395327,0.399392,0.001863,0.001863
FR4,LightGBM,6,M11,S3,3407,interaction,0.391991,0.394219,0.007036,0.007036
FR4,LightGBM,6,M06,S3,3407,interaction,0.390132,0.393322,0.007036,0.007036
FR4,LightGBM,6,M06,S3,7777,interaction,0.387524,0.39415,0.007036,0.007036
FR4,LightGBM,6,M06,S3,13,interaction,0.387056,0.392563,0.007036,0.007036
FR4,LightGBM,6,M06,S3,2026,interaction,0.384631,0.389873,0.007036,0.007036
FR4,LightGBM,11,M11,S3,2026,interaction,0.382696,0.41055,0.003845,0.003845
FR4,LightGBM,6,M11,S4,7777,interaction,0.381298,0.381319,0.019936,0.019936
FR4,LightGBM,14,M11,S3,13,drifting,0.381025,0.408476,0.001565,0.001565
FR4,LightGBM,6,M06,S3,42,interaction,0.380706,0.393391,0.007036,0.007036
FR4,LightGBM,19,M11,S4,2026,drifting,0.380469,0.383664,0.000996,0.000996
FR4,LightGBM,6,M11,S4,13,interaction,0.378008,0.379181,0.022074,0.022074
FR5,LightGBM,1,M03,S5,7777,interaction,0.208884,0.310518,0.058992,0.072163
FR5,LightGBM,1,M03,S5,13,interaction,0.200825,0.325296,0.048566,0.057385
FR5,LightGBM,17,M03,S3,13,nonlinear,0.19746,0.281666,0.069059,0.074109
FR5,LightGBM,17,M03,S2,13,nonlinear,0.192219,0.270162,0.060671,0.065378
FR5,LightGBM,1,M03,S2,42,interaction,0.190814,0.30058,0.042407,0.058767
FR5,LightGBM,1,M03,S4,13,interaction,0.188886,0.313197,0.060077,0.068101
FR5,LightGBM,7,M03,S3,3407,nonlinear,0.183808,0.262092,0.07601,0.079351
FR5,LightGBM,17,M03,S3,3407,nonlinear,0.181074,0.280424,0.069284,0.077295
FR5,LightGBM,17,M03,S5,3407,nonlinear,0.179427,0.278562,0.071246,0.079323
FR5,LightGBM,17,M03,S5,13,nonlinear,0.179309,0.26288,0.089349,0.095005
FR5,LightGBM,17,M03,S4,13,nonlinear,0.178591,0.26259,0.089349,0.095005
FR5,LightGBM,1,M03,S5,3407,interaction,0.178442,0.282085,0.089607,0.100596
FR5,LightGBM,17,M03,S4,3407,nonlinear,0.177733,0.278935,0.07294,0.07895
FR5,LightGBM,1,M03,S3,7777,interaction,0.175694,0.277159,0.088078,0.099905
FR5,LightGBM,1,M03,S3,42,interaction,0.174674,0.28995,0.072517,0.087978
FR5,LightGBM,1,M03,S4,7777,interaction,0.173793,0.275344,0.094006,0.107164
FR5,LightGBM,1,M03,S3,2026,interaction,0.172622,0.304123,0.052549,0.070348
FR5,LightGBM,1,M03,S3,3407,interaction,0.172522,0.27206,0.088764,0.10025
FR5,LightGBM,17,M03,S4,7777,nonlinear,0.170564,0.27728,0.063294,0.079488
FR5,LightGBM,1,M03,S3,13,interaction,0.169113,0.291937,0.073048,0.081842
