ds,mech,str,auprc_i,auprc_iase,delta,n_leak
ds_4,M05,S5,0.07692307692307693,0.25,0.17307692307692307,1
ds_4,M06,S1,1.0,0.75,-0.25,2
ds_4,M06,S3,1.0,1.0,0.0,2
ds_4,M06,S5,1.0,1.0,0.0,2
ds_4,M07,S1,0.41666666666666663,0.5,0.08333333333333337,2
ds_4,M07,S3,0.41666666666666663,0.5,0.08333333333333337,2
ds_4,M07,S5,0.41666666666666663,0.5,0.08333333333333337,2
ds_4,M08,S1,0.16666666666666666,0.1111111111111111,-0.05555555555555555,1
ds_4,M08,S3,0.14285714285714285,0.09090909090909091,-0.05194805194805194,1
ds_4,M08,S5,0.16666666666666666,0.1,-0.06666666666666665,1
ds_4,M09,S1,0.1111111111111111,0.1,-0.0111111111111111,1
ds_4,M09,S3,0.07692307692307693,0.125,0.04807692307692307,1
ds_4,M09,S5,0.07692307692307693,0.125,0.04807692307692307,1
ds_4,M10,S1,1.0,1.0,0.0,1
ds_4,M10,S3,1.0,1.0,0.0,1
ds_4,M10,S5,1.0,1.0,0.0,1
ds_4,M11,S1,0.3214285714285714,0.24358974358974358,-0.07783882783882781,2
ds_4,M11,S3,0.75,0.75,0.0,2
ds_4,M11,S5,1.0,0.75,-0.25,2
ds_5,M01,S1,1.0,1.0,0.0,1
ds_5,M01,S3,1.0,1.0,0.0,1
ds_5,M01,S5,1.0,1.0,0.0,1
ds_5,M02,S1,1.0,1.0,0.0,1
ds_5,M02,S3,1.0,1.0,0.0,1
ds_5,M02,S5,1.0,1.0,0.0,1
ds_5,M03,S1,1.0,1.0,0.0,1
ds_5,M03,S3,1.0,1.0,0.0,1
ds_5,M03,S5,1.0,1.0,0.0,1
ds_5,M04,S1,0.1111111111111111,0.14285714285714285,0.031746031746031744,1
ds_5,M04,S3,0.3333333333333333,0.1,-0.2333333333333333,1
ds_5,M04,S5,0.058823529411764705,0.0625,0.003676470588235295,1
ds_5,M05,S1,0.09090909090909091,0.08333333333333333,-0.007575757575757583,1
ds_5,M05,S3,0.058823529411764705,0.125,0.0661764705882353,1
ds_5,M05,S5,0.058823529411764705,0.2,0.1411764705882353,1
ds_5,M06,S1,1.0,1.0,0.0,2
ds_5,M06,S3,1.0,1.0,0.0,2
ds_5,M06,S5,1.0,1.0,0.0,2
ds_5,M07,S1,0.3055555555555556,0.6666666666666666,0.36111111111111105,2
ds_5,M07,S3,0.3055555555555556,0.6666666666666666,0.36111111111111105,2
ds_5,M07,S5,0.3055555555555556,0.6666666666666666,0.36111111111111105,2
ds_5,M08,S1,0.2,0.3333333333333333,0.1333333333333333,1
ds_5,M08,S3,0.058823529411764705,0.09090909090909091,0.03208556149732621,1
ds_5,M08,S5,0.058823529411764705,0.07692307692307693,0.018099547511312222,1
ds_5,M09,S1,0.3333333333333333,0.09090909090909091,-0.2424242424242424,1
ds_5,M09,S3,0.25,0.25,0.0,1
ds_5,M09,S5,0.2,0.09090909090909091,-0.1090909090909091,1
ds_5,M10,S1,1.0,1.0,0.0,1
ds_5,M10,S3,1.0,1.0,0.0,1
ds_5,M10,S5,1.0,1.0,0.0,1
ds_5,M11,S1,0.5,0.3666666666666667,-0.1333333333333333,2
ds_5,M11,S3,0.8333333333333333,0.8333333333333333,0.0,2
ds_5,M11,S5,1.0,1.0,0.0,2
