row_type,scope,learner,budget_fraction,cost_unit,effect,ci_low,ci_high,probability_positive,initial_gap,gap_range,n_keys,n_tasks,p3_recall,p3_legitimate_retention,negative_task_count,negative_mechanism_count,mean_signal_fields_removed,signal_x000_removal_rate,signal_x003_removal_rate,signal_x005_removal_rate,claim_id,claim_status,interpretation
mechanism,M04,LR,0.2,encoded column,-0.056774,-0.097297,-0.021929,0.0,0.001495,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M05,LR,0.2,encoded column,-0.056234,-0.096489,-0.021598,0.0,0.001631,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M06,LR,0.2,encoded column,0.110223,0.080013,0.140407,1.0,0.271031,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M07,LR,0.2,encoded column,0.018239,-0.030204,0.059933,0.7857,0.111747,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M08,LR,0.2,encoded column,-0.051653,-0.090202,-0.018361,0.0,0.007924,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M09,LR,0.2,encoded column,0.148903,0.125821,0.170974,1.0,0.224652,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M10,LR,0.2,encoded column,0.110014,0.064266,0.150553,1.0,0.216936,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M11,LR,0.2,encoded column,0.155295,0.123714,0.185496,1.0,0.273554,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
learner_overall,All mechanisms,RF,0.2,encoded column,0.054744,0.025084,0.081983,0.9995,,,5500,20,,,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
family,simple,RF,0.2,encoded column,0.103923,0.066039,0.139517,1.0,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
family,boundary,RF,0.2,encoded column,0.058718,0.034813,0.081139,1.0,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
family,structured,RF,0.2,encoded column,0.002584,-0.024973,0.027717,0.585,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M01,RF,0.2,encoded column,0.081497,0.039472,0.12034,0.9997,0.189514,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M02,RF,0.2,encoded column,0.097119,0.054159,0.136565,1.0,0.209944,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M03,RF,0.2,encoded column,-0.022048,-0.048913,0.0067,0.0673,0.227906,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M04,RF,0.2,encoded column,-0.054039,-0.085465,-0.024982,0.0,0.016557,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M05,RF,0.2,encoded column,-0.05358,-0.084667,-0.024733,0.0,0.016756,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M06,RF,0.2,encoded column,0.121764,0.094287,0.150635,1.0,0.296414,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M07,RF,0.2,encoded column,0.028602,-0.01028,0.063529,0.9251,0.126915,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M08,RF,0.2,encoded column,-0.049196,-0.079282,-0.02163,0.0,0.020344,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M09,RF,0.2,encoded column,0.167152,0.145537,0.188078,1.0,0.245733,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M10,RF,0.2,encoded column,0.115311,0.070572,0.156051,1.0,0.232337,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M11,RF,0.2,encoded column,0.1696,0.140263,0.19921,1.0,0.299232,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
learner_overall,All mechanisms,LightGBM,0.2,encoded column,0.056119,0.02778,0.081745,0.9998,,,5500,20,,,,,,,,,C1_MULTI_LEARNER_GOVERNANCE,SUPPORTED,P3_ADVANTAGE
family,simple,LightGBM,0.2,encoded column,0.10276,0.065758,0.137759,1.0,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
family,boundary,LightGBM,0.2,encoded column,0.059639,0.038057,0.07956,1.0,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
family,structured,LightGBM,0.2,encoded column,0.006837,-0.020214,0.031516,0.7016,,,,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M01,LightGBM,0.2,encoded column,0.079251,0.038755,0.117214,0.9999,0.1908,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M02,LightGBM,0.2,encoded column,0.096467,0.054535,0.135753,1.0,0.215191,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M03,LightGBM,0.2,encoded column,-0.021848,-0.055684,0.013493,0.1103,0.297928,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M04,LightGBM,0.2,encoded column,-0.048525,-0.079206,-0.019936,0.0,0.012438,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M05,LightGBM,0.2,encoded column,-0.048578,-0.079792,-0.019549,0.0001,0.012284,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M06,LightGBM,0.2,encoded column,0.120895,0.094235,0.148801,1.0,0.303302,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M07,LightGBM,0.2,encoded column,0.028728,-0.009111,0.063158,0.9297,0.131174,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,NO_RELIABLE_ADVANTAGE
mechanism,M08,LightGBM,0.2,encoded column,-0.046163,-0.076,-0.018507,0.0001,0.018478,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_DISADVANTAGE
mechanism,M09,LightGBM,0.2,encoded column,0.170616,0.148779,0.191559,1.0,0.247471,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M10,LightGBM,0.2,encoded column,0.114426,0.072602,0.153213,1.0,0.238693,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
mechanism,M11,LightGBM,0.2,encoded column,0.172037,0.143686,0.199693,1.0,0.306975,,500,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,P3_ADVANTAGE
gap_quartile,Q1_low,LR,0.2,encoded column,-0.055817,-0.096233,-0.021149,,,"[0.0000,0.0028]",1375,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,OPPORTUNITY_SENSITIVITY
gap_quartile,Q2,LR,0.2,encoded column,-0.038855,-0.075094,-0.008112,,,"[0.0028,0.0972]",1375,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,OPPORTUNITY_SENSITIVITY
gap_quartile,Q3,LR,0.2,encoded column,0.083028,0.054193,0.107785,,,"[0.0974,0.2476]",1375,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,OPPORTUNITY_SENSITIVITY
gap_quartile,Q4_high,LR,0.2,encoded column,0.202625,0.17943,0.223163,,,"[0.2478,0.4296]",1375,20,,,,,,,,,C3_STRUCTURED_HETEROGENEITY,NARROWED,OPPORTUNITY_SENSITIVITY
archetype,drifting,LR,0.2,encoded column,0.08435,0.064904,0.103795,,,,,4,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
archetype,interaction,LR,0.2,encoded column,0.107121,0.092669,0.125434,,,,,4,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
archetype,linear,LR,0.2,encoded column,0.074082,0.068113,0.08005,,,,,4,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
archetype,nonlinear,LR,0.2,encoded column,0.069847,0.045082,0.086146,,,,,4,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
archetype,sparse,LR,0.2,encoded column,-0.118332,-0.15972,-0.092976,,,,,4,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,NEGATIVE_REGIME
leave_one_archetype_out,LOAO-drifting,LR,0.2,encoded column,0.033179,-0.014966,0.074795,,,,,16,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
leave_one_archetype_out,LOAO-interaction,LR,0.2,encoded column,0.027487,-0.018298,0.0663,,,,,16,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
leave_one_archetype_out,LOAO-linear,LR,0.2,encoded column,0.035746,-0.012574,0.077677,,,,,16,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
leave_one_archetype_out,LOAO-nonlinear,LR,0.2,encoded column,0.036805,-0.012029,0.078153,,,,,16,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
leave_one_archetype_out,LOAO-sparse,LR,0.2,encoded column,0.08385,0.072562,0.094772,,,,,16,,,,,,,,,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,SENSITIVITY
failure_anatomy,sparse,LR,0.2,encoded column,-0.11833214827272728,,,,,,1100,4,0.5699621212121212,0.848104439677969,4,9,1.9181818181818182,0.8927272727272727,0.8490909090909091,0.17636363636363636,C4_ARCHETYPE_SENSITIVITY,SUPPORTED,POST_HOC_CONSTRUCTION_DIAGNOSIS
cost_sensitivity,All mechanisms,LR,0.2,encoded column,0.043413451136363634,0.004081873319772728,0.07813079981454543,0.9826,,,5500.0,20,,,,,,,,,C6_SEMANTIC_GROUP_BUDGET,NARROWED,DIRECTIONAL
cost_sensitivity,All mechanisms,LR,0.2,semantic group,0.03980477360353263,-0.0031407324569980685,0.07716368826578238,0.9664,,,5500.0,20,,,,,,,,,C6_SEMANTIC_GROUP_BUDGET,NARROWED,COST_SENSITIVE
cost_sensitivity,M09,LR,0.2,encoded column,0.1489025015,0.12480514356250001,0.1709131063525,1.0,,,500.0,20,,,,,,,,,C6_SEMANTIC_GROUP_BUDGET,NARROWED,DIRECTIONAL
cost_sensitivity,M09,LR,0.2,semantic group,0.10920704863885881,0.05407330165246268,0.15797831210453978,0.9998,,,500.0,20,,,,,,,,,C6_SEMANTIC_GROUP_BUDGET,NARROWED,DIRECTIONAL
cost_sensitivity,M09 semantic - encoded,LR,0.2,cost contrast,-0.03969545286114119,-0.07575098960888536,-0.008004236152104246,0.0054,,,,20,,,,,,,,,C6_SEMANTIC_GROUP_BUDGET,NARROWED,DIRECTIONAL
